,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,HOU,,IND,"T, 20-20 (OT)",*,11,33,0,3.0,1,1,6,6.0,0,100.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,28.6,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2022-09-18,HOU,@,DEN,"L, 9-16",*,15,69,0,4.6,1,1,8,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,61.9,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2022-09-25,HOU,@,CHI,"L, 20-23",*,20,80,1,4.0,2,2,21,10.5,0,100.0,10.5,0.0,0,0,0,0,0,0,2,0,0,0,0,0,35,59.3,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2022-10-02,HOU,,LAC,"L, 24-34",*,14,131,1,9.4,6,6,8,1.3,0,100.0,1.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,68.4,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2022-10-09,HOU,@,JAX,"W, 13-6",*,26,99,1,3.8,5,3,14,4.7,0,60.0,2.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,79.3,0,0.0,0,0.0
5,6.0,6.0,6.0,7.0,2022-10-23,HOU,@,LVR,"L, 20-38",*,20,92,0,4.6,4,4,25,6.3,0,100.0,6.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,52.3,0,0.0,0,0.0
6,7.0,7.0,7.0,8.0,2022-10-30,HOU,,TEN,"L, 10-17",*,15,35,0,2.3,5,3,16,5.3,1,60.0,3.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,77.8,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2022-11-03,HOU,,PHI,"L, 17-29",*,27,139,0,5.1,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,78.3,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2022-11-13,HOU,@,NYG,"L, 16-24",*,17,94,0,5.5,3,2,28,14.0,0,66.7,9.3,0.0,0,0,0,0,0,0,1,1,0,0,0,0,46,71.9,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2022-11-20,HOU,,WAS,"L, 10-23",*,10,8,0,0.8,3,2,9,4.5,0,66.7,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,76.8,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2022-11-27,HOU,@,MIA,"L, 15-30",*,5,8,0,1.6,6,3,8,2.7,0,50.0,1.3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,34,55.7,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2022-12-04,HOU,,CLE,"L, 14-27",*,18,73,0,4.1,3,3,22,7.3,0,100.0,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,72.3,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2022-12-11,HOU,@,DAL,"L, 23-27",*,22,78,1,3.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,36,54.5,0,0.0,0,0.0
