,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,39.0,1.0,1.0,2022-09-11,NYG,@,TEN,"W, 21-20",*,17,21,81.0,188,2,1,9.0,8.71,115.9,5,32,6,25,0,4.2,1,1,0,0,0,0,60,100.0,0,0.0,0,0.0
1,2.0,40.0,2.0,2.0,2022-09-18,NYG,,CAR,"W, 19-16",*,22,34,64.7,176,1,0,5.2,5.76,87.4,3,14,10,21,0,2.1,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
2,3.0,41.0,3.0,3.0,2022-09-26,NYG,,DAL,"L, 16-23",*,20,37,54.1,196,0,1,5.3,4.08,57.9,5,27,9,79,0,8.8,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
3,4.0,42.0,4.0,4.0,2022-10-02,NYG,,CHI,"W, 20-12",*,8,13,61.5,71,0,0,5.5,5.46,76.1,1,11,6,68,2,11.3,0,0,0,0,0,0,53,81.5,0,0.0,0,0.0
4,5.0,43.0,5.0,5.0,2022-10-09,NYG,@,GNB,"W, 27-22",*,21,27,77.8,217,0,0,8.0,8.04,100.2,1,4,10,37,0,3.7,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
5,6.0,44.0,6.0,6.0,2022-10-16,NYG,,BAL,"W, 24-20",*,19,27,70.4,173,2,0,6.4,7.89,112.1,4,18,6,6,0,1.0,1,1,0,0,0,0,65,100.0,0,0.0,0,0.0
6,7.0,45.0,7.0,7.0,2022-10-23,NYG,@,JAX,"W, 23-17",*,19,30,63.3,202,1,0,6.7,7.40,94.0,1,2,11,107,1,9.7,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
7,8.0,46.0,8.0,8.0,2022-10-30,NYG,@,SEA,"L, 13-27",*,17,31,54.8,176,0,0,5.7,5.68,71.4,5,29,6,20,0,3.3,1,0,0,1,0,0,65,100.0,0,0.0,0,0.0
8,9.0,47.0,9.0,10.0,2022-11-13,NYG,,HOU,"W, 24-16",*,13,17,76.5,197,2,0,11.6,13.94,153.3,3,21,5,24,0,4.8,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
9,10.0,48.0,10.0,11.0,2022-11-20,NYG,,DET,"L, 18-31",*,27,44,61.4,341,1,2,7.8,6.16,74.1,2,17,7,50,1,7.1,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
10,11.0,49.0,11.0,12.0,2022-11-24,NYG,@,DAL,"L, 20-28",*,21,35,60.0,228,1,0,6.5,7.09,88.7,3,18,3,14,0,4.7,1,0,0,1,0,0,64,100.0,0,0.0,0,0.0
11,12.0,50.0,12.0,13.0,2022-12-04,NYG,,WAS,"T, 20-20 (OT)",*,25,31,80.6,200,1,0,6.5,7.10,104.3,4,18,12,71,0,5.9,1,1,0,0,0,0,66,100.0,0,0.0,0,0.0
12,13.0,51.0,13.0,14.0,2022-12-11,NYG,,PHI,"L, 22-48",*,18,27,66.7,169,1,0,6.3,7.00,96.1,4,17,4,26,1,6.5,0,0,0,0,0,0,52,81.3,0,0.0,0,0.0
13,14.0,52.0,14.0,15.0,2022-12-18,NYG,@,WAS,"W, 20-12",*,21,32,65.6,160,0,0,5.0,5.00,77.6,0,0,10,35,0,3.5,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
14,15.0,53.0,15.0,16.0,2022-12-24,NYG,@,MIN,"L, 24-27",*,30,42,71.4,334,1,1,8.0,7.36,92.8,3,15,4,34,0,8.5,1,0,0,0,0,0,69,100.0,0,0.0,0,0.0
15,16.0,54.0,16.0,17.0,2023-01-01,NYG,,IND,"W, 38-10",*,19,24,79.2,177,2,0,7.4,9.04,125.2,0,0,11,91,2,8.3,0,0,0,0,0,0,55,87.3,0,0.0,0,0.0
16,16.0,,17.0,18.0,2023-01-08,NYG,@,PHI,"L, 16-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,9-6-1,,317,472,67.2,3205,15,5,6.8,6.95,92.5,44,243,120,708,7,5.9,6,3,0,2,0,0,1040,97.0,0,0.0,0,0.0
