,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,90.0,1.0,1.0,2019-09-08,DET,@,ARI,"T, 27-27 (OT)",*,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,87,98.9,1,2.5
1,2.0,91.0,2.0,2.0,2019-09-15,DET,,LAC,"W, 13-10",*,0.0,6,5,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.0,63,96.9,0,0.0
2,3.0,92.0,3.0,3.0,2019-09-22,DET,@,PHI,"W, 27-24",*,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0.0,42,56.8,0,0.0
3,3.0,,4.0,4.0,2019-09-29,DET,,KAN,"L, 30-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,93.0,5.0,6.0,2019-10-14,DET,@,GNB,"L, 22-23",*,0.0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72,97.3,1,3.2
5,5.0,94.0,6.0,7.0,2019-10-20,DET,,MIN,"L, 30-42",*,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18,24.7,0,0.0
6,5.0,,7.0,8.0,2019-10-27,DET,,NYG,"W, 31-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,95.0,8.0,9.0,2019-11-03,DET,@,OAK,"L, 24-31",*,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68,97.1,0,0.0
8,7.0,96.0,9.0,10.0,2019-11-10,DET,@,CHI,"L, 13-20",*,0.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54,96.4,1,3.4
9,8.0,97.0,10.0,11.0,2019-11-17,DET,,DAL,"L, 27-35",*,0.0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,72,98.6,0,0.0
10,9.0,98.0,11.0,12.0,2019-11-24,DET,@,WAS,"L, 16-19",*,0.0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,58,100.0,0,0.0
11,10.0,99.0,12.0,13.0,2019-11-28,DET,,CHI,"L, 20-24",*,0.0,2,1,1,0,0,0,1,19,0,1,0,0,0,0,0,0,0,0.0,62,96.9,0,0.0
12,11.0,100.0,13.0,14.0,2019-12-08,DET,@,MIN,"L, 7-20",*,0.0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,71,98.6,1,3.8
13,12.0,101.0,14.0,15.0,2019-12-15,DET,,TAM,"L, 17-38",*,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65,86.7,0,0.0
14,13.0,102.0,15.0,16.0,2019-12-22,DET,@,DEN,"L, 17-27",*,0.0,5,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,64,90.1,0,0.0
15,14.0,103.0,16.0,17.0,2019-12-29,DET,,GNB,"L, 20-23",*,0.0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,62,70.5,1,3.2
16,,,,,,,,,2-11-1,,0.0,46,36,10,0,0,0,2,19,0,13,0,0,0,1,38,0,0,0.0,858,85.7,5,1.2
