,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,135.0,1.0,1.0,2022-09-11,PHI,@,DET,"W, 38-35",*,0.0,6,4,2,0,0,0,0,0,0,0,0,0.0,67,97.1,0,0.0
1,2.0,136.0,2.0,2.0,2022-09-19,PHI,,MIN,"W, 24-7",*,0.0,1,1,0,0,0,0,2,19,0,5,0,0.0,49,80.3,0,0.0
2,3.0,137.0,3.0,3.0,2022-09-25,PHI,@,WAS,"W, 24-8",*,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0,61,79.2,0,0.0
3,4.0,138.0,4.0,4.0,2022-10-02,PHI,,JAX,"W, 29-21",*,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,6.4,0,0.0
4,5.0,139.0,5.0,5.0,2022-10-09,PHI,@,ARI,"W, 20-17",*,0.0,9,7,2,0,0,0,0,0,0,0,0,0.0,69,100.0,0,0.0
5,6.0,140.0,6.0,6.0,2022-10-16,PHI,,DAL,"W, 26-17",*,0.0,2,1,1,0,0,0,1,-2,0,2,0,0.0,67,100.0,0,0.0
6,7.0,141.0,7.0,8.0,2022-10-30,PHI,,PIT,"W, 35-13",*,0.0,2,1,1,0,0,0,0,0,0,1,0,0.0,76,100.0,0,0.0
7,8.0,142.0,8.0,9.0,2022-11-03,PHI,@,HOU,"W, 29-17",*,0.0,4,2,2,0,0,0,0,0,0,0,0,0.0,59,98.3,0,0.0
8,9.0,143.0,9.0,10.0,2022-11-14,PHI,,WAS,"L, 21-32",*,0.0,4,4,0,0,0,0,0,0,0,1,0,0.0,83,100.0,0,0.0
9,10.0,144.0,10.0,11.0,2022-11-20,PHI,@,IND,"W, 17-16",*,0.0,4,3,1,0,0,0,0,0,0,0,0,0.0,65,100.0,0,0.0
10,11.0,145.0,11.0,12.0,2022-11-27,PHI,,GNB,"W, 40-33",*,0.0,4,4,0,0,0,0,0,0,0,1,0,0.0,46,93.9,0,0.0
11,12.0,146.0,12.0,13.0,2022-12-04,PHI,,TEN,"W, 35-10",*,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,45,81.8,0,0.0
12,13.0,147.0,13.0,14.0,2022-12-11,PHI,@,NYG,"W, 48-22",*,0.0,4,2,2,0,0,0,0,0,0,2,0,0.0,52,81.3,0,0.0
13,14.0,148.0,14.0,15.0,2022-12-18,PHI,@,CHI,"W, 25-20",*,0.0,3,1,2,0,0,0,0,0,0,1,0,0.0,59,100.0,0,0.0
14,15.0,149.0,15.0,16.0,2022-12-24,PHI,@,DAL,"L, 34-40",*,0.0,3,2,1,0,0,0,0,0,0,0,0,0.0,72,98.6,0,0.0
15,16.0,150.0,16.0,17.0,2023-01-01,PHI,,NOR,"L, 10-20",*,0.0,5,5,0,0,0,0,0,0,0,0,0,0.0,67,97.1,0,0.0
16,17.0,151.0,17.0,18.0,2023-01-08,PHI,,NYG,"W, 22-16",*,0.0,1,1,0,0,0,0,0,0,0,1,0,0.0,63,100.0,0,0.0
17,,,,,,,,,14-3,,0.0,55,40,15,0,0,0,3,17,0,14,0,0.0,1003,90.7,0,0.0
