,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2013,22,DET,NFL,DB,13.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,27.0,7.0,0.0,0.0,0.0,2.0,
1,2014,23,DET,NFL,LCB,16.0,16.0,2.0,42.0,0.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,48.0,13.0,1.0,0.0,0.0,6.0,
2,2015,24,DET,NFL,LCB,16.0,16.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,48.0,11.0,1.0,0.0,0.0,5.0,
3,2016,25,DET,NFL,LCB,13.0,13.0,2.0,24.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,44.0,43.0,1.0,1.0,1.0,0.0,5.0,
4,2017,26,DET,NFL,LCB,16.0,16.0,8.0,73.0,0.0,37.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,54.0,6.0,1.0,0.0,0.0,14.0,"PB,AP-1"
5,2018,27,DET,NFL,LCB,15.0,15.0,3.0,107.0,1.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,40.0,3.0,1.0,0.0,0.0,9.0,PB
6,2019,28,DET,NFL,LCB,14.0,14.0,2.0,19.0,0.0,19.0,13.0,0.0,0.0,1.0,38.0,0.0,0.0,46.0,36.0,10.0,0.0,0.0,0.0,7.0,PB
7,2020,29,PHI,NFL,RCB,15.0,14.0,1.0,25.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,53.0,6.0,2.0,0.0,0.0,5.0,
8,2021,30,PHI,NFL,RCB,16.0,16.0,3.0,72.0,1.0,51.0,9.0,0.0,0.0,2.0,116.0,2.0,0.0,52.0,40.0,12.0,5.0,0.0,0.0,9.0,PB
9,2022,31,PHI,NFL,RCB,17.0,17.0,3.0,17.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,40.0,15.0,0.0,0.0,0.0,8.0,PB
10,2023,32,PHI,NFL,CB,12.0,12.0,2.0,86.0,1.0,70.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,48.0,9.0,1.0,0.0,0.0,6.0,PB
11,2024,33,PHI,NFL,RCB,14.0,14.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,49.0,39.0,10.0,3.0,0.0,0.0,6.0,
12,12 Yrs,12 Yrs,12 Yrs,12 Yrs,,177.0,167.0,28.0,465.0,3.0,70.0,160.0,2.0,0.0,5.0,154.0,2.0,1.0,619.0,516.0,103.0,16.0,1.0,0.0,82.0,
13,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,3.0,45.0,0.0,70.0,15.0,0.0,0.0,0.0,15.0,0.0,0.1,59.0,50.0,10.0,2.0,0.0,0.0,8.0,
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DET (7 Yrs),DET (7 Yrs),DET (7 Yrs),DET (7 Yrs),,103.0,94.0,19.0,265.0,1.0,67.0,104.0,1.0,0.0,2.0,38.0,0.0,1.0,347.0,296.0,51.0,5.0,1.0,0.0,48.0,
16,PHI (5 Yrs),PHI (5 Yrs),PHI (5 Yrs),PHI (5 Yrs),,74.0,73.0,9.0,200.0,2.0,70.0,56.0,1.0,0.0,3.0,116.0,2.0,0.0,272.0,220.0,52.0,11.0,0.0,0.0,34.0,
