,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2021-09-12,CHI,@,LAR,"L, 14-34",*,7,5,26,5.2,0,71.4,3.7,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
1,2.0,18.0,2.0,2.0,2021-09-19,CHI,,CIN,"W, 20-17",*,8,6,66,11.0,0,75.0,8.3,0,0,0,,1,10,0,10.0,0.0,0,0,0,0,0,0,58,89.2,0,0.0,1,4.5
2,3.0,19.0,3.0,3.0,2021-09-26,CHI,@,CLE,"L, 6-26",*,4,1,9,9.0,0,25.0,2.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,44,97.8,0,0.0,0,0.0
3,4.0,20.0,4.0,4.0,2021-10-03,CHI,,DET,"W, 24-14",,7,5,125,25.0,0,71.4,17.9,1,10,0,10.0,0,0,0,,0.0,0,0,0,0,0,0,41,70.7,0,0.0,0,0.0
4,5.0,21.0,5.0,5.0,2021-10-10,CHI,@,LVR,"W, 20-9",*,5,3,35,11.7,0,60.0,7.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,49,76.6,0,0.0,0,0.0
5,6.0,22.0,6.0,6.0,2021-10-17,CHI,,GNB,"L, 14-24",*,8,5,45,9.0,1,62.5,5.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,57,93.4,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2021-10-24,CHI,@,TAM,"L, 3-38",*,5,2,39,19.5,0,40.0,7.8,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,57,86.4,0,0.0,0,0.0
7,8.0,24.0,8.0,8.0,2021-10-31,CHI,,SFO,"L, 22-33",*,9,6,64,10.7,0,66.7,7.1,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,54,77.1,0,0.0,0,0.0
8,9.0,25.0,9.0,9.0,2021-11-08,CHI,@,PIT,"L, 27-29",*,6,3,41,13.7,1,50.0,6.8,1,15,1,15.0,0,0,0,,0.0,0,0,0,0,0,0,50,80.6,0,0.0,0,0.0
9,10.0,26.0,10.0,11.0,2021-11-21,CHI,,BAL,"L, 13-16",*,16,5,121,24.2,1,31.3,7.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0
10,11.0,27.0,11.0,12.0,2021-11-25,CHI,@,DET,"W, 16-14",*,8,5,123,24.6,0,62.5,15.4,1,2,0,2.0,0,0,0,,0.0,0,0,0,0,0,0,61,87.1,0,0.0,0,0.0
11,12.0,28.0,12.0,13.0,2021-12-05,CHI,,ARI,"L, 22-33",*,7,5,27,5.4,0,71.4,3.9,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,72,94.7,0,0.0,0,0.0
12,13.0,29.0,13.0,14.0,2021-12-12,CHI,@,GNB,"L, 30-45",,5,1,19,19.0,0,20.0,3.8,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,57,91.9,0,0.0,0,0.0
13,14.0,30.0,14.0,15.0,2021-12-20,CHI,,MIN,"L, 9-17",*,7,5,63,12.6,0,71.4,9.0,1,3,0,3.0,0,0,0,,0.0,1,1,0,0,0,0,70,95.9,0,0.0,0,0.0
14,15.0,31.0,15.0,16.0,2021-12-26,CHI,@,SEA,"W, 25-24",*,9,5,57,11.4,0,55.6,6.3,2,2,0,1.0,0,0,0,,0.0,0,0,0,0,0,0,63,85.1,0,0.0,0,0.0
15,16.0,32.0,16.0,17.0,2022-01-02,CHI,,NYG,"W, 29-3",,13,7,69,9.9,1,53.8,5.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,56,84.8,0,0.0,0,0.0
16,17.0,33.0,17.0,18.0,2022-01-09,CHI,@,MIN,"L, 17-31",*,16,12,126,10.5,0,75.0,7.9,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,74,90.2,0,0.0,0,0.0
17,,,,,,,,,6-11,,140,81,1055,13.0,4,57.9,7.5,6,32,1,5.3,1,10,0,10.0,0.0,4,4,0,0,0,0,986,87.9,0,0.0,1,0.2
