,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,46.0,1.0,1.0,2023-09-10,CHI,,GNB,"L, 20-38",*,7,4,53,13.3,1,57.1,7.6,0,0,0,,62,83.8,0,0.0,0,0.0
1,2.0,47.0,2.0,2.0,2023-09-17,CHI,@,TAM,"L, 17-27",*,0,0,0,,0,,,0,0,0,,15,28.3,0,0.0,0,0.0
2,3.0,48.0,3.0,3.0,2023-09-24,CHI,@,KAN,"L, 10-41",*,1,0,0,,0,0.0,0.0,0,0,0,,36,70.6,0,0.0,0,0.0
3,4.0,49.0,4.0,4.0,2023-10-01,CHI,,DEN,"L, 28-31",*,4,4,51,12.8,0,100.0,12.8,0,0,0,,54,75.0,0,0.0,0,0.0
4,5.0,50.0,5.0,5.0,2023-10-05,CHI,@,WAS,"W, 40-20",*,4,0,0,,0,0.0,0.0,0,0,0,,50,78.1,0,0.0,0,0.0
5,6.0,51.0,6.0,6.0,2023-10-15,CHI,,MIN,"L, 13-19",*,3,2,48,24.0,0,66.7,16.0,0,0,0,,52,78.8,0,0.0,0,0.0
6,7.0,52.0,7.0,7.0,2023-10-22,CHI,,LVR,"W, 30-12",*,5,4,32,8.0,0,80.0,6.4,1,2,0,2.0,48,67.6,0,0.0,0,0.0
7,8.0,53.0,8.0,8.0,2023-10-29,CHI,@,LAC,"L, 13-30",*,4,1,41,41.0,0,25.0,10.3,1,3,0,3.0,56,84.8,0,0.0,0,0.0
8,9.0,54.0,9.0,9.0,2023-11-05,CHI,@,NOR,"L, 17-24",*,6,5,82,16.4,0,83.3,13.7,0,0,0,,59,86.8,0,0.0,0,0.0
9,10.0,55.0,10.0,10.0,2023-11-09,CHI,,CAR,"W, 16-13",*,4,2,14,7.0,0,50.0,3.5,0,0,0,,48,66.7,0,0.0,0,0.0
10,11.0,56.0,11.0,11.0,2023-11-19,CHI,@,DET,"L, 26-31",*,1,1,24,24.0,0,100.0,24.0,0,0,0,,45,60.0,0,0.0,0,0.0
11,12.0,57.0,12.0,12.0,2023-11-27,CHI,@,MIN,"W, 12-10",*,3,2,6,3.0,0,66.7,2.0,0,0,0,,57,81.4,0,0.0,0,0.0
12,13.0,58.0,13.0,14.0,2023-12-10,CHI,,DET,"W, 28-13",*,7,2,44,22.0,0,28.6,6.3,0,0,0,,64,90.1,0,0.0,0,0.0
13,14.0,59.0,14.0,15.0,2023-12-17,CHI,@,CLE,"L, 17-20",*,8,2,14,7.0,0,25.0,1.8,0,0,0,,63,86.3,0,0.0,0,0.0
14,15.0,60.0,15.0,16.0,2023-12-24,CHI,,ARI,"W, 27-16",,4,2,5,2.5,0,50.0,1.3,0,0,0,,57,81.4,0,0.0,0,0.0
15,15.0,,16.0,17.0,2023-12-31,CHI,,ATL,"W, 37-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,15.0,,17.0,18.0,2024-01-07,CHI,@,GNB,"L, 9-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,6-9,,61,31,414,13.4,1,50.8,6.8,2,5,0,2.5,766,75.4,0,0.0,0,0.0
