,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,19.0,1.0,1.0,2020-09-10,KAN,,HOU,"W, 34-20",,7,23,0,3.3,2,2,7,3.5,0,100.0,3.5,0,0,0,0,0,0,23,33.3,0,0.0,0,0.0
1,2.0,20.0,2.0,2.0,2020-09-20,KAN,@,LAC,"W, 23-20 (OT)",,0,0,0,,1,1,12,12.0,0,100.0,12.0,0,0,0,0,0,0,10,13.0,0,0.0,1,3.6
2,3.0,21.0,3.0,3.0,2020-09-28,KAN,@,BAL,"W, 34-20",,2,6,0,3.0,2,2,1,0.5,0,100.0,0.5,0,0,0,0,0,0,16,21.3,0,0.0,0,0.0
3,4.0,22.0,4.0,4.0,2020-10-05,KAN,,NWE,"W, 26-10",,1,2,0,2.0,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,15,26.8,0,0.0,0,0.0
4,5.0,23.0,5.0,5.0,2020-10-11,KAN,,LVR,"L, 32-40",,1,4,0,4.0,5,1,15,15.0,0,20.0,3.0,0,0,0,0,0,0,29,40.3,0,0.0,0,0.0
5,6.0,24.0,6.0,6.0,2020-10-19,KAN,@,BUF,"W, 26-17",,6,26,1,4.3,1,1,15,15.0,0,100.0,15.0,0,0,0,0,0,0,23,31.5,0,0.0,6,24.0
6,7.0,25.0,7.0,7.0,2020-10-25,KAN,@,DEN,"W, 43-16",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,1,2.0,0,0.0,0,0.0
7,8.0,26.0,8.0,8.0,2020-11-01,KAN,,NYJ,"W, 35-9",,3,19,0,6.3,1,1,7,7.0,0,100.0,7.0,0,0,0,1,0,0,8,12.1,0,0.0,0,0.0
8,9.0,27.0,9.0,9.0,2020-11-08,KAN,,CAR,"W, 33-31",,0,0,0,,1,1,3,3.0,0,100.0,3.0,0,0,0,0,0,0,18,29.0,0,0.0,2,6.5
9,10.0,28.0,10.0,11.0,2020-11-22,KAN,@,LVR,"W, 35-31",,0,0,0,,3,3,22,7.3,0,100.0,7.3,0,0,0,0,0,0,20,25.6,0,0.0,0,0.0
10,11.0,29.0,11.0,12.0,2020-11-29,KAN,@,TAM,"W, 27-24",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,8,10.1,0,0.0,2,6.9
11,12.0,30.0,12.0,13.0,2020-12-06,KAN,,DEN,"W, 22-16",,6,38,0,6.3,2,1,5,5.0,0,50.0,2.5,0,0,0,0,0,0,31,48.4,0,0.0,0,0.0
12,13.0,31.0,13.0,14.0,2020-12-13,KAN,@,MIA,"W, 33-27",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,5,8.1,0,0.0,3,8.8
13,14.0,32.0,14.0,15.0,2020-12-20,KAN,@,NOR,"W, 32-29",,3,5,0,1.7,0,0,0,,0,,,0,0,0,0,0,0,22,22.4,0,0.0,5,14.7
14,15.0,33.0,15.0,16.0,2020-12-27,KAN,,ATL,"W, 17-14",,10,46,0,4.6,6,4,27,6.8,0,66.7,4.5,0,0,0,0,0,0,47,70.1,0,0.0,0,0.0
15,16.0,34.0,16.0,17.0,2021-01-03,KAN,,LAC,"L, 21-38",,0,0,0,,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,4,7.5,0,0.0,8,36.4
16,,,,,,,,,14-2,,39,169,1,4.3,26,18,116,6.4,0,69.2,4.5,0,0,0,1,0,0,280,25.4,0,0.0,27,6.1
