,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,29.0,1.0,1.0,2021-09-12,LAR,,CHI,"W, 34-14",*,16,70,1,4.4,1,1,17,17.0,0,100.0,17.0,49,94.2,0,0.0,0,0.0
1,2.0,30.0,2.0,2.0,2021-09-19,LAR,@,IND,"W, 27-24",*,13,53,1,4.1,5,3,29,9.7,0,60.0,5.8,40,67.8,0,0.0,0,0.0
2,2.0,,3.0,3.0,2021-09-26,LAR,,TAM,"W, 34-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,31.0,4.0,4.0,2021-10-03,LAR,,ARI,"L, 20-37",*,14,89,0,6.4,6,5,27,5.4,0,83.3,4.5,61,89.7,0,0.0,0,0.0
4,4.0,32.0,5.0,5.0,2021-10-07,LAR,@,SEA,"W, 26-17",*,17,82,1,4.8,1,1,17,17.0,0,100.0,17.0,44,65.7,0,0.0,0,0.0
5,5.0,33.0,6.0,6.0,2021-10-17,LAR,@,NYG,"W, 38-11",*,21,78,1,3.7,3,2,29,14.5,1,66.7,9.7,54,81.8,0,0.0,0,0.0
6,6.0,34.0,7.0,7.0,2021-10-24,LAR,,DET,"W, 28-19",*,15,45,0,3.0,6,3,19,6.3,0,50.0,3.2,57,87.7,0,0.0,0,0.0
7,7.0,35.0,8.0,8.0,2021-10-31,LAR,@,HOU,"W, 38-22",*,14,90,1,6.4,2,1,3,3.0,1,50.0,1.5,41,61.2,0,0.0,0,0.0
8,8.0,36.0,9.0,9.0,2021-11-07,LAR,,TEN,"L, 16-28",*,11,55,0,5.0,4,3,3,1.0,0,75.0,0.8,47,60.3,0,0.0,0,0.0
9,9.0,37.0,10.0,10.0,2021-11-15,LAR,@,SFO,"L, 10-31",*,5,31,0,6.2,6,4,10,2.5,0,66.7,1.7,41,74.5,0,0.0,0,0.0
10,10.0,38.0,11.0,12.0,2021-11-28,LAR,@,GNB,"L, 28-36",*,16,55,0,3.4,4,4,18,4.5,1,100.0,4.5,50,80.6,0,0.0,0,0.0
11,10.0,,12.0,13.0,2021-12-05,LAR,,JAX,"W, 37-7",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,10.0,,13.0,14.0,2021-12-13,LAR,@,ARI,"W, 30-23",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,11.0,39.0,14.0,15.0,2021-12-21,LAR,,SEA,"W, 20-10",,6,23,0,3.8,2,2,4,2.0,0,100.0,2.0,18,27.3,0,0.0,0,0.0
14,12.0,40.0,15.0,16.0,2021-12-26,LAR,@,MIN,"W, 30-23",,1,17,0,17.0,0,0,0,,0,,,5,7.1,0,0.0,0,0.0
15,12.0,,16.0,17.0,2022-01-02,LAR,@,BAL,"W, 20-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,12.0,,17.0,18.0,2022-01-09,LAR,,SFO,"L, 24-27 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,8-4,,149,688,5,4.6,40,29,176,6.1,3,72.5,4.4,507,65.4,0,0.0,0,0.0
