,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2014-09-04,GNB,@,SEA,"L, 16-36",,0,0,0,,0,,,9,14.5,0,0.0,9,33.3
1,2.0,2.0,2.0,2.0,2014-09-14,GNB,,NYJ,"W, 31-24",,7,5,50,10.0,0,71.4,7.1,36,50.7,0,0.0,7,23.3
2,3.0,3.0,3.0,3.0,2014-09-21,GNB,@,DET,"L, 7-19",,3,2,11,5.5,0,66.7,3.7,34,64.2,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2014-09-28,GNB,@,CHI,"W, 38-17",,3,2,18,9.0,0,66.7,6.0,37,71.2,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2014-10-02,GNB,,MIN,"W, 42-10",*,4,1,11,11.0,1,25.0,2.8,44,81.5,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2014-10-12,GNB,@,MIA,"W, 27-24",*,8,6,77,12.8,0,75.0,9.6,62,77.5,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2014-10-19,GNB,,CAR,"W, 38-17",*,1,1,21,21.0,1,100.0,21.0,46,79.3,0,0.0,9,28.1
7,8.0,8.0,8.0,8.0,2014-10-26,GNB,@,NOR,"L, 23-44",*,9,7,75,10.7,0,77.8,8.3,65,95.6,0,0.0,1,3.7
8,9.0,9.0,9.0,10.0,2014-11-09,GNB,,CHI,"W, 55-14",,2,1,10,10.0,0,50.0,5.0,38,56.7,0,0.0,17,53.1
9,10.0,10.0,10.0,11.0,2014-11-16,GNB,,PHI,"W, 53-20",*,2,2,13,6.5,1,100.0,6.5,43,63.2,0,0.0,5,14.7
10,11.0,11.0,11.0,12.0,2014-11-23,GNB,@,MIN,"W, 24-21",*,4,1,10,10.0,0,25.0,2.5,46,70.8,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2014-11-30,GNB,,NWE,"W, 26-21",*,11,6,121,20.2,0,54.5,11.0,59,80.8,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2014-12-08,GNB,,ATL,"W, 43-37",*,4,1,6,6.0,0,25.0,1.5,49,72.1,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2014-12-14,GNB,@,BUF,"L, 13-21",*,4,1,6,6.0,0,25.0,1.5,64,90.1,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2014-12-21,GNB,@,TAM,"W, 20-3",*,4,2,17,8.5,0,50.0,4.3,46,62.2,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2014-12-28,GNB,,DET,"W, 30-20",*,0,0,0,,0,,,60,90.9,0,0.0,0,0.0
16,,,,,,,,,12-4,,66,38,446,11.7,3,57.6,6.8,738,70.3,0,0.0,48,10.7
