,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,61.0,1.0,1.0,2023-09-07,DET,@,KAN,"W, 21-20",*,21,74,1,3.5,0,0,0,,0,,,0,0,0,0,0,0,55,78.6,0,0.0,0,0.0
1,2.0,62.0,2.0,2.0,2023-09-17,DET,,SEA,"L, 31-37 (OT)",*,16,67,1,4.2,1,1,7,7.0,0,100.0,7.0,1,1,0,0,0,0,30,45.5,0,0.0,0,0.0
2,2.0,,3.0,3.0,2023-09-24,DET,,ATL,"W, 20-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,63.0,4.0,4.0,2023-09-28,DET,@,GNB,"W, 34-20",*,32,121,3,3.8,2,2,20,10.0,0,100.0,10.0,0,0,0,0,0,0,53,70.7,0,0.0,0,0.0
4,4.0,64.0,5.0,5.0,2023-10-08,DET,,CAR,"W, 42-24",*,19,109,1,5.7,6,2,20,10.0,0,33.3,3.3,0,0,0,0,0,0,45,75.0,0,0.0,0,0.0
5,5.0,65.0,6.0,6.0,2023-10-15,DET,@,TAM,"W, 20-6",*,6,14,0,2.3,1,1,19,19.0,0,100.0,19.0,1,0,0,1,0,0,18,25.7,0,0.0,0,0.0
6,5.0,,7.0,7.0,2023-10-22,DET,@,BAL,"L, 6-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,,8.0,8.0,2023-10-30,DET,,LVR,"W, 26-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6.0,66.0,9.0,10.0,2023-11-12,DET,@,LAC,"W, 41-38",*,12,116,1,9.7,0,0,0,,0,,,0,0,0,0,0,0,25,37.9,0,0.0,0,0.0
9,7.0,67.0,10.0,11.0,2023-11-19,DET,,CHI,"W, 31-26",*,12,76,1,6.3,2,2,22,11.0,0,100.0,11.0,0,0,0,0,0,0,25,40.3,0,0.0,0,0.0
10,8.0,68.0,11.0,12.0,2023-11-23,DET,,GNB,"L, 22-29",*,15,71,1,4.7,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,23,27.4,0,0.0,0,0.0
11,9.0,69.0,12.0,13.0,2023-12-03,DET,@,NOR,"W, 33-28",*,18,56,1,3.1,2,1,-1,-1.0,0,50.0,-0.5,0,0,0,0,0,0,36,62.1,0,0.0,0,0.0
12,10.0,70.0,13.0,14.0,2023-12-10,DET,@,CHI,"L, 13-28",*,10,66,0,6.6,3,3,19,6.3,0,100.0,6.3,0,0,0,0,0,0,23,35.4,0,0.0,0,0.0
13,11.0,71.0,14.0,15.0,2023-12-16,DET,,DEN,"W, 42-17",*,17,85,0,5.0,3,2,-3,-1.5,0,66.7,-1.0,0,0,0,0,0,0,34,51.5,0,0.0,0,0.0
14,12.0,72.0,15.0,16.0,2023-12-24,DET,@,MIN,"W, 30-24",*,17,55,1,3.2,2,2,14,7.0,0,100.0,7.0,0,0,0,0,0,0,31,39.2,0,0.0,0,0.0
15,13.0,73.0,16.0,17.0,2023-12-30,DET,@,DAL,"L, 19-20",*,14,65,1,4.6,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,27,39.1,0,0.0,0,0.0
16,14.0,74.0,17.0,18.0,2024-01-07,DET,,MIN,"W, 30-20",*,10,40,1,4.0,0,0,0,,0,,,0,0,0,0,0,0,28,49.1,0,0.0,0,0.0
17,,,,,,,,,10-4,,219,1015,13,4.6,24,16,117,7.3,0,66.7,4.9,2,1,0,1,0,0,453,47.8,0,0.0,0,0.0
