,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2019-09-08,CLE,,TEN,"L, 13-43",*,6,4,37,9.3,1,66.7,6.2,65,91.5,0,0.0,0,0.0
1,2.0,34.0,2.0,2.0,2019-09-16,CLE,@,NYJ,"W, 23-3",,1,0,0,,0,0.0,0.0,10,14.5,0,0.0,0,0.0
2,2.0,,3.0,3.0,2019-09-22,CLE,,LAR,"L, 13-20",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
3,2.0,,4.0,4.0,2019-09-29,CLE,@,BAL,"W, 40-25",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
4,2.0,,5.0,5.0,2019-10-07,CLE,@,SFO,"L, 3-31",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
5,2.0,,6.0,6.0,2019-10-13,CLE,,SEA,"L, 28-32",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
6,2.0,,7.0,8.0,2019-10-27,CLE,@,NWE,"L, 13-27",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
7,2.0,,8.0,9.0,2019-11-03,CLE,@,DEN,"L, 19-24",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,2.0,,9.0,10.0,2019-11-10,CLE,,BUF,"W, 19-16",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,2.0,,10.0,11.0,2019-11-14,CLE,,PIT,"W, 21-7",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,2.0,,11.0,12.0,2019-11-24,CLE,,MIA,"W, 41-24",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,2.0,,12.0,13.0,2019-12-01,CLE,@,PIT,"L, 13-20",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,3.0,35.0,13.0,14.0,2019-12-08,CLE,,CIN,"W, 27-19",,3,1,4,4.0,0,33.3,1.3,20,37.0,0,0.0,0,0.0
13,3.0,,14.0,15.0,2019-12-15,CLE,@,ARI,"L, 24-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,3.0,,15.0,16.0,2019-12-22,CLE,,BAL,"L, 15-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,4.0,36.0,16.0,17.0,2019-12-29,CLE,@,CIN,"L, 23-33",,0,0,0,,0,,,4,7.4,0,0.0,0,0.0
16,,,,,,,,,2-2,,10,5,41,8.2,1,50.0,4.1,99,39.9,0,0.0,0,0.0
