,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,80.0,1.0,1.0,2023-09-10,CLE,,CIN,"W, 24-3",*,3,2,24,12.0,0,66.7,8.0,0,0,0,0,0,0,54,73.0,0,0.0,0,0.0
1,2.0,81.0,2.0,2.0,2023-09-18,CLE,@,PIT,"L, 22-26",*,4,4,48,12.0,0,100.0,12.0,1,1,0,0,0,0,74,85.1,0,0.0,0,0.0
2,3.0,82.0,3.0,3.0,2023-09-24,CLE,,TEN,"W, 27-3",*,4,4,20,5.0,0,100.0,5.0,0,0,0,0,0,0,52,73.2,0,0.0,0,0.0
3,4.0,83.0,4.0,4.0,2023-10-01,CLE,,BAL,"L, 3-28",*,7,6,46,7.7,0,85.7,6.6,0,0,0,0,0,0,48,69.6,0,0.0,0,0.0
4,5.0,84.0,5.0,6.0,2023-10-15,CLE,,SFO,"W, 19-17",*,4,3,24,8.0,0,75.0,6.0,0,0,0,0,0,0,63,82.9,0,0.0,0,0.0
5,6.0,85.0,6.0,7.0,2023-10-22,CLE,@,IND,"W, 39-38",*,9,5,54,10.8,0,55.6,6.0,0,0,0,0,0,0,72,96.0,0,0.0,0,0.0
6,7.0,86.0,7.0,8.0,2023-10-29,CLE,@,SEA,"L, 20-24",*,8,4,77,19.3,1,50.0,9.6,0,0,0,0,0,0,61,78.2,0,0.0,0,0.0
7,8.0,87.0,8.0,9.0,2023-11-05,CLE,,ARI,"W, 27-0",*,6,4,26,6.5,1,66.7,4.3,0,0,0,0,0,0,56,76.7,0,0.0,0,0.0
8,9.0,88.0,9.0,10.0,2023-11-12,CLE,@,BAL,"W, 33-31",*,9,6,58,9.7,0,66.7,6.4,0,0,0,0,0,0,68,87.2,0,0.0,0,0.0
9,10.0,89.0,10.0,11.0,2023-11-19,CLE,,PIT,"W, 13-10",*,15,7,56,8.0,0,46.7,3.7,0,0,0,0,0,0,67,89.3,0,0.0,0,0.0
10,11.0,90.0,11.0,12.0,2023-11-26,CLE,@,DEN,"L, 12-29",*,9,6,59,9.8,0,66.7,6.6,0,0,0,0,0,0,62,84.9,0,0.0,0,0.0
11,12.0,91.0,12.0,13.0,2023-12-03,CLE,@,LAR,"L, 19-36",*,6,2,17,8.5,0,33.3,2.8,0,0,0,0,0,0,59,83.1,0,0.0,0,0.0
12,13.0,92.0,13.0,14.0,2023-12-10,CLE,,JAX,"W, 31-27",*,8,6,91,15.2,2,75.0,11.4,0,0,0,0,0,0,62,81.6,0,0.0,0,0.0
13,14.0,93.0,14.0,15.0,2023-12-17,CLE,,CHI,"W, 20-17",*,14,10,104,10.4,1,71.4,7.4,0,0,0,0,0,0,58,84.1,0,0.0,0,0.0
14,15.0,94.0,15.0,16.0,2023-12-24,CLE,@,HOU,"W, 36-22",*,9,6,44,7.3,1,66.7,4.9,0,0,0,0,0,0,65,79.3,0,0.0,0,0.0
15,16.0,95.0,16.0,17.0,2023-12-28,CLE,,NYJ,"W, 37-20",*,8,6,134,22.3,0,75.0,16.8,1,1,0,0,0,0,49,81.7,0,0.0,0,0.0
16,16.0,,17.0,18.0,2024-01-07,CLE,@,CIN,"L, 14-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,11-5,,123,81,882,10.9,6,65.9,7.2,2,2,0,0,0,0,970,81.7,0,0.0,0,0.0
