,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,43.0,1.0,1.0,2022-09-08,BUF,@,LAR,"W, 31-10",*,2,1,5,5.0,0,50.0,2.5,0.0,0,0,0,0,0,0,51,86.4,0,0.0,0,0.0
1,2.0,44.0,2.0,2.0,2022-09-19,BUF,,TEN,"W, 41-7",*,5,4,41,10.3,0,80.0,8.2,0.0,0,0,0,0,0,0,47,69.1,0,0.0,0,0.0
2,3.0,45.0,3.0,3.0,2022-09-25,BUF,@,MIA,"L, 19-21",*,4,4,25,6.3,0,100.0,6.3,0.0,1,1,0,0,0,0,65,70.7,0,0.0,0,0.0
3,4.0,46.0,4.0,4.0,2022-10-02,BUF,@,BAL,"W, 23-20",*,6,3,40,13.3,0,50.0,6.7,0.0,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0
4,4.0,,5.0,5.0,2022-10-09,BUF,,PIT,"W, 38-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,47.0,6.0,6.0,2022-10-16,BUF,@,KAN,"W, 24-20",*,3,3,37,12.3,1,100.0,12.3,0.0,0,0,0,0,0,0,62,84.9,0,0.0,0,0.0
6,6.0,48.0,7.0,8.0,2022-10-30,BUF,,GNB,"W, 27-17",*,3,2,10,5.0,1,66.7,3.3,0.0,0,0,0,0,0,0,52,88.1,0,0.0,0,0.0
7,7.0,49.0,8.0,9.0,2022-11-06,BUF,@,NYJ,"L, 17-20",*,4,3,25,8.3,0,75.0,6.3,0.0,0,0,0,0,0,0,53,85.5,0,0.0,0,0.0
8,8.0,50.0,9.0,10.0,2022-11-13,BUF,,MIN,"L, 30-33 (OT)",*,6,4,57,14.3,0,66.7,9.5,0.0,0,0,0,0,0,0,61,81.3,0,0.0,0,0.0
9,9.0,51.0,10.0,11.0,2022-11-20,BUF,,CLE,"W, 31-23",*,7,7,70,10.0,0,100.0,10.0,0.0,0,0,0,0,0,0,52,80.0,0,0.0,2,6.7
10,10.0,52.0,11.0,12.0,2022-11-24,BUF,@,DET,"W, 28-25",*,2,2,17,8.5,0,100.0,8.5,0.0,0,0,0,0,0,0,60,77.9,0,0.0,0,0.0
11,11.0,53.0,12.0,13.0,2022-12-01,BUF,@,NWE,"W, 24-10",*,1,0,0,,0,0.0,0.0,0.0,1,0,1,0,0,0,63,84.0,0,0.0,2,8.3
12,12.0,54.0,13.0,14.0,2022-12-11,BUF,,NYJ,"W, 20-12",*,7,4,41,10.3,1,57.1,5.9,0.0,0,0,0,0,0,0,51,86.4,0,0.0,1,3.3
13,13.0,55.0,14.0,15.0,2022-12-17,BUF,,MIA,"W, 32-29",*,8,6,98,16.3,1,75.0,12.3,0.0,0,0,0,0,0,0,64,82.1,0,0.0,0,0.0
14,14.0,56.0,15.0,16.0,2022-12-24,BUF,@,CHI,"W, 35-13",*,5,3,38,12.7,1,60.0,7.6,0.0,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0
15,15.0,57.0,16.0,18.0,2023-01-08,BUF,,NWE,"W, 35-23",*,2,2,13,6.5,1,100.0,6.5,0.0,1,1,0,0,0,0,48,81.4,0,0.0,0,0.0
16,,,,,,,,,12-3,,65,48,517,10.8,6,73.8,8.0,0.0,3,2,1,0,0,0,825,80.2,0,0.0,5,1.3
