,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,MIA,@,LAC,"W, 36-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,1.0,2.0,2.0,2023-09-17,MIA,@,NWE,"W, 24-17",,1,5,0,5.0,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.5,0,0.0,1,4.0
2,2.0,2.0,3.0,3.0,2023-09-24,MIA,,DEN,"W, 70-20",,18,203,2,11.3,4,4,30,7.5,2,100.0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.1,0,0.0,0,0.0
3,3.0,3.0,4.0,4.0,2023-10-01,MIA,@,BUF,"L, 20-48",,8,101,2,12.6,5,3,19,6.3,0,60.0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,39,60.0,0,0.0,1,3.6
4,4.0,4.0,5.0,5.0,2023-10-08,MIA,,NYG,"W, 31-16",*,11,151,1,13.7,1,1,14,14.0,0,100.0,14.0,0,0,0,0,0,0,0,1,1,0,0,0,0,26,48.1,0,0.0,4,15.4
5,4.0,,6.0,6.0,2023-10-15,MIA,,CAR,"W, 42-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,4.0,,7.0,7.0,2023-10-22,MIA,@,PHI,"L, 17-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,4.0,,8.0,8.0,2023-10-29,MIA,,NWE,"W, 31-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,4.0,,9.0,9.0,2023-11-05,MIA,@,KAN,"L, 14-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,5.0,5.0,10.0,11.0,2023-11-19,MIA,,LVR,"W, 20-13",*,1,1,0,1.0,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.3,0,0.0,1,3.8
