,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,65.0,1.0,1.0,2017-09-10,HOU,,JAX,"L, 7-29",*,16,7,55,7.9,1,43.8,3.4,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
1,2.0,66.0,2.0,2.0,2017-09-14,HOU,@,CIN,"W, 13-9",*,13,7,73,10.4,0,53.8,5.6,0,0,0,0,0,0,66,100.0,1,1.6,0,0.0
2,3.0,67.0,3.0,3.0,2017-09-24,HOU,@,NWE,"L, 33-36",*,8,7,76,10.9,0,87.5,9.5,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
3,4.0,68.0,4.0,4.0,2017-10-01,HOU,,TEN,"W, 57-14",*,12,10,107,10.7,1,83.3,8.9,0,0,0,0,0,0,78,92.9,0,0.0,0,0.0
4,5.0,69.0,5.0,5.0,2017-10-08,HOU,,KAN,"L, 34-42",*,12,4,52,13.0,3,33.3,4.3,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
5,6.0,70.0,6.0,6.0,2017-10-15,HOU,,CLE,"W, 33-17",*,4,2,19,9.5,1,50.0,4.8,0,0,0,0,0,0,63,95.5,0,0.0,0,0.0
6,7.0,71.0,7.0,8.0,2017-10-29,HOU,@,SEA,"L, 38-41",*,11,8,224,28.0,1,72.7,20.4,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
7,8.0,72.0,8.0,9.0,2017-11-05,HOU,,IND,"L, 14-20",*,16,6,86,14.3,1,37.5,5.4,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
8,9.0,73.0,9.0,10.0,2017-11-12,HOU,@,LAR,"L, 7-33",*,14,7,111,15.9,0,50.0,7.9,0,0,0,0,0,0,69,98.6,0,0.0,0,0.0
9,10.0,74.0,10.0,11.0,2017-11-19,HOU,,ARI,"W, 31-21",*,9,4,76,19.0,1,44.4,8.4,0,0,0,0,0,0,65,92.9,0,0.0,0,0.0
10,11.0,75.0,11.0,12.0,2017-11-27,HOU,@,BAL,"L, 16-23",*,10,7,125,17.9,0,70.0,12.5,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
11,12.0,76.0,12.0,13.0,2017-12-03,HOU,@,TEN,"L, 13-24",*,14,8,80,10.0,0,57.1,5.7,0,0,0,0,0,0,81,100.0,0,0.0,0,0.0
12,13.0,77.0,13.0,14.0,2017-12-10,HOU,,SFO,"L, 16-26",*,16,11,149,13.5,2,68.8,9.3,1,1,0,0,0,0,67,100.0,0,0.0,0,0.0
13,14.0,78.0,14.0,15.0,2017-12-17,HOU,@,JAX,"L, 7-45",*,13,4,80,20.0,1,30.8,6.2,0,0,0,0,0,0,53,93.0,0,0.0,0,0.0
14,15.0,79.0,15.0,16.0,2017-12-25,HOU,,PIT,"L, 6-34",*,6,4,65,16.3,1,66.7,10.8,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
15,15.0,,16.0,17.0,2017-12-31,HOU,@,IND,"L, 13-22",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,4-11,,174,96,1378,14.4,13,55.2,7.9,1,1,0,0,0,0,1021,98.2,1,0.1,0,0.0
