,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,111.0,1.0,1.0,2020-09-13,ARI,@,SFO,"W, 24-20",*,16,14,151,10.8,0,87.5,9.4,0,0,0,,0,0,0,0,0,0,77,93.9,0,0.0,0,0.0
1,2.0,112.0,2.0,2.0,2020-09-20,ARI,,WAS,"W, 30-15",*,9,8,68,8.5,1,88.9,7.6,0,0,0,,0,0,0,0,0,0,75,97.4,0,0.0,0,0.0
2,3.0,113.0,3.0,3.0,2020-09-27,ARI,,DET,"L, 23-26",*,12,10,137,13.7,0,83.3,11.4,0,0,0,,0,0,0,0,0,0,61,93.8,0,0.0,0,0.0
3,4.0,114.0,4.0,4.0,2020-10-04,ARI,@,CAR,"L, 21-31",*,9,7,41,5.9,0,77.8,4.6,0,0,0,,0,0,0,0,0,0,54,94.7,0,0.0,0,0.0
4,5.0,115.0,5.0,5.0,2020-10-11,ARI,@,NYJ,"W, 30-10",*,7,6,131,21.8,1,85.7,18.7,0,0,0,,0,0,0,0,0,0,65,85.5,0,0.0,0,0.0
5,6.0,116.0,6.0,6.0,2020-10-19,ARI,@,DAL,"W, 38-10",*,8,2,73,36.5,0,25.0,9.1,0,0,0,,0,0,0,0,0,0,48,77.4,0,0.0,0,0.0
6,7.0,117.0,7.0,7.0,2020-10-25,ARI,,SEA,"W, 37-34 (OT)",*,12,10,103,10.3,1,83.3,8.6,0,0,0,,1,1,0,0,0,0,80,95.2,0,0.0,0,0.0
7,8.0,118.0,8.0,9.0,2020-11-08,ARI,,MIA,"L, 31-34",*,3,3,30,10.0,0,100.0,10.0,0,0,0,,0,0,0,0,0,0,67,97.1,0,0.0,0,0.0
8,9.0,119.0,9.0,10.0,2020-11-15,ARI,,BUF,"W, 32-30",*,12,7,127,18.1,1,58.3,10.6,0,0,0,,0,0,0,0,0,0,70,95.9,0,0.0,0,0.0
9,10.0,120.0,10.0,11.0,2020-11-19,ARI,@,SEA,"L, 21-28",*,8,5,51,10.2,0,62.5,6.4,0,0,0,,0,0,0,0,0,0,61,91.0,0,0.0,0,0.0
10,11.0,121.0,11.0,12.0,2020-11-29,ARI,@,NWE,"L, 17-20",*,7,5,55,11.0,0,71.4,7.9,0,0,0,,0,0,0,0,0,0,71,95.9,0,0.0,0,0.0
11,12.0,122.0,12.0,13.0,2020-12-06,ARI,,LAR,"L, 28-38",*,13,8,52,6.5,1,61.5,4.0,0,0,0,,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
12,13.0,123.0,13.0,14.0,2020-12-13,ARI,@,NYG,"W, 26-7",*,11,9,136,15.1,0,81.8,12.4,0,0,0,,0,0,0,0,0,0,62,78.5,0,0.0,0,0.0
13,14.0,124.0,14.0,15.0,2020-12-20,ARI,,PHI,"W, 33-26",*,11,9,169,18.8,1,81.8,15.4,1,1,0,1.0,1,1,0,0,0,0,65,95.6,0,0.0,0,0.0
14,15.0,125.0,15.0,16.0,2020-12-26,ARI,,SFO,"L, 12-20",*,12,8,48,6.0,0,66.7,4.0,0,0,0,,1,0,0,0,0,0,75,91.5,0,0.0,0,0.0
15,16.0,126.0,16.0,17.0,2021-01-03,ARI,@,LAR,"L, 7-18",*,10,4,35,8.8,0,40.0,3.5,0,0,0,,0,0,0,0,0,0,48,90.6,0,0.0,0,0.0
16,,,,,,,,,8-8,,160,115,1407,12.2,6,71.9,8.8,1,1,0,1.0,3,2,0,0,0,0,1043,92.1,0,0.0,0,0.0
