,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,ARI,,KAN,"L, 21-44",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2022-09-18,ARI,@,LVR,"W, 29-23 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2022-09-25,ARI,,LAR,"L, 12-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2022-10-02,ARI,@,CAR,"W, 26-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,,5.0,5.0,2022-10-09,ARI,,PHI,"L, 17-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,,6.0,6.0,2022-10-16,ARI,@,SEA,"L, 9-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1.0,137.0,7.0,7.0,2022-10-20,ARI,,NOR,"W, 42-34",*,14,10,103,10.3,0,71.4,7.4,0.0,0,0,0,0,0,0,1,0,0,1,0,0,61,92.4,0,0.0,0,0.0
7,2.0,138.0,8.0,8.0,2022-10-30,ARI,@,MIN,"L, 26-34",*,13,12,159,13.3,1,92.3,12.2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
8,3.0,139.0,9.0,9.0,2022-11-06,ARI,,SEA,"L, 21-31",*,5,4,36,9.0,1,80.0,7.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,93.7,0,0.0,0,0.0
9,4.0,140.0,10.0,10.0,2022-11-13,ARI,@,LAR,"W, 27-17",*,14,10,98,9.8,0,71.4,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,94.1,0,0.0,0,0.0
10,5.0,141.0,11.0,11.0,2022-11-21,ARI,,SFO,"L, 10-38",*,12,9,91,10.1,0,75.0,7.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,69.0,0,0.0,0,0.0
11,6.0,142.0,12.0,12.0,2022-11-27,ARI,,LAC,"L, 24-25",*,6,4,87,21.8,1,66.7,14.5,0.0,1,1,0,0,0,0,0,0,0,0,0,0,49,74.2,0,0.0,0,0.0
12,7.0,143.0,13.0,14.0,2022-12-12,ARI,,NWE,"L, 13-27",*,11,7,79,11.3,0,63.6,7.2,0.0,0,0,0,0,0,0,1,1,0,0,0,0,64,85.3,0,0.0,0,0.0
13,8.0,144.0,14.0,15.0,2022-12-18,ARI,@,DEN,"L, 15-24",*,11,7,60,8.6,0,63.6,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,92.3,0,0.0,0,0.0
