,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,146.0,1.0,1.0,2023-09-10,TEN,@,NOR,"L, 15-16",*,13,7,65,9.3,0,53.8,5.0,0,0,0,,0,0,,0,0,0,,,,0,0,49,77.8,0,0.0,0,0.0
1,2.0,147.0,2.0,2.0,2023-09-17,TEN,,LAC,"W, 27-24 (OT)",*,5,4,40,10.0,0,80.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,39,60.0,0,0.0,0,0.0
2,3.0,148.0,3.0,3.0,2023-09-24,TEN,@,CLE,"L, 3-27",*,7,3,48,16.0,0,42.9,6.9,0,0,0,,0,0,,0,0,0,,,,0,0,35,72.9,0,0.0,0,0.0
3,4.0,149.0,4.0,4.0,2023-10-01,TEN,,CIN,"W, 27-3",*,6,4,63,15.8,0,66.7,10.5,0,0,0,,0,0,,0,0,0,,,,0,0,35,53.0,0,0.0,0,0.0
4,5.0,150.0,5.0,5.0,2023-10-08,TEN,@,IND,"L, 16-23",*,11,8,140,17.5,0,72.7,12.7,0,0,0,,0,0,,0,0,0,,,,0,0,50,83.3,0,0.0,0,0.0
5,6.0,151.0,6.0,6.0,2023-10-15,TEN,,BAL,"L, 16-24",*,5,1,20,20.0,0,20.0,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,48,87.3,0,0.0,0,0.0
6,7.0,152.0,7.0,8.0,2023-10-29,TEN,,ATL,"W, 28-23",*,6,4,128,32.0,3,66.7,21.3,0,0,0,,0,0,,0,0,0,,,,0,0,43,63.2,0,0.0,1,2.9
7,8.0,153.0,8.0,9.0,2023-11-02,TEN,@,PIT,"L, 16-20",*,11,4,60,15.0,0,36.4,5.5,1,5,0,5.0,0,0,,0,0,0,,,,0,0,51,68.9,0,0.0,0,0.0
8,9.0,154.0,9.0,10.0,2023-11-12,TEN,@,TAM,"L, 6-20",*,9,3,27,9.0,0,33.3,3.0,0,0,0,,0,0,,0,0,0,,,,0,0,50,79.4,0,0.0,0,0.0
9,10.0,155.0,10.0,11.0,2023-11-19,TEN,@,JAX,"L, 14-34",*,5,4,59,14.8,1,80.0,11.8,0,0,0,,0,0,,0,0,0,,,,0,0,25,62.5,0,0.0,0,0.0
10,11.0,156.0,11.0,12.0,2023-11-26,TEN,,CAR,"W, 17-10",*,5,3,49,16.3,0,60.0,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,30,56.6,0,0.0,0,0.0
11,12.0,157.0,12.0,13.0,2023-12-03,TEN,,IND,"L, 28-31 (OT)",*,12,5,75,15.0,1,41.7,6.3,1,4,0,4.0,0,0,,0,0,0,,,,0,0,65,76.5,0,0.0,0,0.0
12,13.0,158.0,13.0,14.0,2023-12-11,TEN,@,MIA,"W, 28-27",*,12,7,124,17.7,1,58.3,10.3,0,0,0,,0,0,,0,0,0,,,,0,0,45,63.4,0,0.0,0,0.0
13,14.0,159.0,14.0,15.0,2023-12-17,TEN,,HOU,"L, 16-19 (OT)",*,9,2,21,10.5,0,22.2,2.3,0,0,0,,0,0,,0,0,0,,,,0,0,49,77.8,0,0.0,0,0.0
14,15.0,160.0,15.0,16.0,2023-12-24,TEN,,SEA,"L, 17-20",*,4,2,20,10.0,0,50.0,5.0,0,0,0,,0,0,,0,0,0,,,,0,0,54,81.8,0,0.0,0,0.0
15,16.0,161.0,16.0,17.0,2023-12-31,TEN,@,HOU,"L, 3-26",,7,7,72,10.3,0,100.0,10.3,0,0,0,,0,0,,0,0,0,,,,0,0,47,85.5,0,0.0,0,0.0
16,17.0,162.0,17.0,18.0,2024-01-07,TEN,,JAX,"W, 28-20",*,10,7,46,6.6,1,70.0,4.6,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,43,78.2,0,0.0,0,0.0
17,,,,,,,,,6-11,,137,75,1057,14.1,7,54.7,7.7,2,9,0,4.5,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,758,72.2,0,0.0,1,0.2
