,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2021-09-12,PHI,@,ATL,"W, 32-6",*,8,6,71,11.8,1,75.0,8.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,87.3,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2021-09-19,PHI,,SFO,"L, 11-17",*,7,2,16,8.0,0,28.6,2.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,84.5,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2021-09-27,PHI,@,DAL,"L, 21-41",*,6,3,28,9.3,0,50.0,4.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,98.3,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2021-10-03,PHI,,KAN,"L, 30-42",*,10,7,122,17.4,0,70.0,12.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,91.9,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2021-10-10,PHI,@,CAR,"W, 21-18",*,9,7,77,11.0,0,77.8,8.6,0.0,0,0,0,0,0,0,1,1,0,0,0,0,62,92.5,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2021-10-14,PHI,,TAM,"L, 22-28",*,4,2,31,15.5,0,50.0,7.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,98.1,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2021-10-24,PHI,@,LVR,"L, 22-33",*,9,5,61,12.2,0,55.6,6.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,87.0,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2021-10-31,PHI,@,DET,"W, 44-6",*,3,1,15,15.0,0,33.3,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,67.7,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2021-11-07,PHI,,LAC,"L, 24-27",*,6,5,116,23.2,1,83.3,19.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,77.2,0,0.0,0,0.0
9,10.0,10.0,10.0,10.0,2021-11-14,PHI,@,DEN,"W, 30-13",*,6,4,66,16.5,2,66.7,11.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,54,84.4,0,0.0,0,0.0
10,11.0,11.0,11.0,11.0,2021-11-21,PHI,,NOR,"W, 40-29",*,6,4,61,15.3,0,66.7,10.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,92.3,0,0.0,1,2.6
11,12.0,12.0,12.0,12.0,2021-11-28,PHI,@,NYG,"L, 7-13",*,4,2,22,11.0,0,50.0,5.5,0.0,0,0,0,0,0,0,0,0,1,0,0,0,61,91.0,0,0.0,0,0.0
12,13.0,13.0,13.0,13.0,2021-12-05,PHI,@,NYJ,"W, 33-18",,4,2,15,7.5,0,50.0,3.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,62.0,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2021-12-21,PHI,,WAS,"W, 27-17",*,5,3,40,13.3,0,60.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,87.3,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2021-12-26,PHI,,NYG,"W, 34-10",*,7,5,80,16.0,1,71.4,11.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,85.7,0,0.0,1,3.2
15,16.0,16.0,16.0,17.0,2022-01-02,PHI,@,WAS,"W, 20-16",*,6,3,54,18.0,0,50.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,95.1,0,0.0,0,0.0
16,17.0,17.0,17.0,18.0,2022-01-08,PHI,,DAL,"L, 26-51",*,4,3,41,13.7,0,75.0,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,18.9,0,0.0,0,0.0
17,,,,,,,,,9-8,,104,64,916,14.3,5,61.5,8.8,0.0,1,1,0,0,0,0,1,1,1,0,0,0,916,81.8,0,0.0,2,0.4
