,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,23.0,1.0,1.0,2021-09-12,SFO,@,DET,"W, 41-33",*,12,9,189,21.0,1,75.0,15.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,46,83.6,0,0.0,0,0.0
1,2.0,24.0,2.0,2.0,2021-09-19,SFO,@,PHI,"W, 17-11",*,8,6,93,15.5,0,75.0,11.6,2,8,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,70.0,0,0.0,0,0.0
2,3.0,25.0,3.0,3.0,2021-09-26,SFO,,GNB,"L, 28-30",*,10,5,52,10.4,0,50.0,5.2,2,0,0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,90.0,0,0.0,0,0.0
3,4.0,26.0,4.0,4.0,2021-10-03,SFO,,SEA,"L, 21-28",*,13,8,156,19.5,2,61.5,12.0,1,1,0,1.0,0,0,,0,0,0,,,,0,0,1,15,0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,89.5,0,0.0,1,3.2
4,5.0,27.0,5.0,5.0,2021-10-10,SFO,@,ARI,"L, 10-17",*,9,3,58,19.3,0,33.3,6.4,1,13,1,13.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,86.2,0,0.0,1,5.3
5,6.0,28.0,6.0,7.0,2021-10-24,SFO,,IND,"L, 18-30",*,11,7,100,14.3,1,63.6,9.1,0,0,0,,0,0,,0,0,0,,,,0,0,2,60,0,30.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,48,85.7,0,0.0,2,7.1
6,7.0,29.0,7.0,8.0,2021-10-31,SFO,@,CHI,"W, 33-22",*,9,6,171,28.5,0,66.7,19.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,82.1,0,0.0,0,0.0
7,8.0,30.0,8.0,9.0,2021-11-07,SFO,,ARI,"L, 17-31",*,9,5,63,12.6,0,55.6,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0
8,9.0,31.0,9.0,10.0,2021-11-15,SFO,,LAR,"W, 31-10",*,5,5,97,19.4,1,100.0,19.4,5,36,1,7.2,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0
9,10.0,32.0,10.0,11.0,2021-11-21,SFO,@,JAX,"W, 30-10",*,2,1,15,15.0,0,50.0,7.5,8,79,1,9.9,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,79.7,0,0.0,0,0.0
10,11.0,33.0,11.0,12.0,2021-11-28,SFO,,MIN,"W, 34-26",*,4,1,12,12.0,0,25.0,3.0,6,66,2,11.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,65.7,0,0.0,0,0.0
11,11.0,,12.0,13.0,2021-12-05,SFO,@,SEA,"L, 23-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,12.0,34.0,13.0,14.0,2021-12-12,SFO,@,CIN,"W, 26-23 (OT)",*,1,1,22,22.0,0,100.0,22.0,8,37,1,4.6,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,77.5,0,0.0,0,0.0
13,13.0,35.0,14.0,15.0,2021-12-19,SFO,,ATL,"W, 31-13",,5,4,60,15.0,0,80.0,12.0,6,29,1,4.8,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,80.7,0,0.0,0,0.0
14,14.0,36.0,15.0,16.0,2021-12-23,SFO,@,TEN,"L, 17-20",*,11,9,159,17.7,0,81.8,14.5,5,32,0,6.4,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,1,1,0,0,0,0,2,0,0,1,0,0,45,76.3,0,0.0,0,0.0
15,15.0,37.0,16.0,17.0,2022-01-02,SFO,,HOU,"W, 23-7",*,6,3,63,21.0,1,50.0,10.5,7,19,0,2.7,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,85.5,0,0.0,0,0.0
16,16.0,38.0,17.0,18.0,2022-01-09,SFO,@,LAR,"W, 27-24 (OT)",*,6,4,95,23.8,0,66.7,15.8,8,45,1,5.6,1,1,100.0,24,1,0,24.0,44.00,158.3,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,71.4,0,0.0,5,17.9
17,,,,,,,,,10-6,,121,77,1405,18.2,6,63.6,11.6,59,365,8,6.2,1,2,50.0,24,1,0,12.0,22.00,133.3,0,0,3,75,0,25.0,0.0,1,1,0,0,0,0,4,2,0,1,0,0,829,80.3,0,0.0,9,2.2
