,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2020-09-13,SFO,,ARI,"L, 20-24",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
1,,,2.0,2.0,2020-09-20,SFO,@,NYJ,"W, 31-13",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
2,,,3.0,3.0,2020-09-27,SFO,@,NYG,"W, 36-9",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
3,1.0,16.0,4.0,4.0,2020-10-04,SFO,,PHI,"L, 20-25",,3,3,35,11.7,0,100.0,11.7,1,10,0,10.0,25,34.2,0,0.0,0,0.0
4,2.0,17.0,5.0,5.0,2020-10-11,SFO,,MIA,"L, 17-43",*,8,2,19,9.5,0,25.0,2.4,1,3,0,3.0,57,89.1,0,0.0,0,0.0
5,3.0,18.0,6.0,6.0,2020-10-18,SFO,,LAR,"W, 24-16",*,6,6,66,11.0,1,100.0,11.0,1,-6,0,-6.0,60,82.2,0,0.0,0,0.0
6,4.0,19.0,7.0,7.0,2020-10-25,SFO,@,NWE,"W, 33-6",*,5,5,65,13.0,0,100.0,13.0,3,7,0,2.3,41,62.1,0,0.0,0,0.0
7,4.0,,8.0,8.0,2020-11-01,SFO,@,SEA,"L, 27-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,4.0,,9.0,9.0,2020-11-05,SFO,,GNB,"L, 17-34",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
9,4.0,,10.0,10.0,2020-11-15,SFO,@,NOR,"L, 13-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,5.0,20.0,11.0,12.0,2020-11-29,SFO,@,LAR,"W, 23-20",*,13,11,133,12.1,0,84.6,10.2,0,0,0,,63,87.5,0,0.0,0,0.0
11,6.0,21.0,12.0,13.0,2020-12-07,SFO,,BUF,"L, 24-34",,9,6,73,12.2,0,66.7,8.1,1,3,0,3.0,58,95.1,0,0.0,0,0.0
12,7.0,22.0,13.0,14.0,2020-12-13,SFO,,WAS,"L, 15-23",*,0,0,0,,0,,,1,9,0,9.0,1,1.2,0,0.0,0,0.0
13,7.0,,14.0,15.0,2020-12-20,SFO,@,DAL,"L, 33-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,7.0,,15.0,16.0,2020-12-26,SFO,@,ARI,"W, 20-12",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,7.0,,16.0,17.0,2021-01-03,SFO,,SEA,"L, 23-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,3-4,,44,33,391,11.8,1,75.0,8.9,8,26,0,3.3,305,62.2,0,0.0,0,0.0
