,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,131.0,1.0,1.0,2024-09-08,LAR,@,DET,"L, 20-26 (OT)",*,7,4,42,10.5,0,57.1,6.0,72,92.3,0,0.0,0,0.0
1,2.0,132.0,2.0,2.0,2024-09-15,LAR,@,ARI,"L, 10-41",*,4,2,50,25.0,0,50.0,12.5,48,92.3,0,0.0,0,0.0
2,3.0,133.0,3.0,3.0,2024-09-22,LAR,,SFO,"W, 27-24",*,4,1,32,32.0,0,25.0,8.0,54,93.1,0,0.0,0,0.0
3,4.0,134.0,4.0,4.0,2024-09-29,LAR,@,CHI,"L, 18-24",*,3,2,37,18.5,0,66.7,12.3,52,85.2,0,0.0,0,0.0
4,5.0,135.0,5.0,5.0,2024-10-06,LAR,,GNB,"L, 19-24",*,5,3,28,9.3,1,60.0,5.6,76,97.4,0,0.0,0,0.0
5,6.0,136.0,6.0,7.0,2024-10-20,LAR,,LVR,"W, 20-15",*,3,1,9,9.0,0,33.3,3.0,50,90.9,0,0.0,0,0.0
6,7.0,137.0,7.0,8.0,2024-10-24,LAR,,MIN,"W, 30-20",*,3,2,35,17.5,2,66.7,11.7,61,84.7,0,0.0,0,0.0
7,8.0,138.0,8.0,9.0,2024-11-03,LAR,@,SEA,"W, 26-20 (OT)",*,9,6,94,15.7,2,66.7,10.4,54,70.1,0,0.0,0,0.0
8,9.0,139.0,9.0,10.0,2024-11-11,LAR,,MIA,"L, 15-23",*,5,1,23,23.0,0,20.0,4.6,58,82.9,0,0.0,0,0.0
9,10.0,140.0,10.0,11.0,2024-11-17,LAR,@,NWE,"W, 28-22",*,4,2,19,9.5,0,50.0,4.8,39,75.0,0,0.0,0,0.0
10,11.0,141.0,11.0,12.0,2024-11-24,LAR,,PHI,"L, 20-37",*,3,2,15,7.5,1,66.7,5.0,51,79.7,0,0.0,0,0.0
11,12.0,142.0,12.0,13.0,2024-12-01,LAR,@,NOR,"W, 21-14",*,3,2,49,24.5,1,66.7,16.3,34,60.7,0,0.0,0,0.0
12,13.0,143.0,13.0,14.0,2024-12-08,LAR,,BUF,"W, 44-42",*,1,0,0,,0,0.0,0.0,47,61.0,0,0.0,0,0.0
13,14.0,144.0,14.0,15.0,2024-12-12,LAR,@,SFO,"W, 12-6",*,1,0,0,,0,0.0,0.0,51,78.5,0,0.0,0,0.0
14,15.0,145.0,15.0,16.0,2024-12-22,LAR,@,NYJ,"W, 19-9",*,1,0,0,,0,0.0,0.0,38,73.1,0,0.0,0,0.0
15,16.0,146.0,16.0,17.0,2024-12-28,LAR,,ARI,"W, 13-9",*,2,0,0,,0,0.0,0.0,45,78.9,0,0.0,0,0.0
16,17.0,147.0,17.0,18.0,2025-01-05,LAR,,SEA,"L, 25-30",*,6,3,72,24.0,0,50.0,12.0,62,93.9,0,0.0,0,0.0
17,,,,,,,,,10-7,,64,31,505,16.3,7,48.4,7.9,892,81.8,0,0.0,0,0.0
