,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2014,23,OAK,NFL,QB,16.0,16.0,3-13-0,348.0,599.0,58.1,3270.0,21.0,3.5,12.0,2.0,163.0,39.5,77.0,5.5,5.26,9.4,204.4,76.6,42.1,24.0,149.0,3.85,5.01,4.82,1.0,1.0,5.0,
1,2015,24,OAK,NFL,QB,16.0,16.0,7-9-0,350.0,573.0,61.1,3987.0,32.0,5.6,13.0,2.3,188.0,43.9,68.0,7.0,7.05,11.4,249.2,91.1,43.1,31.0,230.0,5.13,6.22,6.31,4.0,4.0,13.0,PB
2,2016,25,OAK,NFL,QB,15.0,15.0,12-3-0,357.0,560.0,63.8,3937.0,28.0,5.0,6.0,1.1,191.0,45.1,75.0,7.0,7.55,11.0,262.5,96.7,56.1,16.0,79.0,2.78,6.7,7.2,7.0,7.0,12.0,"PB,AP MVP-3,AP OPoY-6"
3,2017,26,OAK,NFL,QB,15.0,15.0,6-9-0,323.0,515.0,62.7,3496.0,22.0,4.3,13.0,2.5,168.0,46.2,87.0,6.8,6.51,10.8,233.1,86.4,50.4,20.0,101.0,3.74,6.35,6.07,1.0,1.0,10.0,PB
4,2018,27,OAK,NFL,QB,16.0,16.0,4-12-0,381.0,553.0,68.9,4049.0,19.0,3.4,10.0,1.8,197.0,48.5,66.0,7.3,7.2,10.6,253.1,93.9,46.5,51.0,299.0,8.44,6.21,6.09,3.0,3.0,11.0,
5,2019,28,OAK,NFL,QB,16.0,16.0,7-9-0,361.0,513.0,70.4,4054.0,21.0,4.1,8.0,1.6,191.0,50.7,75.0,7.9,8.02,11.2,253.4,100.8,64.1,29.0,184.0,5.35,7.14,7.25,2.0,3.0,11.0,
6,2020,29,LVR,NFL,QB,16.0,16.0,8-8-0,348.0,517.0,67.3,4103.0,27.0,5.2,9.0,1.7,192.0,50.6,85.0,7.9,8.2,11.8,256.4,101.4,64.3,26.0,150.0,4.79,7.28,7.53,3.0,5.0,14.0,
7,2021,30,LVR,NFL,QB,17.0,17.0,10-7-0,428.0,626.0,68.4,4804.0,23.0,3.7,14.0,2.2,217.0,49.7,61.0,7.7,7.4,11.2,282.6,94.0,58.4,40.0,241.0,6.01,6.85,6.6,3.0,6.0,12.0,
8,2022,31,LVR,NFL,QB,15.0,15.0,6-9-0,305.0,502.0,60.8,3522.0,24.0,4.8,14.0,2.8,161.0,42.3,60.0,7.0,6.72,11.5,234.8,86.3,57.6,27.0,191.0,5.1,6.3,6.01,4.0,3.0,12.0,PB
9,2023,32,NOR,NFL,QB,17.0,17.0,9-8-0,375.0,548.0,68.4,3878.0,25.0,4.6,8.0,1.5,185.0,46.8,58.0,7.1,7.33,10.3,228.1,97.7,56.5,31.0,218.0,5.35,6.32,6.56,0.0,1.0,12.0,
10,2024,33,NOR,NFL,QB,10.0,10.0,5-5-0,189.0,279.0,67.7,2145.0,15.0,5.4,5.0,1.8,93.0,45.3,71.0,7.7,7.96,11.3,214.5,101.0,63.4,8.0,48.0,2.79,7.31,7.57,0.0,1.0,7.0,
11,11 Yrs,11 Yrs,11 Yrs,11 Yrs,,169.0,169.0,77-92-0,3765.0,5785.0,65.1,41245.0,257.0,4.4,112.0,1.9,1946.0,46.3,87.0,7.1,7.15,11.0,244.1,92.8,,303.0,1890.0,4.98,6.46,6.48,28.0,35.0,119.0,
12,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,77-92-0,379.0,582.0,65.1,4149.0,26.0,4.4,11.0,1.9,196.0,46.3,87.0,7.1,7.15,11.0,244.1,92.8,,30.0,190.0,4.98,6.46,6.48,3.0,4.0,12.0,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,OAK (9 Yrs),OAK (9 Yrs),OAK (9 Yrs),OAK (9 Yrs),,142.0,142.0,63-79-0,3201.0,4958.0,64.6,35222.0,217.0,4.4,99.0,2.0,1668.0,46.3,87.0,7.1,7.08,11.0,248.0,91.8,,264.0,1624.0,5.06,6.43,6.41,28.0,33.0,100.0,
15,NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),,27.0,27.0,14-13-0,564.0,827.0,68.2,6023.0,40.0,4.8,13.0,1.6,278.0,46.3,71.0,7.3,7.54,10.7,223.1,98.8,,39.0,266.0,4.5,6.65,6.9,0.0,2.0,19.0,
