,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,48.0,1.0,1.0,2019-09-08,TEN,@,CLE,"W, 43-13",*,19,84,1,4.4,2,1,75,75.0,1,50.0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,36,61.0,0,0.0,0,0.0
1,2.0,49.0,2.0,2.0,2019-09-15,TEN,,IND,"L, 17-19",*,15,82,1,5.5,3,2,12,6.0,0,66.7,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,50.8,0,0.0,0,0.0
2,3.0,50.0,3.0,3.0,2019-09-19,TEN,@,JAX,"L, 7-20",*,17,44,1,2.6,2,1,2,2.0,0,50.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,46.8,0,0.0,0,0.0
3,4.0,51.0,4.0,4.0,2019-09-29,TEN,@,ATL,"W, 24-10",*,27,100,0,3.7,1,1,8,8.0,0,100.0,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,75.8,0,0.0,0,0.0
4,5.0,52.0,5.0,5.0,2019-10-06,TEN,,BUF,"L, 7-14",*,20,78,1,3.9,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,36,63.2,0,0.0,0,0.0
5,6.0,53.0,6.0,6.0,2019-10-13,TEN,@,DEN,"L, 0-16",*,15,28,0,1.9,3,1,5,5.0,0,33.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,36,54.5,0,0.0,0,0.0
6,7.0,54.0,7.0,7.0,2019-10-20,TEN,,LAC,"W, 23-20",*,22,90,1,4.1,1,1,18,18.0,0,100.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,74.2,0,0.0,0,0.0
7,8.0,55.0,8.0,8.0,2019-10-27,TEN,,TAM,"W, 27-23",*,16,75,0,4.7,1,1,8,8.0,0,100.0,8.0,0,0,0,0,0,0,0,1,1,0,0,0,0,39,66.1,0,0.0,0,0.0
8,9.0,56.0,9.0,9.0,2019-11-03,TEN,@,CAR,"L, 20-30",*,13,63,1,4.8,3,3,36,12.0,1,100.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,52.8,0,0.0,0,0.0
9,10.0,57.0,10.0,10.0,2019-11-10,TEN,,KAN,"W, 35-32",*,23,188,2,8.2,2,2,3,1.5,0,100.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,36,72.0,0,0.0,0,0.0
10,11.0,58.0,11.0,12.0,2019-11-24,TEN,,JAX,"W, 42-20",*,19,159,2,8.4,1,1,16,16.0,0,100.0,16.0,0,0,0,0,0,0,0,1,1,0,0,0,0,40,75.5,0,0.0,0,0.0
11,12.0,59.0,12.0,13.0,2019-12-01,TEN,@,IND,"W, 31-17",*,26,149,1,5.7,3,3,17,5.7,0,100.0,5.7,0,0,0,0,0,0,0,1,1,0,0,0,0,44,74.6,0,0.0,0,0.0
12,13.0,60.0,13.0,14.0,2019-12-08,TEN,@,OAK,"W, 42-21",*,18,103,2,5.7,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,60.7,0,0.0,0,0.0
13,14.0,61.0,14.0,15.0,2019-12-15,TEN,,HOU,"L, 21-24",*,21,86,0,4.1,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,58.8,0,0.0,0,0.0
14,14.0,,15.0,16.0,2019-12-22,TEN,,NOR,"L, 28-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,62.0,16.0,17.0,2019-12-29,TEN,@,HOU,"W, 35-14",*,32,211,3,6.6,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,47,75.8,0,0.0,0,0.0
16,,,,,,,,,9-6,,303,1540,16,5.1,24,18,206,11.4,2,75.0,8.6,0,0,0,0,0,0,0,5,3,0,0,0,0,589,63.5,0,0.0,0,0.0
