,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2020-09-13,BAL,,CLE,"W, 38-6",,1,1,12,12.0,0,100.0,12.0,0,0,0,,2,64,0,32.0,0,0,0,,0.0,0,0,0,0,0,0,11,18.6,0,0.0,9,36.0
1,2.0,2.0,2.0,2.0,2020-09-20,BAL,@,HOU,"W, 33-16",,1,1,19,19.0,0,100.0,19.0,0,0,0,,3,55,0,18.3,0,0,0,,0.0,0,0,0,0,0,0,6,9.2,0,0.0,12,42.9
2,3.0,3.0,3.0,3.0,2020-09-28,BAL,,KAN,"L, 20-34",,3,2,7,3.5,0,66.7,2.3,0,0,0,,2,119,1,59.5,0,0,0,,0.0,0,0,0,0,0,0,7,12.5,0,0.0,12,48.0
3,4.0,4.0,4.0,4.0,2020-10-04,BAL,@,WAS,"W, 31-17",,2,1,4,4.0,0,50.0,2.0,0,0,0,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,16,28.1,0,0.0,12,44.4
4,5.0,5.0,5.0,5.0,2020-10-11,BAL,,CIN,"W, 27-3",,2,2,17,8.5,0,100.0,8.5,1,42,0,42.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,18,28.6,0,0.0,12,46.2
5,6.0,6.0,6.0,6.0,2020-10-18,BAL,@,PHI,"W, 30-28",,3,3,31,10.3,0,100.0,10.3,0,0,0,,1,37,0,37.0,0,0,0,,0.0,0,0,0,0,0,0,26,35.6,0,0.0,20,62.5
6,7.0,7.0,7.0,8.0,2020-11-01,BAL,,PIT,"L, 24-28",,3,1,39,39.0,0,33.3,13.0,0,0,0,,1,20,0,20.0,0,0,0,,0.0,0,0,0,0,0,0,37,45.1,0,0.0,5,19.2
7,8.0,8.0,8.0,9.0,2020-11-08,BAL,@,IND,"W, 24-10",,0,0,0,,0,,,1,-1,0,-1.0,1,23,0,23.0,0,0,0,,0.0,0,0,0,0,0,0,26,40.6,0,0.0,6,25.0
8,9.0,9.0,9.0,10.0,2020-11-15,BAL,@,NWE,"L, 17-23",,3,3,45,15.0,0,100.0,15.0,0,0,0,,1,24,0,24.0,0,0,0,,0.0,0,0,0,0,0,0,36,54.5,0,0.0,6,26.1
9,10.0,10.0,10.0,11.0,2020-11-22,BAL,,TEN,"L, 24-30 (OT)",,2,1,5,5.0,0,50.0,2.5,0,0,0,,2,54,0,27.0,0,0,0,,0.0,0,0,0,0,0,0,13,20.0,0,0.0,8,29.6
10,11.0,11.0,11.0,12.0,2020-12-02,BAL,@,PIT,"L, 14-19",*,3,3,20,6.7,0,100.0,6.7,0,0,0,,2,44,0,22.0,0,0,0,,0.0,0,0,0,0,0,0,41,77.4,0,0.0,9,36.0
11,12.0,12.0,12.0,13.0,2020-12-08,BAL,,DAL,"W, 34-17",*,1,1,2,2.0,0,100.0,2.0,0,0,0,,1,28,0,28.0,0,0,0,,0.0,0,0,0,0,0,0,44,80.0,0,0.0,4,14.3
12,13.0,13.0,13.0,14.0,2020-12-14,BAL,@,CLE,"W, 47-42",,0,0,0,,0,,,0,0,0,,3,71,0,23.7,0,0,0,,0.0,0,0,0,0,0,0,9,15.0,0,0.0,10,30.3
13,14.0,14.0,14.0,15.0,2020-12-20,BAL,,JAX,"W, 40-14",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,4,6.1,0,0.0,5,21.7
14,15.0,15.0,15.0,16.0,2020-12-27,BAL,,NYG,"W, 27-13",,1,1,0,0.0,0,100.0,0.0,1,7,0,7.0,2,39,0,19.5,2,36,0,18.0,0.0,0,0,0,0,0,0,23,33.8,0,0.0,7,29.2
15,16.0,16.0,16.0,17.0,2021-01-03,BAL,@,CIN,"W, 38-3",*,1,0,0,,0,0.0,0.0,1,22,0,22.0,0,0,0,,2,10,0,5.0,0.0,0,0,0,0,0,0,30,40.5,0,0.0,7,28.0
16,,,,,,,,,11-5,,26,20,201,10.1,0,76.9,7.7,4,70,0,17.5,21,578,1,27.5,4,46,0,11.5,0.0,0,0,0,0,0,0,347,33.8,0,0.0,144,34.2
