,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2022-09-11,BAL,@,NYJ,"W, 24-9",*,4,4,54,13.5,2,100.0,13.5,0,0,0,,0,0,0,,2,17,0,8.5,0,0,0,0,0,0,29,51.8,0,0.0,9,33.3
1,2.0,34.0,2.0,2.0,2022-09-18,BAL,,MIA,"L, 38-42",*,2,2,42,21.0,0,100.0,21.0,0,0,0,,1,103,1,103.0,1,5,0,5.0,0,0,0,0,0,0,32,54.2,0,0.0,8,26.7
2,3.0,35.0,3.0,3.0,2022-09-25,BAL,@,NWE,"W, 37-26",*,2,2,25,12.5,1,100.0,12.5,2,-2,0,-1.0,1,25,0,25.0,2,55,0,27.5,0,0,0,0,0,0,35,58.3,0,0.0,7,25.9
3,4.0,36.0,4.0,4.0,2022-10-02,BAL,,BUF,"L, 20-23",*,5,4,51,12.8,0,80.0,10.2,0,0,0,,2,40,0,20.0,0,0,0,,0,0,0,0,0,0,45,64.3,0,0.0,8,32.0
4,5.0,37.0,5.0,5.0,2022-10-09,BAL,,CIN,"W, 19-17",*,7,5,54,10.8,0,71.4,7.7,3,24,0,8.0,1,15,0,15.0,1,4,0,4.0,0,0,0,1,0,0,47,72.3,0,0.0,8,34.8
5,6.0,38.0,6.0,6.0,2022-10-16,BAL,@,NYG,"L, 20-24",*,5,1,14,14.0,0,20.0,2.8,0,0,0,,0,0,0,,1,12,0,12.0,0,0,0,0,0,0,40,67.8,0,0.0,10,38.5
6,7.0,39.0,7.0,7.0,2022-10-23,BAL,,CLE,"W, 23-20",*,3,2,42,21.0,0,66.7,14.0,0,0,0,,0,0,0,,1,46,0,46.0,0,0,0,0,0,0,42,65.6,0,0.0,8,29.6
7,8.0,40.0,8.0,8.0,2022-10-27,BAL,@,TAM,"W, 27-22",*,4,4,31,7.8,0,100.0,7.8,2,33,1,16.5,3,72,0,24.0,3,27,0,9.0,0,0,0,0,0,0,50,65.8,0,0.0,11,35.5
8,9.0,41.0,9.0,9.0,2022-11-07,BAL,@,NOR,"W, 27-13",*,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,50,73.5,0,0.0,8,30.8
9,10.0,42.0,10.0,11.0,2022-11-20,BAL,,CAR,"W, 13-3",*,1,1,3,3.0,0,100.0,3.0,1,4,0,4.0,0,0,0,,2,5,0,2.5,0,0,0,0,0,0,58,84.1,0,0.0,9,39.1
10,11.0,43.0,11.0,12.0,2022-11-27,BAL,@,JAX,"L, 27-28",*,5,3,23,7.7,0,60.0,4.6,2,16,0,8.0,1,6,0,6.0,0,0,0,,0,0,0,0,0,0,56,77.8,0,0.0,9,33.3
11,12.0,44.0,12.0,13.0,2022-12-04,BAL,,DEN,"W, 10-9",*,6,6,34,5.7,0,100.0,5.7,2,9,0,4.5,3,62,0,20.7,1,3,0,3.0,0,0,0,0,0,0,68,94.4,0,0.0,11,42.3
12,13.0,45.0,13.0,14.0,2022-12-11,BAL,@,PIT,"W, 16-14",*,1,0,0,,0,0.0,0.0,0,0,0,,1,19,0,19.0,1,9,0,9.0,0,0,0,0,0,0,35,57.4,0,0.0,5,23.8
13,14.0,46.0,14.0,15.0,2022-12-17,BAL,@,CLE,"L, 3-13",,3,2,29,14.5,0,66.7,9.7,0,0,0,,2,41,0,20.5,1,7,0,7.0,1,0,0,2,0,0,45,71.4,0,0.0,7,38.9
14,14.0,,15.0,16.0,2022-12-24,BAL,,ATL,"W, 17-9",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,14.0,,16.0,17.0,2023-01-01,BAL,,PIT,"L, 13-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,14.0,,17.0,18.0,2023-01-08,BAL,@,CIN,"L, 16-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,9-5,,49,37,407,11.0,3,75.5,8.3,12,84,1,7.0,15,383,1,25.5,16,190,0,11.9,1,0,0,3,0,0,632,69.1,0,0.0,118,33.1
