,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,13.0,1.0,1.0,2020-09-13,BUF,,NYJ,"W, 27-17",*,9,30,0,3.3,7,5,23,4.6,0,71.4,3.3,0,0,0,0,0,0,51,58.6,0,0.0,0,0.0
1,2.0,14.0,2.0,2.0,2020-09-20,BUF,@,MIA,"W, 31-28",*,10,56,0,5.6,3,2,20,10.0,0,66.7,6.7,0,0,0,0,0,0,34,55.7,0,0.0,0,0.0
2,3.0,15.0,3.0,3.0,2020-09-27,BUF,,LAR,"W, 35-32",*,13,71,0,5.5,5,4,50,12.5,0,80.0,10.0,0,0,0,0,0,0,55,88.7,0,0.0,0,0.0
3,4.0,16.0,4.0,4.0,2020-10-04,BUF,@,LVR,"W, 30-23",*,18,56,1,3.1,6,5,21,4.2,0,83.3,3.5,0,0,0,0,0,0,54,88.5,0,0.0,0,0.0
4,5.0,17.0,5.0,5.0,2020-10-13,BUF,@,TEN,"L, 16-42",*,11,25,0,2.3,1,1,8,8.0,0,100.0,8.0,0,0,0,0,0,0,45,62.5,0,0.0,0,0.0
5,6.0,18.0,6.0,6.0,2020-10-19,BUF,,KAN,"L, 17-26",*,10,32,0,3.2,2,1,13,13.0,0,50.0,6.5,0,0,0,0,0,0,40,75.5,0,0.0,0,0.0
6,7.0,19.0,7.0,7.0,2020-10-25,BUF,@,NYJ,"W, 18-10",*,8,29,0,3.6,5,2,18,9.0,0,40.0,3.6,0,0,0,0,0,0,40,54.1,0,0.0,0,0.0
7,8.0,20.0,8.0,8.0,2020-11-01,BUF,,NWE,"W, 24-21",*,14,86,0,6.1,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,28,48.3,0,0.0,0,0.0
8,9.0,21.0,9.0,9.0,2020-11-08,BUF,,SEA,"W, 44-34",*,2,1,0,0.5,3,3,33,11.0,0,100.0,11.0,0,0,0,0,0,0,31,45.6,0,0.0,0,0.0
9,10.0,22.0,10.0,10.0,2020-11-15,BUF,@,ARI,"L, 30-32",*,4,15,0,3.8,3,1,-5,-5.0,0,33.3,-1.7,0,0,0,0,0,0,34,46.6,0,0.0,0,0.0
10,11.0,23.0,11.0,12.0,2020-11-29,BUF,,LAC,"W, 27-17",*,11,82,0,7.5,3,3,20,6.7,0,100.0,6.7,1,1,0,0,0,0,25,40.3,0,0.0,0,0.0
11,12.0,24.0,12.0,13.0,2020-12-07,BUF,@,SFO,"W, 34-24",*,18,61,0,3.4,4,3,22,7.3,0,75.0,5.5,0,0,0,0,0,0,62,84.9,0,0.0,0,0.0
12,13.0,25.0,13.0,14.0,2020-12-13,BUF,,PIT,"W, 26-15",*,7,32,0,4.6,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,30,40.0,0,0.0,0,0.0
13,14.0,26.0,14.0,15.0,2020-12-19,BUF,@,DEN,"W, 48-19",*,8,68,1,8.5,3,3,16,5.3,0,100.0,5.3,0,0,0,0,0,0,39,53.4,0,0.0,0,0.0
14,15.0,27.0,15.0,16.0,2020-12-28,BUF,@,NWE,"W, 38-9",*,10,36,0,3.6,2,2,16,8.0,0,100.0,8.0,0,0,0,0,0,0,35,48.6,0,0.0,0,0.0
15,16.0,28.0,16.0,17.0,2021-01-03,BUF,,MIA,"W, 56-26",*,3,7,0,2.3,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,18,28.1,0,0.0,0,0.0
16,,,,,,,,,13-3,,156,687,2,4.4,50,38,269,7.1,0,76.0,5.4,1,1,0,0,0,0,621,57.1,0,0.0,0,0.0
