,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,48.0,1.0,1.0,2017-09-10,ATL,@,CHI,"W, 23-17",*,12,37,1,3.1,2,2,2,1.0,0,100.0,1.0,0,0,0,0,0,0,36,61.0,0,0.0,0,0.0
1,2.0,49.0,2.0,2.0,2017-09-17,ATL,,GNB,"W, 34-23",*,19,84,2,4.4,2,2,16,8.0,0,100.0,8.0,0,0,0,0,0,0,39,67.2,0,0.0,0,0.0
2,3.0,50.0,3.0,3.0,2017-09-24,ATL,@,DET,"W, 30-26",*,21,106,1,5.0,3,3,32,10.7,0,100.0,10.7,0,0,0,0,0,0,41,60.3,0,0.0,0,0.0
3,4.0,51.0,4.0,4.0,2017-10-01,ATL,,BUF,"L, 17-23",*,18,58,1,3.2,2,2,20,10.0,0,100.0,10.0,0,0,0,0,0,0,49,65.3,0,0.0,0,0.0
4,5.0,52.0,5.0,6.0,2017-10-15,ATL,,MIA,"L, 17-20",*,9,68,0,7.6,4,2,11,5.5,0,50.0,2.8,0,0,0,0,0,0,42,73.7,0,0.0,0,0.0
5,6.0,53.0,6.0,7.0,2017-10-22,ATL,@,NWE,"L, 7-23",*,12,72,0,6.0,3,3,18,6.0,0,100.0,6.0,0,0,0,0,0,0,41,71.9,0,0.0,0,0.0
6,7.0,54.0,7.0,8.0,2017-10-29,ATL,@,NYJ,"W, 25-20",*,12,41,0,3.4,3,1,20,20.0,0,33.3,6.7,0,0,0,0,0,0,40,60.6,0,0.0,0,0.0
7,8.0,55.0,8.0,9.0,2017-11-05,ATL,@,CAR,"L, 17-20",*,11,46,0,4.2,5,4,18,4.5,0,80.0,3.6,0,0,0,0,0,0,41,68.3,0,0.0,0,0.0
8,9.0,56.0,9.0,10.0,2017-11-12,ATL,,DAL,"W, 27-7",*,2,3,0,1.5,0,0,0,,0,,,0,0,0,0,0,0,2,3.1,0,0.0,0,0.0
9,9.0,,10.0,11.0,2017-11-20,ATL,@,SEA,"W, 34-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9.0,,11.0,12.0,2017-11-26,ATL,,TAM,"W, 34-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,57.0,12.0,13.0,2017-12-03,ATL,,MIN,"L, 9-14",*,12,74,0,6.2,2,1,7,7.0,0,50.0,3.5,0,0,0,0,0,0,39,73.6,0,0.0,0,0.0
12,11.0,58.0,13.0,14.0,2017-12-07,ATL,,NOR,"W, 20-17",*,24,91,1,3.8,0,0,0,,0,,,1,0,0,0,0,0,51,68.9,0,0.0,0,0.0
13,12.0,59.0,14.0,15.0,2017-12-18,ATL,@,TAM,"W, 24-21",*,22,126,1,5.7,7,5,68,13.6,0,71.4,9.7,2,0,0,0,0,0,50,71.4,0,0.0,0,0.0
14,13.0,60.0,15.0,16.0,2017-12-24,ATL,@,NOR,"L, 13-23",*,11,36,0,3.3,3,2,20,10.0,0,66.7,6.7,1,1,0,0,0,0,42,65.6,0,0.0,0,0.0
15,14.0,61.0,16.0,17.0,2017-12-31,ATL,,CAR,"W, 22-10",*,11,23,0,2.1,11,9,85,9.4,1,81.8,7.7,0,0,0,0,0,0,38,52.8,0,0.0,0,0.0
16,,,,,,,,,8-6,,196,865,7,4.4,47,36,317,8.8,1,76.6,6.7,4,1,0,0,0,0,551,61.4,0,0.0,0,0.0
