,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,46.0,1.0,1.0,2019-09-09,DEN,@,OAK,"L, 16-24",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,0,0.0,8,32.0
1,2.0,47.0,2.0,2.0,2019-09-15,DEN,,CHI,"L, 14-16",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,14,56.0
2,3.0,48.0,3.0,3.0,2019-09-22,DEN,@,GNB,"L, 16-27",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,16,61.5
3,4.0,49.0,4.0,4.0,2019-09-29,DEN,,JAX,"L, 24-26",,0,0,0,,0,,,0,0,0,,3,69,0,23.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,16,45.7
4,5.0,50.0,5.0,5.0,2019-10-06,DEN,@,LAC,"W, 20-13",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,10,37.0
5,6.0,51.0,6.0,6.0,2019-10-13,DEN,,TEN,"W, 16-0",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,11,40.7
6,7.0,52.0,7.0,7.0,2019-10-17,DEN,,KAN,"L, 6-30",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,16,53.3
7,8.0,53.0,8.0,8.0,2019-10-27,DEN,@,IND,"L, 13-15",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,13,43.3
8,9.0,54.0,9.0,9.0,2019-11-03,DEN,,CLE,"W, 24-19",,1,1,14,14.0,0,100.0,14.0,0,0,0,,1,32,0,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0,0.0,12,44.4
9,10.0,55.0,10.0,11.0,2019-11-17,DEN,@,MIN,"L, 23-27",,2,0,0,,0,0.0,0.0,1,4,0,4.0,0,0,0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,5,6.3,0,0.0,15,53.6
10,11.0,56.0,11.0,12.0,2019-11-24,DEN,@,BUF,"L, 3-20",,0,0,0,,0,,,0,0,0,,1,11,0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.1,0,0.0,8,33.3
11,12.0,57.0,12.0,13.0,2019-12-01,DEN,,LAC,"W, 23-20",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,13,41.9
12,13.0,58.0,13.0,14.0,2019-12-08,DEN,@,HOU,"W, 38-24",,2,2,24,12.0,0,100.0,12.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.4,0,0.0,12,46.2
13,14.0,59.0,14.0,15.0,2019-12-15,DEN,@,KAN,"L, 3-23",,0,0,0,,0,,,1,5,0,5.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.5,0,0.0,9,50.0
14,15.0,60.0,15.0,16.0,2019-12-22,DEN,,DET,"W, 27-17",,2,1,2,2.0,0,50.0,1.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.6,0,0.0,14,51.9
15,16.0,61.0,16.0,17.0,2019-12-29,DEN,,OAK,"W, 16-15",,2,2,17,8.5,0,100.0,8.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,5,8.2,0,0.0,8,29.6
16,,,,,,,,,7-9,,9,6,57,9.5,0,66.7,6.3,2,9,0,4.5,5,112,0,22.4,0.0,1,0,1,0,0,0,0,0,0,1,0,0,26,2.6,0,0.0,195,45.0
