,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2020,24,PIT,NFL,WR,1.0,1.0,16.0,11.0,117.0,10.6,0.0,8.0,62.5,19.0,11.0,117.0,68.8,7.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.6,117.0,0.0,0.0,
1,2021,25,PIT,NFL,WR,1.0,1.0,10.0,5.0,34.0,6.8,1.0,4.0,50.0,13.0,5.0,34.0,50.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.8,34.0,1.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023,27,PIT,NFL,WR,1.0,1.0,7.0,4.0,48.0,12.0,1.0,4.0,57.1,19.0,4.0,48.0,57.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,48.0,1.0,0.0,
4,2024,28,HOU,NFL,WR,1.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,12.0,1.0,12.0,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,
5,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,4.0,3.0,34.0,21.0,211.0,10.0,2.0,16.0,55.9,19.0,5.3,52.8,61.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,211.0,2.0,0.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,145.0,89.0,897.0,10.0,9.0,68.0,55.9,19.0,5.3,52.8,61.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0,89.0,10.0,897.0,9.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PIT (3 Yrs),PIT (3 Yrs),PIT (3 Yrs),PIT (3 Yrs),,3.0,3.0,33.0,20.0,199.0,10.0,2.0,16.0,57.6,19.0,6.7,66.3,60.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,199.0,2.0,0.0,
9,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,12.0,1.0,12.0,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,
