,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2021-09-12,PIT,@,BUF,"W, 23-16",*,10,5,36,7.2,1,50.0,3.6,0,0,0,,0,0,0,0,0,0,44,75.9,0,0.0,1,3.4
1,2.0,33.0,2.0,2.0,2021-09-19,PIT,,LVR,"L, 17-26",*,12,9,105,11.7,0,75.0,8.8,0,0,0,,0,0,0,0,0,0,49,87.5,0,0.0,0,0.0
2,2.0,,3.0,3.0,2021-09-26,PIT,,CIN,"L, 10-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,34.0,4.0,4.0,2021-10-03,PIT,@,GNB,"L, 17-27",*,13,9,92,10.2,1,69.2,7.1,0,0,0,,0,0,0,0,0,0,55,91.7,0,0.0,0,0.0
4,4.0,35.0,5.0,5.0,2021-10-10,PIT,,DEN,"W, 27-19",*,2,2,72,36.0,1,100.0,36.0,0,0,0,,0,0,0,0,0,0,60,92.3,0,0.0,0,0.0
5,5.0,36.0,6.0,6.0,2021-10-17,PIT,,SEA,"W, 23-20 (OT)",*,13,9,71,7.9,0,69.2,5.5,1,25,0,25.0,0,0,0,0,0,0,69,92.0,0,0.0,0,0.0
6,6.0,37.0,7.0,8.0,2021-10-31,PIT,@,CLE,"W, 15-10",*,13,6,98,16.3,0,46.2,7.5,0,0,0,,0,0,0,0,0,0,68,91.9,0,0.0,0,0.0
7,7.0,38.0,8.0,9.0,2021-11-08,PIT,,CHI,"W, 29-27",,6,5,56,11.2,0,83.3,9.3,2,11,0,5.5,0,0,0,0,0,0,65,90.3,0,0.0,0,0.0
8,8.0,39.0,9.0,10.0,2021-11-14,PIT,,DET,"T, 16-16 (OT)",*,13,7,83,11.9,0,53.8,6.4,0,0,0,,1,1,0,0,0,0,75,86.2,0,0.0,0,0.0
9,9.0,40.0,10.0,11.0,2021-11-21,PIT,@,LAC,"L, 37-41",*,13,7,101,14.4,1,53.8,7.8,0,0,0,,0,0,0,0,0,0,63,91.3,0,0.0,0,0.0
10,10.0,41.0,11.0,12.0,2021-11-28,PIT,@,CIN,"L, 10-41",*,14,9,95,10.6,0,64.3,6.8,0,0,0,,0,0,0,0,0,0,61,98.4,0,0.0,0,0.0
11,11.0,42.0,12.0,13.0,2021-12-05,PIT,,BAL,"W, 20-19",*,11,8,105,13.1,2,72.7,9.5,0,0,0,,0,0,0,0,0,0,57,95.0,0,0.0,1,4.0
12,12.0,43.0,13.0,14.0,2021-12-09,PIT,@,MIN,"L, 28-36",*,10,5,76,15.2,0,50.0,7.6,1,7,0,7.0,0,0,0,0,0,0,72,97.3,0,0.0,0,0.0
13,13.0,44.0,14.0,15.0,2021-12-19,PIT,,TEN,"W, 19-13",*,5,5,38,7.6,0,100.0,7.6,1,10,0,10.0,0,0,0,0,0,0,48,98.0,0,0.0,0,0.0
14,14.0,45.0,15.0,16.0,2021-12-26,PIT,@,KAN,"L, 10-36",*,9,6,51,8.5,1,66.7,5.7,0,0,0,,1,1,0,0,0,0,65,90.3,0,0.0,0,0.0
15,15.0,46.0,16.0,17.0,2022-01-03,PIT,,CLE,"W, 26-14",*,15,8,31,3.9,1,53.3,2.1,0,0,0,,0,0,0,0,0,0,72,88.9,0,0.0,1,3.2
16,16.0,47.0,17.0,18.0,2022-01-09,PIT,@,BAL,"W, 16-13 (OT)",,10,7,51,7.3,0,70.0,5.1,0,0,0,,0,0,0,0,0,0,65,85.5,0,0.0,0,0.0
17,,,,,,,,,9-6-1,,169,107,1161,10.9,8,63.3,6.9,5,53,0,10.6,2,2,0,0,0,0,988,90.6,0,0.0,3,0.6
