,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,65.0,1.0,1.0,2023-09-10,PIT,,SFO,"L, 7-30",*,6,3,48,16.0,0,50.0,8.0,0,0,0,0,0,0,27,42.9,0,0.0,0,0.0
1,1.0,,2.0,2.0,2023-09-18,PIT,,CLE,"W, 26-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1.0,,3.0,3.0,2023-09-24,PIT,@,LVR,"W, 23-18",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1.0,,4.0,4.0,2023-10-01,PIT,@,HOU,"L, 6-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,1.0,,5.0,5.0,2023-10-08,PIT,,BAL,"W, 17-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2.0,66.0,6.0,7.0,2023-10-22,PIT,@,LAR,"W, 24-17",*,6,5,79,15.8,0,83.3,13.2,0,0,0,0,0,0,39,66.1,0,0.0,0,0.0
6,3.0,67.0,7.0,8.0,2023-10-29,PIT,,JAX,"L, 10-20",*,14,8,85,10.6,0,57.1,6.1,0,0,0,0,0,0,61,91.0,0,0.0,0,0.0
7,4.0,68.0,8.0,9.0,2023-11-02,PIT,,TEN,"W, 20-16",*,9,7,90,12.9,1,77.8,10.0,0,0,0,0,0,0,57,87.7,0,0.0,0,0.0
8,5.0,69.0,9.0,10.0,2023-11-12,PIT,,GNB,"W, 23-19",*,4,1,17,17.0,0,25.0,4.3,0,0,0,0,0,0,53,81.5,0,0.0,0,0.0
9,6.0,70.0,10.0,11.0,2023-11-19,PIT,@,CLE,"L, 10-13",*,8,2,16,8.0,0,25.0,2.0,0,0,0,0,0,0,50,86.2,0,0.0,0,0.0
10,7.0,71.0,11.0,12.0,2023-11-26,PIT,@,CIN,"W, 16-10",*,8,4,50,12.5,0,50.0,6.3,0,0,0,0,0,0,52,73.2,0,0.0,1,4.2
11,8.0,72.0,12.0,13.0,2023-12-03,PIT,,ARI,"L, 10-24",*,5,4,33,8.3,1,80.0,6.6,0,0,0,0,0,0,44,72.1,0,0.0,0,0.0
12,9.0,73.0,13.0,14.0,2023-12-07,PIT,,NWE,"L, 18-21",*,7,3,57,19.0,1,42.9,8.1,0,0,0,0,0,0,48,68.6,0,0.0,0,0.0
13,10.0,74.0,14.0,15.0,2023-12-16,PIT,@,IND,"L, 13-30",*,6,4,62,15.5,1,66.7,10.3,0,0,0,0,0,0,50,86.2,0,0.0,0,0.0
14,11.0,75.0,15.0,16.0,2023-12-23,PIT,,CIN,"W, 34-11",,5,2,15,7.5,0,40.0,3.0,0,0,0,0,0,0,37,62.7,0,0.0,0,0.0
15,12.0,76.0,16.0,17.0,2023-12-31,PIT,@,SEA,"W, 30-23",,4,4,76,19.0,0,100.0,19.0,1,0,0,0,0,0,42,58.3,0,0.0,1,3.6
16,13.0,77.0,17.0,18.0,2024-01-06,PIT,@,BAL,"W, 17-10",*,5,4,89,22.3,1,80.0,17.8,0,0,0,0,0,0,30,48.4,0,0.0,1,3.7
17,,,,,,,,,7-6,,87,51,717,14.1,5,58.6,8.2,1,0,0,0,0,0,590,71.1,0,0.0,3,0.9
