,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,78.0,1.0,1,2024-09-08,CAR,@,NOR,"L, 10-47",*,6,2,19,9.5,0,33.3,3.2,0,0,0,,0,0,0,,39,66.1,0,0.0,0,0.0
1,2.0,79.0,2.0,2,2024-09-15,CAR,,LAC,"L, 3-26",*,6,3,15,5.0,0,50.0,2.5,0,0,0,,0,0,0,,45,93.8,0,0.0,0,0.0
2,3.0,80.0,3.0,3,2024-09-22,CAR,@,LVR,"W, 36-22",*,14,8,122,15.3,1,57.1,8.7,0,0,0,,0,0,0,,58,78.4,0,0.0,0,0.0
3,4.0,81.0,4.0,4,2024-09-29,CAR,,CIN,"L, 24-34",*,13,7,83,11.9,1,53.8,6.4,0,0,0,,0,0,0,,58,82.9,0,0.0,0,0.0
4,5.0,82.0,5.0,5,2024-10-06,CAR,@,CHI,"L, 10-36",*,6,3,23,7.7,0,50.0,3.8,2,6,0,3.0,0,0,0,,48,80.0,0,0.0,0,0.0
5,6.0,83.0,6.0,6,2024-10-13,CAR,,ATL,"L, 20-38",*,10,6,78,13.0,1,60.0,7.8,0,0,0,,0,0,0,,59,89.4,0,0.0,0,0.0
6,7.0,84.0,7.0,7,2024-10-20,CAR,@,WAS,"L, 7-40",*,3,1,17,17.0,0,33.3,5.7,0,0,0,,0,0,0,,30,69.8,0,0.0,0,0.0
7,7.0,,8.0,8,2024-10-27,CAR,@,DEN,"L, 14-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,,,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens,Player went from Carolina Panthers to Baltimore Ravens
9,8.0,85.0,9.0,9,2024-11-03,BAL,,DEN,"W, 41-10",,0,0,0,,0,,,0,0,0,,0,0,0,,17,29.8,0,0.0,0,0.0
