,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2024-09-06,GNB,@,PHI,"L, 29-34",,3,0,0,,0,0.0,0.0,31,46.3,0,0.0,0,0.0
1,2.0,17.0,2.0,2.0,2024-09-15,GNB,,IND,"W, 16-10",,4,3,26,8.7,1,75.0,6.5,36,51.4,0,0.0,0,0.0
2,3.0,18.0,3.0,3.0,2024-09-22,GNB,@,TEN,"W, 30-14",,2,0,0,,0,0.0,0.0,29,46.0,0,0.0,0,0.0
3,4.0,19.0,4.0,4.0,2024-09-29,GNB,,MIN,"L, 29-31",,13,5,78,15.6,2,38.5,6.0,58,76.3,0,0.0,0,0.0
4,5.0,20.0,5.0,5.0,2024-10-06,GNB,@,LAR,"W, 24-19",*,7,2,20,10.0,0,28.6,2.9,45,76.3,0,0.0,0,0.0
5,6.0,21.0,6.0,6.0,2024-10-13,GNB,,ARI,"W, 34-13",,3,1,9,9.0,0,33.3,3.0,10,13.7,0,0.0,0,0.0
6,7.0,22.0,7.0,7.0,2024-10-20,GNB,,HOU,"W, 24-22",,6,3,48,16.0,1,50.0,8.0,24,41.4,0,0.0,0,0.0
7,8.0,23.0,8.0,8.0,2024-10-27,GNB,@,JAX,"W, 30-27",,2,2,11,5.5,0,100.0,5.5,21,30.0,0,0.0,0,0.0
8,9.0,24.0,9.0,9.0,2024-11-03,GNB,,DET,"L, 14-24",,3,0,0,,0,0.0,0.0,35,53.8,0,0.0,0,0.0
9,10.0,25.0,10.0,11.0,2024-11-17,GNB,@,CHI,"W, 20-19",,1,0,0,,0,0.0,0.0,16,34.8,0,0.0,0,0.0
10,11.0,26.0,11.0,12.0,2024-11-24,GNB,,SFO,"W, 38-10",,2,1,25,25.0,0,50.0,12.5,28,38.9,0,0.0,0,0.0
11,12.0,27.0,12.0,13.0,2024-11-28,GNB,,MIA,"W, 30-17",*,5,4,30,7.5,0,80.0,6.0,48,88.9,0,0.0,1,4.2
12,13.0,28.0,13.0,14.0,2024-12-05,GNB,@,DET,"L, 31-34",*,5,4,49,12.3,0,80.0,9.8,39,78.0,0,0.0,0,0.0
13,14.0,29.0,14.0,15.0,2024-12-15,GNB,@,SEA,"W, 30-13",,2,2,14,7.0,0,100.0,7.0,30,46.9,0,0.0,0,0.0
14,15.0,30.0,15.0,16.0,2024-12-23,GNB,,NOR,"W, 34-0",,7,3,13,4.3,1,42.9,1.9,42,60.9,0,0.0,0,0.0
15,16.0,31.0,16.0,17.0,2024-12-29,GNB,@,MIN,"L, 25-27",*,5,4,43,10.8,0,80.0,8.6,46,73.0,0,0.0,0,0.0
16,17.0,32.0,17.0,18.0,2025-01-05,GNB,,CHI,"L, 22-24",*,6,5,49,9.8,0,83.3,8.2,48,73.8,0,0.0,0,0.0
17,,,,,,,,,11-6,,76,39,415,10.6,5,51.3,5.5,586,54.1,0,0.0,1,0.2
