,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2024-09-08,ATL,,PIT,"L, 10-18",*,3,2,15,7.5,0,66.7,5.0,0,0,0,,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
1,2.0,35.0,2.0,2.0,2024-09-16,ATL,@,PHI,"W, 22-21",*,7,6,54,9.0,1,85.7,7.7,0,0,0,,0,0,0,0,0,0,59,96.7,0,0.0,0,0.0
2,3.0,36.0,3.0,3.0,2024-09-22,ATL,,KAN,"L, 17-22",*,9,6,67,11.2,1,66.7,7.4,0,0,0,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
3,4.0,37.0,4.0,4.0,2024-09-29,ATL,,NOR,"W, 26-24",*,12,6,64,10.7,0,50.0,5.3,0,0,0,,0,0,0,0,0,0,55,98.2,0,0.0,0,0.0
4,5.0,38.0,5.0,5.0,2024-10-03,ATL,,TAM,"W, 36-30 (OT)",*,13,12,154,12.8,1,92.3,11.8,0,0,0,,0,0,0,0,0,0,73,83.9,0,0.0,0,0.0
5,6.0,39.0,6.0,6.0,2024-10-13,ATL,@,CAR,"W, 38-20",*,10,6,74,12.3,1,60.0,7.4,0,0,0,,0,0,0,0,0,0,67,95.7,0,0.0,0,0.0
6,7.0,40.0,7.0,7.0,2024-10-20,ATL,,SEA,"L, 14-34",*,8,6,63,10.5,1,75.0,7.9,0,0,0,,0,0,0,0,0,0,65,89.0,0,0.0,0,0.0
7,8.0,41.0,8.0,8.0,2024-10-27,ATL,@,TAM,"W, 31-26",*,6,4,34,8.5,0,66.7,5.7,0,0,0,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
8,9.0,42.0,9.0,9.0,2024-11-03,ATL,,DAL,"W, 27-21",*,2,2,27,13.5,1,100.0,13.5,0,0,0,,0,0,0,0,0,0,11,19.3,0,0.0,0,0.0
9,10.0,43.0,10.0,10.0,2024-11-10,ATL,@,NOR,"L, 17-20",*,13,8,97,12.1,0,61.5,7.5,0,0,0,,0,0,0,1,0,0,78,100.0,0,0.0,0,0.0
10,11.0,44.0,11.0,11.0,2024-11-17,ATL,@,DEN,"L, 6-38",*,7,3,61,20.3,0,42.9,8.7,0,0,0,,0,0,0,0,0,0,45,76.3,0,0.0,0,0.0
11,12.0,45.0,12.0,13.0,2024-12-01,ATL,,LAC,"L, 13-17",*,16,9,86,9.6,0,56.3,5.4,1,-3,0,-3.0,0,0,0,0,0,0,80,98.8,0,0.0,0,0.0
12,13.0,46.0,13.0,14.0,2024-12-08,ATL,@,MIN,"L, 21-42",*,10,5,70,14.0,0,50.0,7.0,0,0,0,,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
13,14.0,47.0,14.0,15.0,2024-12-16,ATL,@,LVR,"W, 15-9",*,3,3,53,17.7,1,100.0,17.7,0,0,0,,0,0,0,0,0,0,57,98.3,0,0.0,0,0.0
14,15.0,48.0,15.0,16.0,2024-12-22,ATL,,NYG,"W, 34-7",*,8,5,59,11.8,0,62.5,7.4,0,0,0,,0,0,0,0,0,0,49,73.1,0,0.0,0,0.0
15,16.0,49.0,16.0,17.0,2024-12-29,ATL,@,WAS,"L, 24-30 (OT)",*,13,7,106,15.1,0,53.8,8.2,0,0,0,,0,0,0,0,0,0,62,96.9,0,0.0,0,0.0
16,17.0,50.0,17.0,18.0,2025-01-05,ATL,,CAR,"L, 38-44 (OT)",*,18,10,187,18.7,2,55.6,10.4,0,0,0,,0,0,0,0,0,0,78,98.7,0,0.0,0,0.0
17,,,,,,,,,8-9,,158,100,1271,12.7,9,63.3,8.0,1,-3,0,-3.0,0,0,0,1,0,0,1032,90.3,0,0.0,0,0.0
