,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,45.0,1.0,1.0,2024-09-08,CLE,,DAL,"L, 17-33",*,6,3,9,3.0,0,50.0,1.5,0,0,0,,71,93.4,0,0.0,0,0.0
1,2.0,46.0,2.0,2.0,2024-09-15,CLE,@,JAX,"W, 18-13",*,8,6,44,7.3,0,75.0,5.5,0,0,0,,52,72.2,0,0.0,1,3.7
2,3.0,47.0,3.0,3.0,2024-09-22,CLE,,NYG,"L, 15-21",,3,2,17,8.5,0,66.7,5.7,0,0,0,,54,80.6,0,0.0,0,0.0
3,4.0,48.0,4.0,4.0,2024-09-29,CLE,@,LVR,"L, 16-20",*,1,1,11,11.0,0,100.0,11.0,0,0,0,,43,72.9,0,0.0,0,0.0
4,5.0,49.0,5.0,5.0,2024-10-06,CLE,@,WAS,"L, 13-34",*,4,3,11,3.7,0,75.0,2.8,0,0,0,,43,69.4,0,0.0,0,0.0
5,6.0,50.0,6.0,6.0,2024-10-13,CLE,@,PHI,"L, 16-20",*,1,1,3,3.0,0,100.0,3.0,0,0,0,,38,66.7,0,0.0,0,0.0
6,7.0,51.0,7.0,7.0,2024-10-20,CLE,,CIN,"L, 14-21",,6,6,41,6.8,0,100.0,6.8,0,0,0,,54,64.3,0,0.0,0,0.0
7,8.0,52.0,8.0,8.0,2024-10-27,CLE,,BAL,"W, 29-24",,12,8,85,10.6,0,66.7,7.1,0,0,0,,49,71.0,0,0.0,0,0.0
8,9.0,53.0,9.0,9.0,2024-11-03,CLE,,LAC,"L, 10-27",*,9,3,28,9.3,0,33.3,3.1,0,0,0,,60,75.9,0,0.0,0,0.0
9,10.0,54.0,10.0,11.0,2024-11-17,CLE,@,NOR,"L, 14-35",,8,6,66,11.0,1,75.0,8.3,0,0,0,,53,72.6,0,0.0,3,12.0
10,11.0,55.0,11.0,12.0,2024-11-21,CLE,,PIT,"W, 24-19",*,5,3,21,7.0,0,60.0,4.2,0,0,0,,40,69.0,0,0.0,0,0.0
11,12.0,56.0,12.0,13.0,2024-12-02,CLE,@,DEN,"L, 32-41",*,14,8,111,13.9,0,57.1,7.9,1,1,0,1.0,64,74.4,0,0.0,0,0.0
12,13.0,57.0,13.0,14.0,2024-12-08,CLE,@,PIT,"L, 14-27",*,4,3,34,11.3,0,75.0,8.5,0,0,0,,60,83.3,0,0.0,0,0.0
13,14.0,58.0,14.0,15.0,2024-12-15,CLE,,KAN,"L, 7-21",*,6,2,-1,-0.5,0,33.3,-0.2,0,0,0,,53,85.5,0,0.0,0,0.0
14,15.0,59.0,15.0,16.0,2024-12-22,CLE,@,CIN,"L, 6-24",*,5,2,21,10.5,0,40.0,4.2,0,0,0,,51,77.3,0,0.0,0,0.0
15,16.0,60.0,16.0,17.0,2024-12-29,CLE,,MIA,"L, 3-20",*,5,1,1,1.0,0,20.0,0.2,0,0,0,,51,64.6,0,0.0,0,0.0
16,17.0,61.0,17.0,18.0,2025-01-04,CLE,@,BAL,"L, 10-35",*,5,3,36,12.0,0,60.0,7.2,0,0,0,,56,94.9,0,0.0,0,0.0
17,,,,,,,,,3-14,,102,61,538,8.8,1,59.8,5.3,1,1,0,1.0,892,75.6,0,0.0,4,0.9
