,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,145.0,1.0,1.0,2020-09-13,NOR,,TAM,"W, 34-23",,5,3,15,5.0,1,60.0,3.0,0,0,0,,0,0,0,0,0,0,33,48.5,0,0.0,0,0.0
1,2.0,146.0,2.0,2.0,2020-09-21,NOR,@,LVR,"L, 24-34",*,3,1,18,18.0,0,33.3,6.0,0,0,0,,0,0,0,0,0,0,47,78.3,0,0.0,0,0.0
2,3.0,147.0,3.0,3.0,2020-09-27,NOR,,GNB,"L, 30-37",,5,4,56,14.0,1,80.0,11.2,0,0,0,,0,0,0,0,0,0,48,78.7,0,0.0,0,0.0
3,4.0,148.0,4.0,4.0,2020-10-04,NOR,@,DET,"W, 35-29",*,9,6,93,15.5,0,66.7,10.3,0,0,0,,0,0,0,0,0,0,51,72.9,0,0.0,0,0.0
4,5.0,149.0,5.0,5.0,2020-10-12,NOR,,LAC,"W, 30-27 (OT)",,14,12,122,10.2,0,85.7,8.7,0,0,0,,1,0,0,0,0,0,45,59.2,0,0.0,0,0.0
5,5.0,,6.0,7.0,2020-10-25,NOR,,CAR,"W, 27-24",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
6,5.0,,7.0,8.0,2020-11-01,NOR,@,CHI,"W, 26-23 (OT)",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
7,6.0,150.0,8.0,9.0,2020-11-08,NOR,@,TAM,"W, 38-3",,5,4,38,9.5,1,80.0,7.6,0,0,0,,0,0,0,0,0,0,22,30.1,0,0.0,0,0.0
8,7.0,151.0,9.0,10.0,2020-11-15,NOR,,SFO,"W, 27-13",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,0,0,0,34,57.6,0,0.0,0,0.0
9,8.0,152.0,10.0,11.0,2020-11-22,NOR,,ATL,"W, 24-9",,5,4,66,16.5,0,80.0,13.2,0,0,0,,0,0,0,0,0,0,39,58.2,0,0.0,0,0.0
10,9.0,153.0,11.0,12.0,2020-11-29,NOR,@,DEN,"W, 31-3",,1,1,4,4.0,0,100.0,4.0,0,0,0,,0,0,0,0,0,0,20,31.3,0,0.0,0,0.0
11,10.0,154.0,12.0,13.0,2020-12-06,NOR,@,ATL,"W, 21-16",,6,5,39,7.8,0,83.3,6.5,0,0,0,,0,0,0,0,0,0,49,62.8,0,0.0,0,0.0
12,11.0,155.0,13.0,14.0,2020-12-13,NOR,@,PHI,"L, 21-24",,5,3,48,16.0,1,60.0,9.6,0,0,0,,0,0,0,0,0,0,53,84.1,0,0.0,0,0.0
13,12.0,156.0,14.0,15.0,2020-12-20,NOR,,KAN,"L, 29-32",*,5,4,76,19.0,0,80.0,15.2,0,0,0,,0,0,0,0,0,0,39,70.9,0,0.0,1,2.9
14,13.0,157.0,15.0,16.0,2020-12-25,NOR,,MIN,"W, 52-33",*,5,4,83,20.8,0,80.0,16.6,1,12,0,12.0,0,0,0,0,0,0,38,50.7,0,0.0,0,0.0
15,14.0,158.0,16.0,17.0,2021-01-03,NOR,@,CAR,"W, 33-7",*,13,9,63,7.0,1,69.2,4.8,0,0,0,,0,0,0,0,0,0,41,64.1,0,0.0,0,0.0
16,,,,,,,,,10-4,,82,61,726,11.9,5,74.4,8.9,1,12,0,12.0,1,0,0,0,0,0,559,59.9,0,0.0,1,0.3
