,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2014-09-08,DET,,NYG,"W, 35-14",,2,0,0,,0,0.0,0.0,20,29.9,0,0.0,11,42.3
1,2.0,2.0,2.0,2.0,2014-09-14,DET,@,CAR,"L, 7-24",,5,3,38,12.7,0,60.0,7.6,26,36.1,0,0.0,6,23.1
2,3.0,3.0,3.0,3.0,2014-09-21,DET,,GNB,"W, 19-7",,1,0,0,,0,0.0,0.0,23,30.7,0,0.0,5,25.0
3,4.0,4.0,4.0,4.0,2014-09-28,DET,@,NYJ,"W, 24-17",,4,3,34,11.3,1,75.0,8.5,33,50.8,0,0.0,16,53.3
4,5.0,5.0,5.0,5.0,2014-10-05,DET,,BUF,"L, 14-17",,4,2,8,4.0,0,50.0,2.0,37,59.7,0,0.0,25,78.1
5,6.0,6.0,6.0,6.0,2014-10-12,DET,@,MIN,"W, 17-3",*,4,2,23,11.5,0,50.0,5.8,47,67.1,0,0.0,6,22.2
6,6.0,,7.0,7.0,2014-10-19,DET,,NOR,"W, 24-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,8.0,2014-10-26,DET,@,ATL,"W, 22-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6.0,,9.0,10.0,2014-11-09,DET,,MIA,"W, 20-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,7.0,7.0,10.0,11.0,2014-11-16,DET,@,ARI,"L, 6-14",*,4,4,22,5.5,0,100.0,5.5,33,58.9,0,0.0,3,14.3
10,8.0,8.0,11.0,12.0,2014-11-23,DET,@,NWE,"L, 9-34",,7,2,23,11.5,0,28.6,3.3,44,55.0,0,0.0,10,32.3
11,9.0,9.0,12.0,13.0,2014-11-27,DET,,CHI,"W, 34-17",*,4,3,23,7.7,0,75.0,5.8,42,57.5,0,0.0,4,13.8
12,10.0,10.0,13.0,14.0,2014-12-07,DET,,TAM,"W, 34-17",*,4,3,28,9.3,0,75.0,7.0,42,60.9,0,0.0,5,16.7
13,11.0,11.0,14.0,15.0,2014-12-14,DET,,MIN,"W, 16-14",*,2,1,11,11.0,0,50.0,5.5,20,39.2,0,0.0,3,12.5
14,12.0,12.0,15.0,16.0,2014-12-21,DET,@,CHI,"W, 20-14",*,0,0,0,,0,,,35,48.6,0,0.0,3,13.0
15,13.0,13.0,16.0,17.0,2014-12-28,DET,@,GNB,"L, 20-30",*,6,2,38,19.0,0,33.3,6.3,43,62.3,0,0.0,7,29.2
16,,,,,,,,,8-5,,47,25,248,9.9,1,53.2,5.3,445,50.5,0,0.0,104,30.3
