,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,57.0,1.0,1.0,2018-09-09,IND,,CIN,"L, 23-34",*,5,4,51,12.8,1,80.0,10.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,37,45.1,0,0.0,0,0.0
1,2.0,58.0,2.0,2.0,2018-09-16,IND,@,WAS,"W, 21-9",,4,3,26,8.7,1,75.0,6.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,16,26.2,0,0.0,0,0.0
2,3.0,59.0,3.0,3.0,2018-09-23,IND,@,PHI,"L, 16-20",*,11,5,33,6.6,0,45.5,3.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,88.1,0,0.0,0,0.0
3,4.0,60.0,4.0,4.0,2018-09-30,IND,,HOU,"L, 34-37 (OT)",*,10,5,40,8.0,1,50.0,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,76,83.5,0,0.0,0,0.0
4,5.0,61.0,5.0,5.0,2018-10-04,IND,@,NWE,"L, 24-38",*,15,9,105,11.7,2,60.0,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,59,71.1,0,0.0,0,0.0
5,6.0,62.0,6.0,6.0,2018-10-14,IND,@,NYJ,"L, 34-42",,7,4,71,17.8,1,57.1,10.1,1,-1,0,-1.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,71.0,0,0.0,0,0.0
6,7.0,63.0,7.0,7.0,2018-10-21,IND,,BUF,"W, 37-5",*,7,3,31,10.3,0,42.9,4.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,33,50.0,0,0.0,0,0.0
7,8.0,64.0,8.0,8.0,2018-10-28,IND,@,OAK,"W, 42-28",,3,3,37,12.3,1,100.0,12.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,17,21.8,0,0.0,0,0.0
8,9.0,65.0,9.0,10.0,2018-11-11,IND,,JAX,"W, 29-26",,3,3,69,23.0,2,100.0,23.0,1,2,1,2.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,21,38.2,0,0.0,0,0.0
9,10.0,66.0,10.0,11.0,2018-11-18,IND,,TEN,"W, 38-10",,0,0,0,,0,,,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,0,0,0,0,0,0,25,40.3,0,0.0,0,0.0
10,11.0,67.0,11.0,12.0,2018-11-25,IND,,MIA,"W, 27-24",,7,5,45,9.0,2,71.4,6.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,71.0,0,0.0,0,0.0
11,12.0,68.0,12.0,13.0,2018-12-02,IND,@,JAX,"L, 0-6",,16,10,81,8.1,0,62.5,5.1,1,-9,0,-9.0,0,0,,0,0,0,,,,0,0,1,1,0,0,0,0,58,76.3,0,0.0,0,0.0
12,13.0,69.0,13.0,14.0,2018-12-09,IND,@,HOU,"W, 24-21",*,8,4,65,16.3,1,50.0,8.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,45,67.2,0,0.0,1,3.4
13,14.0,70.0,14.0,15.0,2018-12-16,IND,,DAL,"W, 23-0",*,3,1,8,8.0,0,33.3,2.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,38,52.8,0,0.0,0,0.0
14,15.0,71.0,15.0,16.0,2018-12-23,IND,,NYG,"W, 28-27",,5,3,28,9.3,0,60.0,5.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,20,29.9,0,0.0,0,0.0
15,16.0,72.0,16.0,17.0,2018-12-30,IND,@,TEN,"W, 33-17",*,6,4,60,15.0,1,66.7,10.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,39,49.4,0,0.0,0,0.0
16,,,,,,,,,10-6,,110,66,750,11.4,13,60.0,6.8,3,-8,1,-2.7,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,1,1,0,0,0,0,634,55.8,0,0.0,1,0.2
