,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,84.0,1.0,1.0,2020-09-14,PIT,@,NYG,"W, 26-16",,2,1,18,18.0,0,50.0,9.0,0,0,0,0,0,0,40,62.5,0,0.0,1,3.8
1,2.0,85.0,2.0,2.0,2020-09-20,PIT,,DEN,"W, 26-21",*,5,3,43,14.3,0,60.0,8.6,0,0,0,0,0,0,50,76.9,0,0.0,0,0.0
2,3.0,86.0,3.0,3.0,2020-09-27,PIT,,HOU,"W, 28-21",*,7,5,52,10.4,1,71.4,7.4,0,0,0,0,0,0,60,75.0,0,0.0,0,0.0
3,4.0,87.0,4.0,5.0,2020-10-11,PIT,,PHI,"W, 38-29",*,6,5,43,8.6,0,83.3,7.2,1,1,0,0,0,0,58,76.3,0,0.0,0,0.0
4,5.0,88.0,5.0,6.0,2020-10-18,PIT,,CLE,"W, 38-7",*,4,2,9,4.5,0,50.0,2.3,0,0,0,0,0,0,46,70.8,0,0.0,0,0.0
5,6.0,89.0,6.0,7.0,2020-10-25,PIT,@,TEN,"W, 27-24",*,8,6,50,8.3,0,75.0,6.3,0,0,0,0,0,0,66,83.5,0,0.0,0,0.0
6,7.0,90.0,7.0,8.0,2020-11-01,PIT,@,BAL,"W, 28-24",*,5,4,48,12.0,1,80.0,9.6,0,0,0,0,0,0,46,85.2,0,0.0,0,0.0
7,8.0,91.0,8.0,9.0,2020-11-08,PIT,@,DAL,"W, 24-19",,6,3,22,7.3,1,50.0,3.7,0,0,0,0,0,0,59,85.5,0,0.0,0,0.0
8,9.0,92.0,9.0,10.0,2020-11-15,PIT,,CIN,"W, 36-10",*,6,2,38,19.0,0,33.3,6.3,0,0,0,0,0,0,62,84.9,0,0.0,1,2.6
9,10.0,93.0,10.0,11.0,2020-11-22,PIT,@,JAX,"W, 27-3",*,7,4,36,9.0,1,57.1,5.1,0,0,0,0,0,0,70,93.3,0,0.0,0,0.0
10,11.0,94.0,11.0,12.0,2020-12-02,PIT,,BAL,"W, 19-14",,11,7,54,7.7,0,63.6,4.9,0,0,0,0,0,0,49,68.1,0,0.0,1,4.0
11,12.0,95.0,12.0,13.0,2020-12-07,PIT,,WAS,"L, 17-23",*,11,7,68,9.7,0,63.6,6.2,0,0,0,0,0,0,57,80.3,0,0.0,0,0.0
12,13.0,96.0,13.0,14.0,2020-12-13,PIT,@,BUF,"L, 15-26",,5,2,30,15.0,0,40.0,6.0,0,0,0,0,0,0,38,66.7,0,0.0,0,0.0
13,14.0,97.0,14.0,15.0,2020-12-21,PIT,@,CIN,"L, 17-27",,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,10,15.4,0,0.0,0,0.0
14,15.0,98.0,15.0,16.0,2020-12-27,PIT,,IND,"W, 28-24",,7,5,47,9.4,1,71.4,6.7,0,0,0,0,0,0,55,80.9,0,0.0,0,0.0
15,15.0,,16.0,17.0,2021-01-03,PIT,@,CLE,"L, 22-24",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
16,,,,,,,,,12-3,,91,56,558,10.0,5,61.5,6.1,1,1,0,0,0,0,766,74.2,0,0.0,3,0.7
