,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,23,NYG,NFL,TE,15.0,11.0,115.0,64.0,722.0,11.3,6.0,37.0,44.3,35.0,4.3,48.1,55.7,6.3,1.0,14.0,0.0,1.0,100.0,14.0,14.0,0.9,0.1,65.0,11.3,736.0,6.0,0.0,5.0,
1,2018,24,NYG,NFL,TE,11.0,8.0,64.0,45.0,577.0,12.8,3.0,22.0,43.8,54.0,4.1,52.5,70.3,9.0,3.0,36.0,0.0,3.0,100.0,14.0,12.0,3.3,0.3,48.0,12.8,613.0,3.0,0.0,5.0,
2,2019,25,NYG,NFL,TE,8.0,6.0,68.0,44.0,467.0,10.6,3.0,23.0,41.2,75.0,5.5,58.4,64.7,6.9,3.0,7.0,0.0,0.0,66.7,5.0,2.3,0.9,0.4,47.0,10.1,474.0,3.0,0.0,4.0,
3,2020,26,NYG,NFL,TE,16.0,14.0,109.0,63.0,654.0,10.4,1.0,31.0,38.5,53.0,3.9,40.9,57.8,6.0,6.0,26.0,1.0,1.0,83.3,9.0,4.3,1.6,0.4,69.0,9.9,680.0,2.0,1.0,5.0,PB
4,2021,27,NYG,NFL,TE,15.0,12.0,73.0,46.0,408.0,8.9,3.0,21.0,41.1,30.0,3.1,27.2,63.0,5.6,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,47.0,8.6,405.0,3.0,1.0,3.0,
5,2022,28,JAX,NFL,TE,17.0,14.0,98.0,73.0,766.0,10.5,4.0,33.0,55.1,36.0,4.3,45.1,74.5,7.8,2.0,13.0,0.0,1.0,50.0,13.0,6.5,0.8,0.1,75.0,10.4,779.0,4.0,0.0,7.0,
6,2023,29,JAX,NFL,TE,17.0,15.0,143.0,114.0,963.0,8.4,4.0,47.0,53.1,34.0,6.7,56.6,79.7,6.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,114.0,8.4,963.0,4.0,3.0,8.0,PB
7,2024,30,JAX,NFL,TE,9.0,9.0,64.0,47.0,365.0,7.8,1.0,17.0,45.3,24.0,5.2,40.6,73.4,5.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,47.0,7.8,365.0,1.0,1.0,3.0,
8,2025,31,DEN,NFL,TE,2.0,0.0,6.0,4.0,33.0,8.3,0.0,2.0,50.0,12.0,2.0,16.5,66.7,5.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,8.3,33.0,0.0,0.0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,110.0,89.0,740.0,500.0,4955.0,9.9,25.0,233.0,46.1,75.0,4.5,45.0,67.6,6.7,16.0,93.0,1.0,6.0,75.0,14.0,5.8,0.8,0.1,516.0,9.8,5048.0,26.0,6.0,40.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,14.0,114.0,77.0,766.0,9.9,4.0,36.0,46.1,75.0,4.5,45.0,67.6,6.7,2.0,14.0,0.0,1.0,75.0,14.0,5.8,0.8,0.1,80.0,9.8,780.0,4.0,1.0,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NYG (5 Yrs),NYG (5 Yrs),NYG (5 Yrs),NYG (5 Yrs),,65.0,51.0,429.0,262.0,2828.0,10.8,16.0,134.0,41.7,75.0,4.0,43.5,61.1,6.6,14.0,80.0,1.0,5.0,78.6,14.0,5.7,1.2,0.2,276.0,10.5,2908.0,17.0,2.0,22.0,
13,JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),,43.0,38.0,305.0,234.0,2094.0,8.9,9.0,97.0,52.1,36.0,5.4,48.7,76.7,6.9,2.0,13.0,0.0,1.0,50.0,13.0,6.5,0.3,0.0,236.0,8.9,2107.0,9.0,4.0,18.0,
14,DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,2.0,0.0,6.0,4.0,33.0,8.3,0.0,2.0,50.0,12.0,2.0,16.5,66.7,5.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,8.3,33.0,0.0,0.0,,
