,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2021-09-12,NYG,,DEN,"L, 13-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2021-09-16,NYG,@,WAS,"L, 29-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,51.0,3.0,3.0,2021-09-26,NYG,,ATL,"L, 14-17",*,6,2,21,10.5,0,33.3,3.5,0,0,0,,1,1,0,0,0,0,39,55.7,0,0.0,0,0.0
3,2.0,52.0,4.0,4.0,2021-10-03,NYG,@,NOR,"W, 27-21 (OT)",,6,5,27,5.4,0,83.3,4.5,1,-3,0,-3.0,0,0,0,0,0,0,43,68.3,0,0.0,0,0.0
4,3.0,53.0,5.0,5.0,2021-10-10,NYG,@,DAL,"L, 20-44",*,4,4,55,13.8,0,100.0,13.8,0,0,0,,0,0,0,0,0,0,50,73.5,0,0.0,0,0.0
5,4.0,54.0,6.0,6.0,2021-10-17,NYG,,LAR,"L, 11-38",*,5,3,24,8.0,0,60.0,4.8,0,0,0,,0,0,0,0,0,0,55,73.3,0,0.0,0,0.0
6,5.0,55.0,7.0,7.0,2021-10-24,NYG,,CAR,"W, 25-3",*,8,6,44,7.3,0,75.0,5.5,0,0,0,,0,0,0,0,0,0,44,61.1,0,0.0,0,0.0
7,6.0,56.0,8.0,8.0,2021-11-01,NYG,@,KAN,"L, 17-20",*,4,3,15,5.0,1,75.0,3.8,0,0,0,,0,0,0,0,0,0,47,78.3,0,0.0,0,0.0
8,7.0,57.0,9.0,9.0,2021-11-07,NYG,,LVR,"W, 23-16",*,3,3,38,12.7,1,100.0,12.7,0,0,0,,0,0,0,0,0,0,46,82.1,0,0.0,0,0.0
9,8.0,58.0,10.0,11.0,2021-11-22,NYG,@,TAM,"L, 10-30",*,5,2,12,6.0,0,40.0,2.4,0,0,0,,0,0,0,0,0,0,52,89.7,0,0.0,0,0.0
10,9.0,59.0,11.0,12.0,2021-11-28,NYG,,PHI,"W, 13-7",*,6,3,37,12.3,0,50.0,6.2,0,0,0,,0,0,0,0,0,0,54,90.0,0,0.0,0,0.0
11,10.0,60.0,12.0,13.0,2021-12-05,NYG,@,MIA,"L, 9-20",*,5,4,61,15.3,0,80.0,12.2,0,0,0,,0,0,0,0,0,0,53,81.5,0,0.0,0,0.0
12,11.0,61.0,13.0,14.0,2021-12-12,NYG,@,LAC,"L, 21-37",*,4,1,8,8.0,0,25.0,2.0,0,0,0,,0,0,0,0,0,0,51,73.9,0,0.0,0,0.0
13,12.0,62.0,14.0,15.0,2021-12-19,NYG,,DAL,"L, 6-21",,5,4,33,8.3,0,80.0,6.6,0,0,0,,0,0,0,0,0,0,55,87.3,0,0.0,0,0.0
14,13.0,63.0,15.0,16.0,2021-12-26,NYG,@,PHI,"L, 10-34",,5,4,17,4.3,1,80.0,3.4,0,0,0,,0,0,0,0,0,0,59,77.6,0,0.0,0,0.0
15,14.0,64.0,16.0,17.0,2022-01-02,NYG,@,CHI,"L, 3-29",*,2,1,12,12.0,0,50.0,6.0,0,0,0,,0,0,0,0,0,0,36,64.3,0,0.0,0,0.0
16,15.0,65.0,17.0,18.0,2022-01-09,NYG,,WAS,"L, 7-22",*,5,1,4,4.0,0,20.0,0.8,0,0,0,,0,0,0,0,0,0,38,63.3,0,0.0,0,0.0
17,,,,,,,,,4-11,,73,46,408,8.9,3,63.0,5.6,1,-3,0,-3.0,1,1,0,0,0,0,722,74.4,0,0.0,0,0.0
