,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2021-09-13,LVR,,BAL,"W, 33-27 (OT)",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,53.5,0,0.0,22,68.8
1,2.0,31.0,2.0,2.0,2021-09-19,LVR,@,PIT,"W, 26-17",*,3,2,34,17.0,1,66.7,11.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38,57.6,0,0.0,18,64.3
2,3.0,32.0,3.0,3.0,2021-09-26,LVR,,MIA,"W, 31-28 (OT)",*,2,1,8,8.0,0,50.0,4.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,47,56.6,0,0.0,19,57.6
3,4.0,33.0,4.0,4.0,2021-10-04,LVR,@,LAC,"L, 14-28",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,29.8,0,0.0,16,59.3
4,5.0,34.0,5.0,5.0,2021-10-10,LVR,,CHI,"L, 9-20",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,22.4,0,0.0,15,68.2
5,6.0,35.0,6.0,6.0,2021-10-17,LVR,@,DEN,"W, 34-24",,1,1,11,11.0,0,100.0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,44.6,0,0.0,20,64.5
6,7.0,36.0,7.0,7.0,2021-10-24,LVR,,PHI,"W, 33-22",*,6,6,60,10.0,1,100.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,10,41.7
7,8.0,37.0,8.0,9.0,2021-11-07,LVR,@,NYG,"L, 16-23",,0,0,0,,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,22,31.9,0,0.0,16,61.5
8,9.0,38.0,9.0,10.0,2021-11-14,LVR,,KAN,"L, 14-41",*,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,21,38.9,0,0.0,17,60.7
9,10.0,39.0,10.0,11.0,2021-11-21,LVR,,CIN,"L, 13-32",,2,1,19,19.0,1,50.0,9.5,0.0,1,1,0,0,0,0,0,0,1,0,0,0,17,36.2,0,0.0,17,60.7
10,11.0,40.0,11.0,12.0,2021-11-25,LVR,@,DAL,"W, 36-33 (OT)",*,5,1,3,3.0,0,20.0,0.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,77,88.5,0,0.0,27,64.3
11,12.0,41.0,12.0,13.0,2021-12-05,LVR,,WAS,"L, 15-17",*,3,1,34,34.0,0,33.3,11.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,84.7,0,0.0,7,30.4
12,13.0,42.0,13.0,14.0,2021-12-12,LVR,@,KAN,"L, 9-48",*,6,3,13,4.3,0,50.0,2.2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,62,98.4,0,0.0,9,34.6
13,14.0,43.0,14.0,15.0,2021-12-20,LVR,@,CLE,"W, 16-14",*,9,7,65,9.3,0,77.8,7.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,9,34.6
14,15.0,44.0,15.0,16.0,2021-12-26,LVR,,DEN,"W, 17-13",*,4,4,67,16.8,0,100.0,16.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,94.2,0,0.0,7,31.8
15,16.0,45.0,16.0,17.0,2022-01-02,LVR,@,IND,"W, 23-20",*,1,1,9,9.0,0,100.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,100.0,0,0.0,11,42.3
16,17.0,46.0,17.0,18.0,2022-01-09,LVR,,LAC,"W, 35-32 (OT)",*,2,2,50,25.0,0,100.0,25.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,49,61.3,0,0.0,20,60.6
17,,,,,,,,,10-7,,44,30,373,12.4,3,68.2,8.5,0.0,4,3,1,0,0,0,1,0,1,1,0,0,748,65.6,0,0.0,260,54.5
