,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2022-09-11,LVR,@,LAC,"L, 19-24",,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,18,31.0,0,0.0,5,20.8
1,2.0,48.0,2.0,2.0,2022-09-18,LVR,,ARI,"L, 23-29 (OT)",*,4,3,30,10.0,0,75.0,7.5,0,0,0,0,0,0,1,0,0,41,61.2,0,0.0,8,38.1
2,3.0,49.0,3.0,3.0,2022-09-25,LVR,@,TEN,"L, 22-24",*,4,3,44,14.7,0,75.0,11.0,0,0,0,0,0,0,0,0,0,35,50.0,0,0.0,7,29.2
3,3.0,,4.0,4.0,2022-10-02,LVR,,DEN,"W, 32-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,,5.0,5.0,2022-10-10,LVR,@,KAN,"L, 29-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,50.0,6.0,7.0,2022-10-23,LVR,,HOU,"W, 38-20",*,5,3,28,9.3,0,60.0,5.6,0,0,0,0,0,0,0,0,0,54,96.4,0,0.0,6,22.2
6,5.0,51.0,7.0,8.0,2022-10-30,LVR,@,NOR,"L, 0-24",*,9,6,31,5.2,0,66.7,3.4,0,0,0,0,0,0,0,0,0,58,100.0,0,0.0,1,5.3
7,6.0,52.0,8.0,9.0,2022-11-06,LVR,@,JAX,"L, 20-27",*,5,2,42,21.0,0,40.0,8.4,0,2,0,1,1,0,0,0,0,57,96.6,0,0.0,4,14.8
8,7.0,53.0,9.0,10.0,2022-11-13,LVR,,IND,"L, 20-25",*,4,3,43,14.3,1,75.0,10.8,0,0,0,0,0,0,0,0,0,67,95.7,0,0.0,1,4.3
9,8.0,54.0,10.0,11.0,2022-11-20,LVR,@,DEN,"W, 22-16 (OT)",*,3,1,33,33.0,0,33.3,11.0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,5,17.2
10,9.0,55.0,11.0,12.0,2022-11-27,LVR,@,SEA,"W, 40-34 (OT)",*,7,3,33,11.0,1,42.9,4.7,0,0,0,0,0,0,0,0,0,77,100.0,0,0.0,7,20.6
11,10.0,56.0,12.0,13.0,2022-12-04,LVR,,LAC,"W, 27-20",*,3,1,32,32.0,0,33.3,10.7,0,0,0,0,0,0,0,0,0,55,90.2,0,0.0,6,20.0
12,11.0,57.0,13.0,14.0,2022-12-08,LVR,@,LAR,"L, 16-17",*,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,60,100.0,0,0.0,5,20.0
13,12.0,58.0,14.0,15.0,2022-12-18,LVR,,NWE,"W, 30-24",*,2,2,20,10.0,0,100.0,10.0,0,0,0,0,0,0,0,0,0,38,55.9,0,0.0,8,25.0
14,13.0,59.0,15.0,16.0,2022-12-24,LVR,@,PIT,"L, 10-13",*,3,2,19,9.5,0,66.7,6.3,0,0,0,0,0,0,0,0,0,36,67.9,0,0.0,6,27.3
15,14.0,60.0,16.0,17.0,2023-01-01,LVR,,SFO,"L, 34-37 (OT)",*,3,3,55,18.3,0,100.0,18.3,0,0,0,0,0,0,0,0,0,55,78.6,0,0.0,16,48.5
16,15.0,61.0,17.0,18.0,2023-01-07,LVR,,KAN,"L, 13-31",*,1,1,10,10.0,0,100.0,10.0,0,0,0,0,0,0,0,0,0,28,40.0,0,0.0,10,43.5
17,,,,,,,,,5-10,,54,33,420,12.7,2,61.1,7.8,0,2,0,1,1,0,1,0,0,745,77.4,0,0.0,95,24.2
