,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,15.0,1.0,1.0,2020-09-13,JAX,,IND,"W, 27-20",*,19,20,95.0,173,3,0,8.7,11.65,142.3,4,23,5,19,0,3.8,0,0,0,,0,,,0,0,0,0,0,0,50,100.0,0,0.0,0,0.0
1,2.0,16.0,2.0,2.0,2020-09-20,JAX,@,TEN,"L, 30-33",*,30,45,66.7,339,3,2,7.5,6.87,92.7,2,24,4,19,0,4.8,0,0,0,,0,,,1,0,0,1,1,0,75,98.7,0,0.0,0,0.0
2,3.0,17.0,3.0,3.0,2020-09-24,JAX,,MIA,"L, 13-31",*,30,42,71.4,275,0,1,6.5,5.48,79.0,4,29,3,22,0,7.3,0,0,0,,0,,,1,1,0,0,0,0,66,100.0,0,0.0,0,0.0
3,4.0,18.0,4.0,4.0,2020-10-04,JAX,@,CIN,"L, 25-33",*,27,40,67.5,351,2,1,8.8,8.65,101.1,3,11,2,9,0,4.5,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
4,5.0,19.0,5.0,5.0,2020-10-11,JAX,@,HOU,"L, 14-30",*,31,49,63.3,301,2,0,6.1,6.96,94.0,3,8,4,18,0,4.5,0,0,0,,0,,,1,1,0,0,0,0,75,100.0,0,0.0,0,0.0
5,6.0,20.0,6.0,6.0,2020-10-18,JAX,,DET,"L, 16-34",*,25,44,56.8,243,1,1,5.5,4.95,70.5,1,12,3,14,1,4.7,1,1,0,0.0,0,100.0,0.0,1,1,0,0,0,0,64,100.0,0,0.0,0,0.0
6,7.0,21.0,7.0,7.0,2020-10-25,JAX,@,LAC,"L, 29-39",*,14,27,51.9,173,2,0,6.4,7.89,96.7,5,19,4,21,0,5.3,0,0,0,,0,,,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
7,7.0,,8.0,9.0,2020-11-08,JAX,,HOU,"L, 25-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,,9.0,10.0,2020-11-15,JAX,@,GNB,"L, 20-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,7.0,,10.0,11.0,2020-11-22,JAX,,PIT,"L, 3-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,7.0,,11.0,12.0,2020-11-29,JAX,,CLE,"L, 25-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,7.0,,12.0,13.0,2020-12-06,JAX,@,MIN,"L, 24-27 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8.0,22.0,13.0,14.0,2020-12-13,JAX,,TEN,"L, 10-31",,18,31,58.1,178,1,0,5.7,6.39,85.1,0,0,2,22,0,11.0,0,0,0,,0,,,0,0,0,0,0,0,39,54.9,0,0.0,0,0.0
13,9.0,23.0,14.0,15.0,2020-12-20,JAX,@,BAL,"L, 14-40",*,22,29,75.9,226,2,0,7.8,9.17,120.8,5,21,2,9,0,4.5,0,0,0,,0,,,1,1,0,0,0,0,58,100.0,0,0.0,0,0.0
14,9.0,,15.0,16.0,2020-12-27,JAX,,CHI,"L, 17-41",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,9.0,,16.0,17.0,2021-01-03,JAX,@,IND,"L, 14-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,,,,,,1-8,,216,327,66.1,2259,16,5,6.9,7.20,95.9,27,147,29,153,1,5.3,1,1,0,0.0,0,100.0,0.0,5,4,0,1,1,0,558,94.4,0,0.0,0,0.0
