,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2014-09-07,NYJ,,OAK,"W, 19-14",*,23,28,82.1,221,1,1,7.9,7.00,96.6,2,31,10,38,0,3.8,0,0,0,0,,,2,1,0,1,0,0,70,100.0,0,0.0,0,0.0
1,2.0,18.0,2.0,2.0,2014-09-14,NYJ,@,GNB,"L, 24-31",*,16,32,50.0,176,1,1,5.5,4.72,64.1,1,7,7,26,1,3.7,0,0,0,0,,,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
2,3.0,19.0,3.0,3.0,2014-09-22,NYJ,,CHI,"L, 19-27",*,26,43,60.5,316,1,2,7.3,5.72,71.5,3,16,3,20,0,6.7,0,0,0,0,,,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
3,4.0,20.0,4.0,4.0,2014-09-28,NYJ,,DET,"L, 17-24",*,17,33,51.5,209,1,1,6.3,5.58,68.9,2,5,4,4,0,1.0,0,0,0,0,,,2,1,0,1,-17,0,64,100.0,0,0.0,0,0.0
4,5.0,21.0,5.0,5.0,2014-10-05,NYJ,@,SDG,"L, 0-31",*,4,12,33.3,27,0,1,2.3,-1.50,7.6,0,0,1,3,0,3.0,0,0,0,0,,,0,0,0,0,0,0,23,40.4,0,0.0,0,0.0
5,6.0,22.0,6.0,6.0,2014-10-12,NYJ,,DEN,"L, 17-31",*,23,43,53.5,190,2,1,4.4,4.30,70.9,4,17,2,11,0,5.5,0,0,0,0,,,1,0,0,1,0,0,63,100.0,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2014-10-16,NYJ,@,NWE,"L, 25-27",*,20,34,58.8,226,1,0,6.6,7.24,88.6,3,21,7,37,0,5.3,0,0,0,0,,,1,0,0,1,-2,0,86,98.9,0,0.0,0,0.0
7,8.0,24.0,8.0,8.0,2014-10-26,NYJ,,BUF,"L, 23-43",*,2,8,25.0,5,0,3,0.6,-16.25,0.0,0,0,1,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,11,13.1,0,0.0,0,0.0
8,8.0,,9.0,9.0,2014-11-02,NYJ,@,KAN,"L, 10-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,,10.0,10.0,2014-11-09,NYJ,,PIT,"W, 20-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,9.0,25.0,11.0,12.0,2014-11-24,NYJ,@,BUF,"L, 3-38",,10,12,83.3,89,0,0,7.4,7.42,97.6,2,9,2,4,0,2.0,0,0,0,0,,,0,0,0,0,0,0,22,37.9,0,0.0,0,0.0
11,10.0,26.0,12.0,13.0,2014-12-01,NYJ,,MIA,"L, 13-16",*,7,13,53.8,65,0,1,5.0,1.54,35.7,2,16,4,19,0,4.8,0,0,0,0,,,1,0,0,0,-2,0,64,100.0,0,0.0,0,0.0
12,11.0,27.0,13.0,14.0,2014-12-07,NYJ,@,MIN,"L, 24-30 (OT)",*,18,29,62.1,254,1,1,8.8,7.90,87.4,3,12,6,33,0,5.5,0,0,0,0,,,0,0,0,1,0,0,78,100.0,0,0.0,0,0.0
13,12.0,28.0,14.0,15.0,2014-12-14,NYJ,@,TEN,"W, 16-11",*,16,28,57.1,179,1,0,6.4,7.11,88.2,3,16,4,16,0,4.0,0,0,0,0,,,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
14,13.0,29.0,15.0,16.0,2014-12-21,NYJ,,NWE,"L, 16-17",*,17,27,63.0,210,1,1,7.8,6.85,83.9,2,19,3,9,0,3.0,0,0,0,0,,,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
15,14.0,30.0,16.0,17.0,2014-12-28,NYJ,@,MIA,"W, 37-24",*,20,25,80.0,358,3,0,14.3,16.72,158.3,1,6,5,18,0,3.6,1,0,0,0,0.0,0.0,1,1,0,0,0,0,62,100.0,0,0.0,0,0.0
16,,,,,,,,,3-11,,219,367,59.7,2525,13,13,6.9,5.99,77.5,28,175,59,238,1,4.0,1,0,0,0,0.0,0.0,8,3,0,5,-21,0,816,85.0,0,0.0,0,0.0
