,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,78.0,1.0,1.0,2024-09-08,SEA,,DEN,"W, 26-20",*,18,25,72.0,171,1,1,6.8,5.84,87.2,2,13,4,30,1,7.5,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
1,2.0,79.0,2.0,2.0,2024-09-15,SEA,@,NWE,"W, 23-20 (OT)",*,33,44,75.0,327,1,0,7.4,7.89,103.1,3,15,5,8,0,1.6,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
2,3.0,80.0,3.0,3.0,2024-09-22,SEA,,MIA,"W, 24-3",*,26,34,76.5,289,1,2,8.5,6.44,86.5,3,19,2,-2,0,-1.0,1,0,0,1,0,0,64,100.0,0,0.0,0,0.0
3,4.0,81.0,4.0,4.0,2024-09-30,SEA,@,DET,"L, 29-42",*,38,56,67.9,395,1,1,7.1,6.61,86.5,3,12,5,38,0,7.6,0,0,0,0,0,0,90,100.0,0,0.0,0,0.0
4,5.0,82.0,5.0,5.0,2024-10-06,SEA,,NYG,"L, 20-29",*,28,40,70.0,284,1,0,7.1,7.6,98.3,7,53,4,72,0,18.0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
5,6.0,83.0,6.0,6.0,2024-10-10,SEA,,SFO,"L, 24-36",*,30,52,57.7,312,1,2,6.0,4.65,65.5,1,6,1,0,0,0.0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
6,7.0,84.0,7.0,7.0,2024-10-20,SEA,@,ATL,"W, 34-14",*,18,28,64.3,207,2,0,7.4,8.82,110.3,1,6,4,15,0,3.8,1,0,0,1,-8,0,59,98.3,0,0.0,0,0.0
7,8.0,85.0,8.0,8.0,2024-10-27,SEA,,BUF,"L, 10-31",*,21,29,72.4,212,0,1,7.3,5.76,78.5,1,11,5,16,0,3.2,1,0,0,0,0,0,51,100.0,0,0.0,0,0.0
8,9.0,86.0,9.0,9.0,2024-11-03,SEA,,LAR,"L, 20-26 (OT)",*,21,34,61.8,363,3,3,10.7,8.47,90.7,7,46,6,16,0,2.7,1,0,0,1,-18,0,80,100.0,0,0.0,0,0.0
9,10.0,87.0,10.0,11.0,2024-11-17,SEA,@,SFO,"W, 20-17",*,25,32,78.1,221,0,1,6.9,5.5,82.4,4,26,4,29,1,7.3,1,0,0,1,-17,0,60,100.0,0,0.0,0,0.0
10,11.0,88.0,11.0,12.0,2024-11-24,SEA,,ARI,"W, 16-6",*,22,31,71.0,254,1,1,8.2,7.39,92.7,5,34,3,2,0,0.7,1,0,0,1,0,0,64,100.0,0,0.0,0,0.0
11,12.0,89.0,12.0,13.0,2024-12-01,SEA,@,NYJ,"W, 26-21",*,20,31,64.5,206,1,0,6.6,7.29,94.3,3,31,2,2,0,1.0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
12,13.0,90.0,13.0,14.0,2024-12-08,SEA,@,ARI,"W, 30-18",*,24,30,80.0,233,1,0,7.8,8.43,110.1,0,0,1,0,0,0.0,1,0,0,0,-4,0,64,100.0,0,0.0,0,0.0
13,14.0,91.0,14.0,15.0,2024-12-15,SEA,,GNB,"L, 13-30",*,15,19,78.9,149,0,1,7.8,5.47,77.4,3,24,1,5,0,5.0,0,0,0,0,0,0,35,59.3,0,0.0,0,0.0
14,15.0,92.0,15.0,16.0,2024-12-22,SEA,,MIN,"L, 24-27",*,31,43,72.1,314,3,2,7.3,6.6,96.5,2,12,1,8,0,8.0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
15,16.0,93.0,16.0,17.0,2024-12-26,SEA,@,CHI,"W, 6-3",*,17,23,73.9,160,0,0,7.0,6.96,92.7,3,17,3,19,0,6.3,2,0,0,1,0,0,52,100.0,0,0.0,0,0.0
16,17.0,94.0,17.0,18.0,2025-01-05,SEA,@,LAR,"W, 30-25",*,20,27,74.1,223,4,0,8.3,11.22,137.8,2,13,2,14,0,7.0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
17,,,,,,,,,10-7,,407,578,70.4,4320,21,15,7.5,7.03,93.2,50,338,53,272,2,5.1,9,0,0,6,-47,0,1075,97.7,0,0.0,0,0.0
