,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2019-09-08,SFO,@,TAM,"W, 31-17",*,10,8,54,6.8,0,80.0,5.4,0,0,0,,0,0,0,0,0,0,61,91.0,0,0.0,0,0.0
1,2.0,33.0,2.0,2.0,2019-09-15,SFO,@,CIN,"W, 41-17",*,3,3,54,18.0,0,100.0,18.0,0,0,0,,0,0,0,0,0,0,47,67.1,0,0.0,1,3.2
2,3.0,34.0,3.0,3.0,2019-09-22,SFO,,PIT,"W, 24-20",*,8,6,57,9.5,0,75.0,7.1,0,0,0,,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
3,4.0,35.0,4.0,5.0,2019-10-07,SFO,,CLE,"W, 31-3",*,8,6,70,11.7,1,75.0,8.8,1,18,0,18.0,0,0,0,0,0,0,72,96.0,0,0.0,0,0.0
4,5.0,36.0,5.0,6.0,2019-10-13,SFO,@,LAR,"W, 20-7",*,8,8,103,12.9,0,100.0,12.9,0,0,0,,0,0,0,0,0,0,64,83.1,0,0.0,0,0.0
5,6.0,37.0,6.0,7.0,2019-10-20,SFO,@,WAS,"W, 9-0",*,5,3,38,12.7,0,60.0,7.6,2,0,0,0.0,0,0,0,0,0,0,61,95.3,0,0.0,0,0.0
6,7.0,38.0,7.0,8.0,2019-10-27,SFO,,CAR,"W, 51-13",*,7,6,86,14.3,0,85.7,12.3,0,0,0,,0,0,0,0,0,0,54,83.1,0,0.0,0,0.0
7,8.0,39.0,8.0,9.0,2019-10-31,SFO,@,ARI,"W, 28-25",*,8,6,79,13.2,1,75.0,9.9,0,0,0,,0,0,0,0,0,0,49,70.0,0,0.0,0,0.0
8,8.0,,9.0,10.0,2019-11-11,SFO,,SEA,"L, 24-27 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,,10.0,11.0,2019-11-17,SFO,,ARI,"W, 36-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9.0,40.0,11.0,12.0,2019-11-24,SFO,,GNB,"W, 37-8",*,6,6,129,21.5,1,100.0,21.5,0,0,0,,0,0,0,0,0,0,38,79.2,0,0.0,0,0.0
11,10.0,41.0,12.0,13.0,2019-12-01,SFO,@,BAL,"L, 17-20",*,4,2,17,8.5,0,50.0,4.3,1,-3,0,-3.0,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
12,11.0,42.0,13.0,14.0,2019-12-08,SFO,@,NOR,"W, 48-46",*,8,6,67,11.2,1,75.0,8.4,0,0,0,,0,0,0,0,0,0,59,92.2,0,0.0,0,0.0
13,12.0,43.0,14.0,15.0,2019-12-15,SFO,,ATL,"L, 22-29",*,17,13,134,10.3,0,76.5,7.9,0,0,0,,1,0,0,1,0,0,61,95.3,0,0.0,0,0.0
14,13.0,44.0,15.0,16.0,2019-12-21,SFO,,LAR,"W, 34-31",*,8,5,79,15.8,1,62.5,9.9,0,0,0,,0,0,0,0,0,0,55,96.5,0,0.0,0,0.0
15,14.0,45.0,16.0,17.0,2019-12-29,SFO,@,SEA,"W, 26-21",*,7,7,86,12.3,0,100.0,12.3,1,7,0,7.0,0,0,0,0,0,0,47,94.0,0,0.0,1,4.5
16,,,,,,,,,12-2,,107,85,1053,12.4,5,79.4,9.8,5,22,0,4.4,1,0,0,1,0,0,804,88.6,0,0.0,2,0.5
