,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,46.0,1.0,1.0,2020-09-13,SFO,,ARI,"L, 20-24",*,5,4,44,11.0,0,80.0,8.8,1,9,0,9.0,61,98.4,0,0.0,0,0.0
1,1.0,,2.0,2.0,2020-09-20,SFO,@,NYJ,"W, 31-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,,3.0,3.0,2020-09-27,SFO,@,NYG,"W, 36-9",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,47.0,4.0,4.0,2020-10-04,SFO,,PHI,"L, 20-25",*,15,15,183,12.2,1,100.0,12.2,1,8,0,8.0,72,98.6,0,0.0,0,0.0
4,3.0,48.0,5.0,5.0,2020-10-11,SFO,,MIA,"L, 17-43",*,8,4,44,11.0,0,50.0,5.5,0,0,0,,64,100.0,0,0.0,0,0.0
5,4.0,49.0,6.0,6.0,2020-10-18,SFO,,LAR,"W, 24-16",*,10,7,109,15.6,1,70.0,10.9,0,0,0,,71,97.3,0,0.0,1,3.7
6,5.0,50.0,7.0,7.0,2020-10-25,SFO,@,NWE,"W, 33-6",*,7,5,55,11.0,0,71.4,7.9,0,0,0,,60,90.9,0,0.0,0,0.0
7,6.0,51.0,8.0,8.0,2020-11-01,SFO,@,SEA,"L, 27-37",*,4,2,39,19.5,0,50.0,9.8,0,0,0,,46,65.7,0,0.0,0,0.0
8,6.0,,9.0,9.0,2020-11-05,SFO,,GNB,"L, 17-34",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,6.0,,10.0,10.0,2020-11-15,SFO,@,NOR,"L, 13-27",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,6.0,,11.0,12.0,2020-11-29,SFO,@,LAR,"W, 23-20",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,6.0,,12.0,13.0,2020-12-07,SFO,,BUF,"L, 24-34",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,6.0,,13.0,14.0,2020-12-13,SFO,,WAS,"L, 15-23",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,6.0,,14.0,15.0,2020-12-20,SFO,@,DAL,"L, 33-41",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,7.0,52.0,15.0,16.0,2020-12-26,SFO,@,ARI,"W, 20-12",*,5,4,92,23.0,0,80.0,18.4,0,0,0,,28,50.0,0,0.0,0,0.0
15,8.0,53.0,16.0,17.0,2021-01-03,SFO,,SEA,"L, 23-26",*,9,7,68,9.7,0,77.8,7.6,0,0,0,,41,62.1,0,0.0,0,0.0
16,,,,,,,,,3-5,,63,48,634,13.2,2,76.2,10.1,2,17,0,8.5,443,83.6,0,0.0,1,0.5
