,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2017-09-10,LAR,,IND,"W, 46-9",*,1,1,39,39.0,0,100.0,39.0,0,0,0,,0,0,0,0,0,0,29,44.6,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2017-09-17,LAR,,WAS,"L, 20-27",,3,3,95,31.7,0,100.0,31.7,0,0,0,,0,0,0,0,0,0,16,32.0,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2017-09-21,LAR,@,SFO,"W, 41-39",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,11,16.9,0,0.0,1,2.9
3,4.0,4.0,4.0,4.0,2017-10-01,LAR,@,DAL,"W, 35-30",,3,1,8,8.0,0,33.3,2.7,0,0,0,,0,0,0,0,0,0,21,30.4,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2017-10-08,LAR,,SEA,"L, 10-16",,3,1,8,8.0,0,33.3,2.7,0,0,0,,0,0,0,0,0,0,26,35.1,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2017-10-15,LAR,@,JAX,"W, 27-17",,3,1,4,4.0,1,33.3,1.3,0,0,0,,0,0,0,0,0,0,18,31.0,0,0.0,1,2.8
6,7.0,7.0,7.0,7.0,2017-10-22,LAR,,ARI,"W, 33-0",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,18,22.5,0,0.0,4,16.7
7,8.0,8.0,8.0,9.0,2017-11-05,LAR,@,NYG,"W, 51-17",,2,1,44,44.0,0,50.0,22.0,1,13,0,13.0,0,0,0,0,0,0,15,23.4,0,0.0,2,5.9
8,9.0,9.0,9.0,10.0,2017-11-12,LAR,,HOU,"W, 33-7",*,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,20,30.3,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2017-11-19,LAR,@,MIN,"L, 7-24",,2,1,8,8.0,0,50.0,4.0,0,0,0,,0,0,0,0,0,0,19,32.2,0,0.0,1,4.3
10,11.0,11.0,11.0,12.0,2017-11-26,LAR,,NOR,"W, 26-20",,1,1,9,9.0,0,100.0,9.0,0,0,0,,0,0,0,0,0,0,24,31.2,0,0.0,1,3.0
11,12.0,12.0,12.0,13.0,2017-12-03,LAR,@,ARI,"W, 32-16",,4,2,7,3.5,1,50.0,1.8,0,0,0,,0,0,0,0,0,0,18,31.0,0,0.0,5,16.1
12,13.0,13.0,13.0,14.0,2017-12-10,LAR,,PHI,"L, 35-43",,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,0,0,0,12,25.0,0,0.0,3,8.3
13,14.0,14.0,14.0,15.0,2017-12-17,LAR,@,SEA,"W, 42-7",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,6,8.8,0,0.0,12,36.4
14,15.0,15.0,15.0,16.0,2017-12-24,LAR,@,TEN,"W, 27-23",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,11,16.4,0,0.0,6,19.4
15,16.0,16.0,16.0,17.0,2017-12-31,LAR,,SFO,"L, 13-34",,6,3,16,5.3,0,50.0,2.7,0,0,0,,1,1,0,0,0,0,33,50.8,0,0.0,3,10.3
16,,,,,,,,,11-5,,32,16,244,15.3,2,50.0,7.6,1,13,0,13.0,1,1,0,0,0,0,297,28.8,0,0.0,39,7.8
