,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,77.0,1.0,1.0,2022-09-11,LAC,,LVR,"W, 24-19",*,4,3,54,18.0,1,75.0,13.5,0,0,0,,0.0,0,0,0,0,0,0,44,65.7,0,0.0,0,0.0
1,2.0,78.0,2.0,2.0,2022-09-15,LAC,@,KAN,"L, 24-27",*,10,6,71,11.8,0,60.0,7.1,0,0,0,,0.0,0,0,0,0,0,0,50,66.7,0,0.0,0,0.0
2,3.0,79.0,3.0,3.0,2022-09-25,LAC,,JAX,"L, 10-38",*,6,2,25,12.5,0,33.3,4.2,0,0,0,,0.0,1,1,0,0,0,0,46,75.4,0,0.0,0,0.0
3,4.0,80.0,4.0,4.0,2022-10-02,LAC,@,HOU,"W, 34-24",*,6,5,61,12.2,1,83.3,10.2,0,0,0,,0.0,0,0,0,0,0,0,46,65.7,0,0.0,0,0.0
4,5.0,81.0,5.0,5.0,2022-10-09,LAC,@,CLE,"W, 30-28",*,3,1,2,2.0,0,33.3,0.7,0,0,0,,0.0,0,0,0,0,0,0,46,64.8,0,0.0,0,0.0
5,6.0,82.0,6.0,6.0,2022-10-17,LAC,,DEN,"W, 19-16 (OT)",,7,5,29,5.8,0,71.4,4.1,0,0,0,,0.0,0,0,0,0,0,0,51,54.8,0,0.0,0,0.0
6,7.0,83.0,7.0,7.0,2022-10-23,LAC,,SEA,"L, 23-37",,9,5,63,12.6,0,55.6,7.0,0,0,0,,0.0,0,0,0,0,0,0,40,56.3,0,0.0,0,0.0
7,8.0,84.0,8.0,9.0,2022-11-06,LAC,@,ATL,"W, 20-17",,8,5,36,7.2,0,62.5,4.5,1,0,0,0.0,0.0,0,0,0,0,0,0,47,68.1,0,0.0,0,0.0
8,9.0,85.0,9.0,10.0,2022-11-13,LAC,@,SFO,"L, 16-22",*,2,2,23,11.5,0,100.0,11.5,0,0,0,,0.0,0,0,0,0,0,0,10,17.2,0,0.0,0,0.0
9,9.0,,10.0,11.0,2022-11-20,LAC,,KAN,"L, 27-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,10.0,86.0,11.0,12.0,2022-11-27,LAC,@,ARI,"W, 25-24",,4,4,18,4.5,0,100.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,38,57.6,0,0.0,0,0.0
11,11.0,87.0,12.0,13.0,2022-12-04,LAC,@,LVR,"L, 20-27",*,6,5,80,16.0,0,83.3,13.3,0,0,0,,0.0,0,0,0,0,0,0,44,58.7,0,0.0,0,0.0
12,12.0,88.0,13.0,14.0,2022-12-11,LAC,,MIA,"W, 23-17",*,8,5,28,5.6,0,62.5,3.5,0,0,0,,0.0,0,0,0,0,0,0,58,72.5,0,0.0,0,0.0
13,13.0,89.0,14.0,15.0,2022-12-18,LAC,,TEN,"W, 17-14",*,6,4,42,10.5,0,66.7,7.0,0,0,0,,0.0,0,0,0,0,0,0,44,62.0,0,0.0,0,0.0
14,14.0,90.0,15.0,16.0,2022-12-26,LAC,@,IND,"W, 20-3",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,37,54.4,0,0.0,0,0.0
15,15.0,91.0,16.0,17.0,2023-01-01,LAC,,LAR,"W, 31-10",*,3,3,15,5.0,1,100.0,5.0,0,0,0,,0.0,0,0,0,0,0,0,36,56.3,0,0.0,0,0.0
16,16.0,92.0,17.0,18.0,2023-01-08,LAC,@,DEN,"L, 28-31",*,5,3,8,2.7,1,60.0,1.6,0,0,0,,0.0,0,0,0,0,0,0,30,44.1,0,0.0,0,0.0
17,,,,,,,,,10-6,,87,58,555,9.6,4,66.7,6.4,1,0,0,0.0,0.0,1,1,0,0,0,0,667,59.2,0,0.0,0,0.0
