,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,28.0,1.0,1.0,2020-09-13,BAL,,CLE,"W, 38-6",,4,17,0,4.3,0,0,0,,0,,,0,0,0,0,0,0,15,25.4,0,0.0,5,20.0
1,2.0,29.0,2.0,2.0,2020-09-20,BAL,@,HOU,"W, 33-16",,10,73,0,7.3,0,0,0,,0,,,0,0,0,0,0,0,20,30.8,0,0.0,6,21.4
2,3.0,30.0,3.0,3.0,2020-09-28,BAL,,KAN,"L, 20-34",,4,39,0,9.8,0,0,0,,0,,,0,0,0,0,0,0,13,23.2,0,0.0,2,8.0
3,4.0,31.0,4.0,4.0,2020-10-04,BAL,@,WAS,"W, 31-17",,9,38,0,4.2,0,0,0,,0,,,0,0,0,0,0,0,22,38.6,0,0.0,0,0.0
4,5.0,32.0,5.0,5.0,2020-10-11,BAL,,CIN,"W, 27-3",,7,25,0,3.6,3,0,0,,0,0.0,0.0,0,0,0,0,0,0,25,39.7,0,0.0,5,19.2
5,6.0,33.0,6.0,6.0,2020-10-18,BAL,@,PHI,"W, 30-28",,14,26,1,1.9,0,0,0,,0,,,0,0,0,0,0,0,32,43.8,0,0.0,6,18.8
6,7.0,34.0,7.0,8.0,2020-11-01,BAL,,PIT,"L, 24-28",*,16,87,1,5.4,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,26,31.7,0,0.0,0,0.0
7,8.0,35.0,8.0,9.0,2020-11-08,BAL,@,IND,"W, 24-10",*,11,23,1,2.1,2,2,11,5.5,0,100.0,5.5,1,1,1,0,0,0,24,37.5,0,0.0,0,0.0
8,9.0,36.0,9.0,10.0,2020-11-15,BAL,@,NWE,"L, 17-23",,7,42,0,6.0,1,1,31,31.0,0,100.0,31.0,0,0,0,0,0,0,15,22.7,0,0.0,0,0.0
9,10.0,37.0,10.0,11.0,2020-11-22,BAL,,TEN,"L, 24-30 (OT)",*,3,6,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,13,20.0,0,0.0,1,3.7
10,11.0,38.0,11.0,12.0,2020-12-02,BAL,@,PIT,"L, 14-19",*,9,10,1,1.1,0,0,0,,0,,,0,0,0,0,0,0,27,50.9,0,0.0,0,0.0
11,12.0,39.0,12.0,13.0,2020-12-08,BAL,,DAL,"W, 34-17",,7,101,0,14.4,0,0,0,,0,,,0,0,0,0,0,0,18,32.7,0,0.0,1,3.6
12,13.0,40.0,13.0,14.0,2020-12-14,BAL,@,CLE,"W, 47-42",,7,49,2,7.0,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,16,26.7,0,0.0,1,3.0
13,14.0,41.0,14.0,15.0,2020-12-20,BAL,,JAX,"W, 40-14",*,9,42,0,4.7,2,2,36,18.0,0,100.0,18.0,0,0,0,0,0,0,27,40.9,0,0.0,0,0.0
14,15.0,42.0,15.0,16.0,2020-12-27,BAL,,NYG,"W, 27-13",,15,85,0,5.7,2,2,37,18.5,0,100.0,18.5,0,0,0,0,0,0,34,50.0,0,0.0,0,0.0
15,16.0,43.0,16.0,17.0,2021-01-03,BAL,@,CIN,"W, 38-3",*,12,60,0,5.0,1,1,10,10.0,0,100.0,10.0,0,0,0,0,0,0,19,25.7,0,0.0,0,0.0
16,,,,,,,,,11-5,,144,723,6,5.0,13,9,129,14.3,0,69.2,9.9,1,1,1,0,0,0,346,33.7,0,0.0,27,6.4
