,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,90.0,1.0,1.0,2023-09-10,NWE,,PHI,"L, 20-25",*,6,5,56,11.2,1,83.3,9.3,0,0,0,0,0,0,63,78.8,0,0.0,0,0.0
1,2.0,91.0,2.0,2.0,2023-09-17,NWE,,MIA,"L, 17-24",*,7,6,52,8.7,1,85.7,7.4,0,0,0,0,0,0,68,91.9,0,0.0,5,20.0
2,3.0,92.0,3.0,3.0,2023-09-24,NWE,@,NYJ,"W, 15-10",*,5,2,17,8.5,0,40.0,3.4,0,0,0,0,0,0,62,86.1,0,0.0,1,3.2
3,4.0,93.0,4.0,4.0,2023-10-01,NWE,@,DAL,"L, 3-38",*,5,4,51,12.8,0,80.0,10.2,0,0,0,0,0,0,44,80.0,0,0.0,0,0.0
4,5.0,94.0,5.0,5.0,2023-10-08,NWE,,NOR,"L, 0-34",,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,42,77.8,0,0.0,0,0.0
5,6.0,95.0,6.0,6.0,2023-10-15,NWE,@,LVR,"L, 17-21",*,3,1,7,7.0,0,33.3,2.3,0,0,0,0,0,0,37,61.7,0,0.0,0,0.0
6,7.0,96.0,7.0,7.0,2023-10-22,NWE,,BUF,"W, 29-25",*,3,2,27,13.5,0,66.7,9.0,0,0,0,0,0,0,30,50.0,0,0.0,0,0.0
7,8.0,97.0,8.0,8.0,2023-10-29,NWE,@,MIA,"L, 17-31",*,3,3,28,9.3,0,100.0,9.3,0,0,0,0,0,0,31,58.5,0,0.0,0,0.0
8,9.0,98.0,9.0,9.0,2023-11-05,NWE,,WAS,"L, 17-20",,6,4,39,9.8,1,66.7,6.5,0,0,0,0,0,0,56,87.5,0,0.0,0,0.0
9,10.0,99.0,10.0,10.0,2023-11-12,NWE,,IND,"L, 6-10",,5,3,21,7.0,0,60.0,4.2,1,0,0,0,0,0,50,72.5,0,0.0,0,0.0
10,11.0,100.0,11.0,12.0,2023-11-26,NWE,@,NYG,"L, 7-10",*,0,0,0,,0,,,0,0,0,0,0,0,46,67.6,0,0.0,0,0.0
11,12.0,101.0,12.0,13.0,2023-12-03,NWE,,LAC,"L, 0-6",*,4,2,15,7.5,0,50.0,3.8,0,0,0,0,0,0,47,73.4,0,0.0,0,0.0
12,13.0,102.0,13.0,14.0,2023-12-07,NWE,@,PIT,"W, 21-18",*,3,3,40,13.3,2,100.0,13.3,0,0,0,0,0,0,50,87.7,0,0.0,0,0.0
13,14.0,103.0,14.0,15.0,2023-12-17,NWE,,KAN,"L, 17-27",,9,7,66,9.4,1,77.8,7.3,0,0,0,0,0,0,38,71.7,0,0.0,0,0.0
14,14.0,,15.0,16.0,2023-12-24,NWE,@,DEN,"W, 26-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14.0,,16.0,17.0,2023-12-31,NWE,@,BUF,"L, 21-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,14.0,,17.0,18.0,2024-01-07,NWE,,NYJ,"L, 3-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,3-11,,61,42,419,10.0,6,68.9,6.9,1,0,0,0,0,0,664,75.2,0,0.0,6,1.6
