,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2024-09-09,SFO,,NYJ,"W, 32-19",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,3,4.2,0,0.0,10,38.5
1,2.0,2.0,2.0,2.0,2024-09-15,SFO,@,MIN,"L, 17-23",,1,0,0,0.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0.0,3,13.0
2,3.0,3.0,3.0,3.0,2024-09-22,SFO,@,LAR,"L, 24-27",,5,19,0,3.8,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,14.1,0,0.0,11,40.7
3,4.0,4.0,4.0,4.0,2024-09-29,SFO,,NWE,"W, 30-13",,1,0,0,0.0,0,0,0,,0,,,1,23,0,23.0,0.0,1,0,1,0,0,0,1,1,0,0,0,0,5,7.9,0,0.0,12,46.2
4,5.0,5.0,5.0,5.0,2024-10-06,SFO,,ARI,"L, 23-24",,5,22,0,4.4,0,0,0,,0,,,1,32,0,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,14.1,0,0.0,14,58.3
5,6.0,6.0,6.0,6.0,2024-10-10,SFO,@,SEA,"W, 36-24",,10,99,0,9.9,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,26.2,0,0.0,10,33.3
6,7.0,7.0,7.0,7.0,2024-10-20,SFO,,KAN,"L, 18-28",,1,2,0,2.0,1,1,5,5.0,0,100.0,5.0,1,35,0,35.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,5,7.9,0,0.0,13,54.2
7,8.0,8.0,8.0,8.0,2024-10-27,SFO,,DAL,"W, 30-24",,14,85,1,6.1,4,3,17,5.7,0,75.0,4.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,63.2,0,0.0,13,43.3
8,9.0,9.0,9.0,10.0,2024-11-10,SFO,@,TAM,"W, 23-20",,1,0,0,0.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.7,0,0.0,16,55.2
9,10.0,10.0,10.0,11.0,2024-11-17,SFO,,SEA,"L, 17-20",,0,0,0,,0,0,0,,0,,,2,51,0,25.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2,0,0.0,8,38.1
10,11.0,11.0,11.0,12.0,2024-11-24,SFO,@,GNB,"L, 10-38",,0,0,0,,0,0,0,,0,,,1,22,0,22.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,7,28.0
11,12.0,12.0,12.0,13.0,2024-12-01,SFO,@,BUF,"L, 10-35",,4,19,1,4.8,1,1,-3,-3.0,0,100.0,-3.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,22.9,0,0.0,7,28.0
12,13.0,13.0,13.0,14.0,2024-12-08,SFO,,CHI,"W, 38-13",*,15,78,2,5.2,2,2,50,25.0,0,100.0,25.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,55.7,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2024-12-12,SFO,,LAR,"L, 6-12",*,16,57,0,3.6,4,4,18,4.5,0,100.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,75.9,0,0.0,0,0.0
14,14.0,,15.0,16.0,2024-12-22,SFO,@,MIA,"L, 17-29",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,15.0,16.0,17.0,2024-12-30,SFO,,DET,"L, 34-40",,9,34,0,3.8,4,4,65,16.3,0,100.0,16.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,60.9,0,0.0,0,0.0
16,16.0,16.0,17.0,18.0,2025-01-05,SFO,@,ARI,"L, 24-47",*,2,5,0,2.5,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.3,0,0.0,0,0.0
17,,,,,,,,,6-10,,84,420,4,5.0,16,15,152,10.1,0,93.8,9.5,6,163,0,27.2,0.0,2,0,2,0,0,0,3,1,0,0,0,0,227,22.4,0,0.0,124,29.4
