,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2020-09-13,BAL,,CLE,"W, 38-6",,7,22,2,3.1,0,0,0,,0,,,0,0,0,0,0,0,23,39.0,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2020-09-20,BAL,@,HOU,"W, 33-16",,2,48,0,24.0,1,1,13,13.0,0,100.0,13.0,0,0,0,0,0,0,20,30.8,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2020-09-28,BAL,,KAN,"L, 20-34",,1,6,0,6.0,4,4,38,9.5,0,100.0,9.5,0,0,0,0,0,0,24,42.9,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2020-10-04,BAL,@,WAS,"W, 31-17",,5,16,0,3.2,2,1,1,1.0,0,50.0,0.5,0,0,0,0,0,0,21,36.8,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2020-10-11,BAL,,CIN,"W, 27-3",,1,34,0,34.0,3,3,21,7.0,0,100.0,7.0,0,0,0,0,0,0,18,28.6,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2020-10-18,BAL,@,PHI,"W, 30-28",,9,28,0,3.1,4,2,1,0.5,0,50.0,0.3,0,0,0,0,0,0,30,41.1,0,0.0,0,0.0
6,7.0,7.0,7.0,8.0,2020-11-01,BAL,,PIT,"L, 24-28",,15,113,0,7.5,2,1,8,8.0,0,50.0,4.0,0,0,0,0,0,0,54,65.9,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2020-11-08,BAL,@,IND,"W, 24-10",,12,30,0,2.5,2,2,5,2.5,0,100.0,2.5,0,0,0,0,0,0,36,56.3,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2020-11-15,BAL,@,NWE,"L, 17-23",,5,13,0,2.6,2,1,1,1.0,0,50.0,0.5,0,0,0,0,0,0,29,43.9,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2020-11-22,BAL,,TEN,"L, 24-30 (OT)",,15,70,1,4.7,2,2,15,7.5,0,100.0,7.5,0,0,0,0,0,0,41,63.1,0,0.0,0,0.0
10,10.0,,11.0,12.0,2020-12-02,BAL,@,PIT,"L, 14-19",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
11,11.0,11.0,12.0,13.0,2020-12-08,BAL,,DAL,"W, 34-17",,11,71,1,6.5,0,0,0,,0,,,0,0,0,1,0,0,21,38.2,0,0.0,0,0.0
12,12.0,12.0,13.0,14.0,2020-12-14,BAL,@,CLE,"W, 47-42",,13,53,1,4.1,0,0,0,,0,,,1,0,0,0,0,0,37,61.7,0,0.0,0,0.0
13,13.0,13.0,14.0,15.0,2020-12-20,BAL,,JAX,"W, 40-14",,14,64,1,4.6,1,1,17,17.0,0,100.0,17.0,1,0,0,1,0,0,35,53.0,0,0.0,0,0.0
14,14.0,14.0,15.0,16.0,2020-12-27,BAL,,NYG,"W, 27-13",*,11,77,1,7.0,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,35,51.5,0,0.0,0,0.0
15,15.0,15.0,16.0,17.0,2021-01-03,BAL,@,CIN,"W, 38-3",,13,160,2,12.3,0,0,0,,0,,,0,0,0,0,0,0,32,43.2,0,0.0,0,0.0
16,,,,,,,,,11-4,,134,805,9,6.0,24,18,120,6.7,0,75.0,5.0,2,0,0,2,0,0,456,46.9,0,0.0,0,0.0
