,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2023-09-10,CIN,@,CLE,"L, 3-24",*,9,5,39,7.8,0,55.6,4.3,1,2,0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,96.4,0,0.0,0,0.0
1,2.0,31.0,2.0,2.0,2023-09-17,CIN,,BAL,"L, 24-27",*,8,5,31,6.2,0,62.5,3.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,59,98.3,0,0.0,0,0.0
2,3.0,32.0,3.0,3.0,2023-09-25,CIN,,LAR,"W, 19-16",*,15,12,141,11.8,0,80.0,9.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,74,96.1,0,0.0,0,0.0
3,4.0,33.0,4.0,4.0,2023-10-01,CIN,@,TEN,"L, 3-27",*,9,7,73,10.4,0,77.8,8.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,94.3,0,0.0,0,0.0
4,5.0,34.0,5.0,5.0,2023-10-08,CIN,@,ARI,"W, 34-20",*,19,15,192,12.8,3,78.9,10.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,76,92.7,0,0.0,0,0.0
5,6.0,35.0,6.0,6.0,2023-10-15,CIN,,SEA,"W, 17-13",*,13,6,80,13.3,0,46.2,6.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,90.7,0,0.0,0,0.0
6,7.0,36.0,7.0,8.0,2023-10-29,CIN,@,SFO,"W, 31-17",*,12,10,100,10.0,1,83.3,8.3,2,-8,0,-4.0,0,0,,0,0,0,,,,0,0,1,0,0,1,0,0,56,88.9,0,0.0,0,0.0
7,8.0,37.0,8.0,9.0,2023-11-05,CIN,,BUF,"W, 24-18",*,8,4,41,10.3,0,50.0,5.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,63,90.0,0,0.0,0,0.0
8,9.0,38.0,9.0,10.0,2023-11-12,CIN,,HOU,"L, 27-30",*,6,5,124,24.8,1,83.3,20.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,84.4,0,0.0,0,0.0
9,10.0,39.0,10.0,11.0,2023-11-16,CIN,@,BAL,"L, 20-34",*,7,2,12,6.0,1,28.6,1.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,60,98.4,0,0.0,0,0.0
10,11.0,40.0,11.0,12.0,2023-11-26,CIN,,PIT,"L, 10-16",*,6,4,81,20.3,0,66.7,13.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,38,88.4,0,0.0,0,0.0
11,12.0,41.0,12.0,13.0,2023-12-04,CIN,@,JAX,"W, 34-31 (OT)",*,12,11,149,13.5,1,91.7,12.4,0,0,0,,1,1,100.0,-7,0,0,-7.0,-7.00,79.2,0,0,0,0,0,0,0,0,70,95.9,0,0.0,0,0.0
12,13.0,42.0,13.0,14.0,2023-12-10,CIN,,IND,"W, 34-14",*,4,3,29,9.7,0,75.0,7.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,86.7,0,0.0,0,0.0
13,14.0,43.0,14.0,15.0,2023-12-16,CIN,,MIN,"W, 27-24 (OT)",*,4,4,64,16.0,0,100.0,16.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,71.4,0,0.0,0,0.0
14,14.0,,15.0,16.0,2023-12-23,CIN,@,PIT,"L, 11-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,44.0,16.0,17.0,2023-12-31,CIN,@,KAN,"L, 17-25",*,7,3,41,13.7,0,42.9,5.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,73.0,0,0.0,0,0.0
16,16.0,45.0,17.0,18.0,2024-01-07,CIN,,CLE,"W, 31-14",*,6,4,19,4.8,0,66.7,3.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,31,48.4,0,0.0,0,0.0
17,,,,,,,,,9-7,,145,100,1216,12.2,7,69.0,8.4,3,-6,0,-2.0,1,1,100.0,-7,0,0,-7.0,-7.00,79.2,0,0,1,0,0,1,0,0,890,86.9,0,0.0,0,0.0
