,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,13.0,1.0,1.0,2023-09-10,WAS,,ARI,"W, 20-16",*,7,5,40,8.0,0,71.4,5.7,62,87.3,0,0.0,0,0.0
1,2.0,14.0,2.0,2.0,2023-09-17,WAS,@,DEN,"W, 35-33",*,5,3,22,7.3,0,60.0,4.4,62,84.9,0,0.0,1,3.3
2,3.0,15.0,3.0,3.0,2023-09-24,WAS,,BUF,"L, 3-37",*,4,2,21,10.5,0,50.0,5.3,51,94.4,0,0.0,0,0.0
3,4.0,16.0,4.0,4.0,2023-10-01,WAS,@,PHI,"L, 31-34 (OT)",*,9,4,27,6.8,1,44.4,3.0,56,71.8,0,0.0,0,0.0
4,5.0,17.0,5.0,5.0,2023-10-05,WAS,,CHI,"L, 20-40",*,5,3,30,10.0,0,60.0,6.0,56,80.0,0,0.0,0,0.0
5,6.0,18.0,6.0,6.0,2023-10-15,WAS,@,ATL,"W, 24-16",*,1,0,0,,0,0.0,0.0,41,80.4,0,0.0,0,0.0
6,7.0,19.0,7.0,7.0,2023-10-22,WAS,@,NYG,"L, 7-14",*,8,5,43,8.6,0,62.5,5.4,58,84.1,0,0.0,0,0.0
7,8.0,20.0,8.0,8.0,2023-10-29,WAS,,PHI,"L, 31-38",*,10,8,108,13.5,1,80.0,10.8,61,84.7,0,0.0,0,0.0
8,9.0,21.0,9.0,9.0,2023-11-05,WAS,@,NWE,"W, 20-17",*,8,4,69,17.3,1,50.0,8.6,59,75.6,0,0.0,0,0.0
9,10.0,22.0,10.0,10.0,2023-11-12,WAS,@,SEA,"L, 26-29",*,2,0,0,,0,0.0,0.0,58,95.1,0,0.0,0,0.0
10,11.0,23.0,11.0,11.0,2023-11-19,WAS,,NYG,"L, 19-31",,4,3,23,7.7,1,75.0,5.8,64,79.0,0,0.0,0,0.0
11,12.0,24.0,12.0,12.0,2023-11-23,WAS,@,DAL,"L, 10-45",*,6,5,52,10.4,0,83.3,8.7,66,84.6,0,0.0,0,0.0
12,13.0,25.0,13.0,13.0,2023-12-03,WAS,,MIA,"L, 15-45",*,5,2,23,11.5,0,40.0,4.6,45,81.8,0,0.0,0,0.0
13,14.0,26.0,14.0,15.0,2023-12-17,WAS,@,LAR,"L, 20-28",*,1,1,12,12.0,0,100.0,12.0,46,76.7,0,0.0,0,0.0
14,15.0,27.0,15.0,16.0,2023-12-24,WAS,@,NYJ,"L, 28-30",*,4,2,31,15.5,0,50.0,7.8,45,73.8,0,0.0,0,0.0
15,16.0,28.0,16.0,17.0,2023-12-31,WAS,,SFO,"L, 10-27",*,1,0,0,,0,0.0,0.0,39,84.8,0,0.0,0,0.0
16,17.0,29.0,17.0,18.0,2024-01-07,WAS,,DAL,"L, 10-38",*,3,2,17,8.5,0,66.7,5.7,41,83.7,0,0.0,0,0.0
17,,,,,,,,,4-13,,83,49,518,10.6,4,59.0,6.2,910,82.2,0,0.0,1,0.2
