,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2020-09-13,NWE,,MIA,"W, 21-11",,0,0,0,,0,,,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,7,10.9,0,0.0,0,0.0
1,2.0,17.0,2.0,2.0,2020-09-20,NWE,@,SEA,"L, 30-35",,1,1,7,7.0,0,100.0,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,8,11.1,0,0.0,0,0.0
2,3.0,18.0,3.0,3.0,2020-09-27,NWE,,LVR,"W, 36-20",,0,0,0,,0,,,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,7,10.1,0,0.0,0,0.0
3,3.0,,4.0,4.0,2020-10-05,NWE,@,KAN,"L, 10-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,,5.0,6.0,2020-10-18,NWE,,DEN,"L, 12-18",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,4.0,19.0,6.0,7.0,2020-10-25,NWE,,SFO,"L, 6-33",,6,4,60,15.0,0,66.7,10.0,1,2,0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,41,78.8,0,0.0,0,0.0
6,5.0,20.0,7.0,8.0,2020-11-01,NWE,@,BUF,"L, 21-24",*,10,6,58,9.7,0,60.0,5.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,64,98.5,0,0.0,0,0.0
7,6.0,21.0,8.0,9.0,2020-11-09,NWE,@,NYJ,"W, 30-27",*,14,12,169,14.1,0,85.7,12.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,80,98.8,0,0.0,0,0.0
8,7.0,22.0,9.0,10.0,2020-11-15,NWE,,BAL,"W, 23-17",*,7,5,59,11.8,0,71.4,8.4,0,0,0,,1,1,100.0,24,1,0,24.0,44.00,158.3,0,0,0,0,0,0,0,0,57,98.3,0,0.0,0,0.0
9,8.0,23.0,10.0,11.0,2020-11-22,NWE,@,HOU,"L, 20-27",*,3,3,38,12.7,0,100.0,12.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,68,98.6,0,0.0,0,0.0
10,9.0,24.0,11.0,12.0,2020-11-29,NWE,,ARI,"W, 20-17",,6,5,52,10.4,0,83.3,8.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,94.3,0,0.0,0,0.0
11,10.0,25.0,12.0,13.0,2020-12-06,NWE,@,LAC,"W, 45-0",*,6,2,15,7.5,0,33.3,2.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,83.6,0,0.0,0,0.0
12,11.0,26.0,13.0,14.0,2020-12-10,NWE,@,LAR,"L, 3-24",*,5,4,47,11.8,0,80.0,9.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
13,12.0,27.0,14.0,15.0,2020-12-20,NWE,@,MIA,"L, 12-22",*,10,7,111,15.9,0,70.0,11.1,0,0,0,,0,0,,0,0,0,,,,0,0,1,1,0,0,0,0,53,96.4,0,0.0,0,0.0
14,13.0,28.0,15.0,16.0,2020-12-28,NWE,,BUF,"L, 9-38",*,6,4,45,11.3,0,66.7,7.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,100.0,0,0.0,0,0.0
15,14.0,29.0,16.0,17.0,2021-01-03,NWE,,NYJ,"W, 28-14",*,7,6,68,11.3,0,85.7,9.7,1,7,0,7.0,1,1,100.0,19,1,0,19.0,39.00,158.3,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
16,,,,,,,,,7-7,,81,59,729,12.4,0,72.8,9.0,2,9,0,4.5,2,2,100.0,43,2,0,21.5,41.50,158.3,0,0,1,1,0,0,0,0,665,75.7,0,0.0,0,0.0
