,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2022-09-11,NWE,@,MIA,"L, 7-20",*,6,4,55,13.8,0,66.7,9.2,1,7,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,87.7,0,0.0,1,5.3
1,2.0,48.0,2.0,2.0,2022-09-18,NWE,@,PIT,"W, 17-14",*,13,9,95,10.6,0,69.2,7.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,82.4,0,0.0,0,0.0
2,2.0,,3.0,3.0,2022-09-25,NWE,,BAL,"L, 26-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,,4.0,4.0,2022-10-02,NWE,@,GNB,"L, 24-27 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,49.0,5.0,5.0,2022-10-09,NWE,,DET,"W, 29-0",,8,7,111,15.9,1,87.5,13.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,80.0,0,0.0,0,0.0
5,4.0,50.0,6.0,6.0,2022-10-16,NWE,@,CLE,"W, 38-15",*,4,4,60,15.0,0,100.0,15.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,81.4,0,0.0,0,0.0
6,5.0,51.0,7.0,7.0,2022-10-24,NWE,,CHI,"L, 14-33",*,2,2,34,17.0,1,100.0,17.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
7,6.0,52.0,8.0,8.0,2022-10-30,NWE,@,NYJ,"W, 22-17",*,13,9,60,6.7,1,69.2,4.6,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,63,80.8,0,0.0,1,3.6
8,7.0,53.0,9.0,9.0,2022-11-06,NWE,,IND,"W, 26-3",*,6,5,42,8.4,0,83.3,7.0,1,2,0,2.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,51,81.0,0,0.0,0,0.0
9,8.0,54.0,10.0,11.0,2022-11-20,NWE,,NYJ,"W, 10-3",*,6,4,52,13.0,0,66.7,8.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,95.2,0,0.0,0,0.0
10,9.0,55.0,11.0,12.0,2022-11-24,NWE,@,MIN,"L, 26-33",*,4,3,62,20.7,0,75.0,15.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,29.1,0,0.0,0,0.0
11,10.0,56.0,12.0,13.0,2022-12-01,NWE,,BUF,"L, 10-24",*,5,3,22,7.3,0,60.0,4.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,57.4,0,0.0,0,0.0
12,10.0,,13.0,14.0,2022-12-12,NWE,@,ARI,"W, 27-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,11.0,57.0,14.0,15.0,2022-12-18,NWE,@,LVR,"L, 24-30",*,6,2,47,23.5,0,33.3,7.8,0,-20,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,40,61.5,0,0.0,0,0.0
14,12.0,58.0,15.0,16.0,2022-12-24,NWE,,CIN,"L, 18-22",*,7,6,83,13.8,1,85.7,11.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
15,13.0,59.0,16.0,17.0,2023-01-01,NWE,,MIA,"W, 23-21",*,9,6,49,8.2,1,66.7,5.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,81.7,0,0.0,0,0.0
16,14.0,60.0,17.0,18.0,2023-01-08,NWE,@,BUF,"L, 23-35",*,7,3,32,10.7,1,42.9,4.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,89.7,0,0.0,0,0.0
17,,,,,,,,,7-7,,96,67,804,12.0,6,69.8,8.4,2,-11,0,-5.5,0.0,1,1,0,0,0,0,2,2,0,0,0,0,690,79.4,0,0.0,2,0.5
