,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2024-09-08,DEN,@,SEA,"L, 20-26",,10,27,0,2.7,5,5,1,0.2,0,100.0,0.2,1,1,0,0,0,0,24,34.8,0,0.0,0,0.0
1,2.0,19.0,2.0,2.0,2024-09-15,DEN,,PIT,"L, 6-13",,3,6,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,17,27.9,0,0.0,0,0.0
2,3.0,20.0,3.0,3.0,2024-09-22,DEN,@,TAM,"W, 26-7",,5,7,1,1.4,1,1,7,7.0,0,100.0,7.0,0,0,0,0,0,0,18,26.5,0,0.0,0,0.0
3,4.0,21.0,4.0,4.0,2024-09-29,DEN,@,NYJ,"W, 10-9",,9,46,0,5.1,1,1,0,0.0,0,100.0,0.0,0,0,0,0,0,0,21,34.4,0,0.0,1,3.6
4,5.0,22.0,5.0,5.0,2024-10-06,DEN,,LVR,"W, 34-18",,6,22,0,3.7,4,3,3,1.0,1,75.0,0.8,0,0,0,0,0,0,23,36.5,0,0.0,0,0.0
5,6.0,23.0,6.0,6.0,2024-10-13,DEN,,LAC,"L, 16-23",,3,8,0,2.7,2,2,17,8.5,0,100.0,8.5,0,0,0,0,0,0,14,25.5,0,0.0,2,7.4
6,7.0,24.0,7.0,7.0,2024-10-17,DEN,@,NOR,"W, 33-10",,4,35,0,8.8,0,0,0,,0,,,0,0,0,0,0,0,14,21.5,0,0.0,0,0.0
7,8.0,25.0,8.0,8.0,2024-10-27,DEN,,CAR,"W, 28-14",,8,47,0,5.9,1,1,9,9.0,1,100.0,9.0,0,0,0,0,0,0,23,31.5,0,0.0,0,0.0
8,9.0,26.0,9.0,9.0,2024-11-03,DEN,@,BAL,"L, 10-41",*,5,10,0,2.0,3,3,10,3.3,0,100.0,3.3,0,0,0,0,0,0,23,31.9,0,0.0,0,0.0
9,10.0,27.0,10.0,10.0,2024-11-10,DEN,@,KAN,"L, 14-16",*,2,12,0,6.0,0,0,0,,0,,,0,0,0,0,0,0,7,12.1,0,0.0,0,0.0
10,11.0,28.0,11.0,11.0,2024-11-17,DEN,,ATL,"W, 38-6",,4,19,0,4.8,0,0,0,,0,,,0,0,0,0,0,0,9,14.5,0,0.0,0,0.0
11,12.0,29.0,12.0,12.0,2024-11-24,DEN,@,LVR,"W, 29-19",,7,44,0,6.3,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,20,29.4,0,0.0,0,0.0
12,13.0,30.0,13.0,13.0,2024-12-02,DEN,,CLE,"W, 41-32",,14,84,0,6.0,2,1,0,0.0,0,50.0,0.0,0,0,0,0,0,0,24,36.4,0,0.0,0,0.0
13,14.0,31.0,14.0,15.0,2024-12-15,DEN,,IND,"W, 31-13",*,7,21,0,3.0,3,3,13,4.3,0,100.0,4.3,0,0,0,0,0,0,15,23.8,0,0.0,0,0.0
14,14.0,,15.0,16.0,2024-12-19,DEN,@,LAC,"L, 27-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,32.0,16.0,17.0,2024-12-28,DEN,@,CIN,"L, 24-30 (OT)",*,10,69,0,6.9,2,2,7,3.5,0,100.0,3.5,0,0,0,0,0,0,14,23.3,0,0.0,0,0.0
16,16.0,33.0,17.0,18.0,2025-01-05,DEN,,KAN,"W, 38-0",*,16,39,0,2.4,2,2,9,4.5,0,100.0,4.5,0,0,0,0,0,0,30,40.5,0,0.0,0,0.0
17,,,,,,,,,10-6,,113,496,1,4.4,27,24,76,3.2,2,88.9,2.8,1,1,0,0,0,0,296,28.5,0,0.0,3,0.7
