,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2021-09-12,PHI,@,ATL,"W, 32-6",*,27,35,77.1,264,3,0,7.5,9.26,126.4,1,3,7,62,0,8.9,0,0,0,0,,,1,0,0,2,0,0,71,100.0,0,0.0,0,0.0
1,2.0,17.0,2.0,2.0,2021-09-19,PHI,,SFO,"L, 11-17",*,12,23,52.2,190,0,0,8.3,8.26,80.0,2,13,10,82,1,8.2,1,0,0,0,0.0,0.0,1,0,0,0,0,0,58,100.0,0,0.0,0,0.0
2,3.0,18.0,3.0,3.0,2021-09-27,PHI,@,DAL,"L, 21-41",*,25,39,64.1,326,2,2,8.4,7.08,86.1,2,23,9,35,0,3.9,0,0,0,0,,,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
3,4.0,19.0,4.0,4.0,2021-10-03,PHI,,KAN,"L, 30-42",*,32,48,66.7,387,2,0,8.1,8.90,105.1,3,29,8,47,0,5.9,0,0,0,0,,,1,0,0,0,0,0,74,100.0,0,0.0,0,0.0
4,5.0,20.0,5.0,5.0,2021-10-10,PHI,@,CAR,"W, 21-18",*,22,37,59.5,198,0,1,5.4,4.14,62.7,2,16,9,30,2,3.3,0,0,0,0,,,1,0,0,0,-16,0,67,100.0,0,0.0,0,0.0
5,6.0,21.0,6.0,6.0,2021-10-14,PHI,,TAM,"L, 22-28",*,12,26,46.2,115,1,1,4.4,3.46,55.8,2,2,10,44,2,4.4,0,0,0,0,,,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
6,7.0,22.0,7.0,7.0,2021-10-24,PHI,@,LVR,"L, 22-33",*,18,34,52.9,236,2,0,6.9,8.12,94.7,2,13,13,61,0,4.7,0,0,0,0,,,1,1,0,0,-5,0,69,100.0,0,0.0,0,0.0
7,8.0,23.0,8.0,8.0,2021-10-31,PHI,@,DET,"W, 44-6",*,9,14,64.3,103,0,0,7.4,7.36,86.3,0,0,7,71,0,10.1,0,0,0,0,,,0,0,0,0,0,0,51,78.5,0,0.0,0,0.0
8,9.0,24.0,9.0,9.0,2021-11-07,PHI,,LAC,"L, 24-27",*,11,17,64.7,162,1,0,9.5,10.71,115.3,1,7,10,62,0,6.2,0,0,0,0,,,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
9,10.0,25.0,10.0,10.0,2021-11-14,PHI,@,DEN,"W, 30-13",*,16,23,69.6,178,2,1,7.7,7.52,103.2,2,8,13,55,0,4.2,0,0,0,0,,,1,0,0,1,-2,0,64,100.0,0,0.0,0,0.0
10,11.0,26.0,11.0,11.0,2021-11-21,PHI,,NOR,"W, 40-29",*,13,24,54.2,147,0,0,6.1,6.13,72.7,3,9,18,69,3,3.8,0,0,0,0,,,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
11,12.0,27.0,12.0,12.0,2021-11-28,PHI,@,NYG,"L, 7-13",*,14,31,45.2,129,0,3,4.2,-0.19,17.5,1,5,8,77,0,9.6,0,0,0,0,,,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
12,12.0,,13.0,13.0,2021-12-05,PHI,@,NYJ,"W, 33-18",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,13.0,28.0,14.0,15.0,2021-12-21,PHI,,WAS,"W, 27-17",*,20,26,76.9,296,1,1,11.4,10.42,110.4,3,15,8,38,2,4.8,0,0,0,0,,,2,1,0,0,0,0,71,100.0,0,0.0,0,0.0
14,14.0,29.0,15.0,16.0,2021-12-26,PHI,,NYG,"W, 34-10",*,17,29,58.6,199,2,0,6.9,8.24,102.5,1,5,2,7,0,3.5,0,0,0,0,,,1,0,0,0,0,0,56,88.9,0,0.0,0,0.0
15,15.0,30.0,16.0,17.0,2022-01-02,PHI,@,WAS,"W, 20-16",*,17,26,65.4,214,0,0,8.2,8.23,90.9,1,2,7,44,0,6.3,0,0,0,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
16,15.0,,17.0,18.0,2022-01-08,PHI,,DAL,"L, 26-51",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,8-7,,265,432,61.3,3144,16,9,7.3,7.08,87.2,26,150,139,784,10,5.6,1,0,0,0,0.0,0.0,9,2,0,3,-23,0,954,97.8,0,0.0,0,0.0
