,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2024-09-08,TAM,,WAS,"W, 37-20",*,3,1,32,32.0,1,33.3,10.7,0,0,0,,0,0,0,,53,82.8,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2024-09-15,TAM,@,DET,"W, 20-16",*,2,1,21,21.0,0,50.0,10.5,0,0,0,,0,0,0,,38,79.2,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2024-09-22,TAM,,DEN,"L, 7-26",*,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,,44,77.2,0,0.0,0,0.0
3,3.0,,4.0,4.0,2024-09-29,TAM,,PHI,"W, 33-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,,5.0,5.0,2024-10-03,TAM,@,ATL,"L, 30-36 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,4.0,6.0,6.0,2024-10-13,TAM,@,NOR,"W, 51-27",,1,0,0,,0,0.0,0.0,0,0,0,,3,12,0,4.0,14,18.2,0,0.0,6,16.2
6,5.0,5.0,7.0,7.0,2024-10-21,TAM,,BAL,"L, 31-41",*,8,3,15,5.0,0,37.5,1.9,1,11,0,11.0,0,0,0,,49,59.8,0,0.0,0,0.0
7,6.0,6.0,8.0,8.0,2024-10-27,TAM,,ATL,"L, 26-31",*,7,4,35,8.8,0,57.1,5.0,1,17,0,17.0,0,0,0,,59,80.8,0,0.0,0,0.0
8,6.0,,9.0,9.0,2024-11-04,TAM,@,KAN,"L, 24-30 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,6.0,,10.0,10.0,2024-11-10,TAM,,SFO,"L, 20-23",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7.0,7.0,11.0,12.0,2024-11-24,TAM,@,NYG,"W, 30-7",*,2,1,11,11.0,0,50.0,5.5,0,0,0,,0,0,0,,41,63.1,0,0.0,0,0.0
11,8.0,8.0,12.0,13.0,2024-12-01,TAM,@,CAR,"W, 26-23 (OT)",*,3,2,25,12.5,0,66.7,8.3,0,0,0,,0,0,0,,61,76.3,0,0.0,0,0.0
12,9.0,9.0,13.0,14.0,2024-12-08,TAM,,LVR,"W, 28-13",*,7,4,59,14.8,2,57.1,8.4,0,0,0,,0,0,0,,49,79.0,0,0.0,0,0.0
13,10.0,10.0,14.0,15.0,2024-12-15,TAM,@,LAC,"W, 40-17",*,6,5,75,15.0,1,83.3,12.5,0,0,0,,0,0,0,,46,63.9,0,0.0,0,0.0
14,11.0,11.0,15.0,16.0,2024-12-22,TAM,@,DAL,"L, 24-26",*,7,5,57,11.4,1,71.4,8.1,0,0,0,,0,0,0,,60,83.3,0,0.0,0,0.0
15,12.0,12.0,16.0,17.0,2024-12-29,TAM,,CAR,"W, 48-14",*,5,5,51,10.2,2,100.0,10.2,1,9,0,9.0,0,0,0,,53,68.8,0,0.0,0,0.0
16,13.0,13.0,17.0,18.0,2025-01-05,TAM,,NOR,"W, 27-19",*,6,5,74,14.8,1,83.3,12.3,1,6,0,6.0,0,0,0,,59,88.1,0,0.0,0,0.0
17,,,,,,,,,9-4,,58,37,461,12.5,8,63.8,7.9,4,43,0,10.8,3,12,0,4.0,626,69.9,0,0.0,6,1.7
