,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,MIN,,GNB,"W, 23-7",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,13,56.5
1,2.0,2.0,2.0,2.0,2022-09-19,MIN,@,PHI,"L, 7-24",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,8,38.1
2,3.0,3.0,3.0,3.0,2022-09-25,MIN,,DET,"W, 28-24",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,7,25.0
3,4.0,4.0,4.0,4.0,2022-10-02,MIN,@,NOR,"W, 28-25",,1,1,13,13.0,0,100.0,13.0,0.0,0,0,0,0,0,0,1,1.4,0,0.0,18,58.1
4,4.0,,5.0,5.0,2022-10-09,MIN,,CHI,"W, 29-22",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,5.0,6.0,6.0,2022-10-16,MIN,@,MIA,"W, 24-16",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,8,25.8
6,6.0,6.0,7.0,8.0,2022-10-30,MIN,,ARI,"W, 34-26",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,10,33.3
7,6.0,,8.0,9.0,2022-11-06,MIN,@,WAS,"W, 20-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,7.0,9.0,10.0,2022-11-13,MIN,@,BUF,"W, 33-30 (OT)",,0,0,0,,0,,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,13,39.4
9,8.0,8.0,10.0,11.0,2022-11-20,MIN,,DAL,"L, 3-40",,3,1,15,15.0,0,33.3,5.0,0.0,0,0,0,0,0,0,12,21.1,0,0.0,13,46.4
10,9.0,9.0,11.0,12.0,2022-11-24,MIN,,NWE,"W, 33-26",,0,0,0,,0,,,0.0,1,1,0,0,0,0,0,0.0,0,0.0,21,63.6
11,10.0,10.0,12.0,13.0,2022-12-04,MIN,,NYJ,"W, 27-22",,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,1.5,0,0.0,21,65.6
12,11.0,11.0,13.0,14.0,2022-12-11,MIN,@,DET,"L, 23-34",,0,0,0,,0,,,0.0,2,2,0,0,0,0,0,0.0,0,0.0,19,65.5
13,12.0,12.0,14.0,15.0,2022-12-17,MIN,,IND,"W, 39-36 (OT)",,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1.1,0,0.0,30,69.8
14,13.0,13.0,15.0,16.0,2022-12-24,MIN,,NYG,"W, 27-24",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,20,69.0
15,14.0,14.0,16.0,17.0,2023-01-01,MIN,@,GNB,"L, 17-41",,3,3,89,29.7,1,100.0,29.7,0.0,0,0,0,0,0,0,9,15.5,0,0.0,12,42.9
16,15.0,15.0,17.0,18.0,2023-01-08,MIN,@,CHI,"W, 29-13",,5,4,62,15.5,0,80.0,12.4,0.0,0,0,0,0,0,0,33,46.5,0,0.0,3,13.0
17,,,,,,,,,11-4,,13,9,179,19.9,1,69.2,13.8,0.0,4,3,1,0,0,0,57,5.6,0,0.0,216,48.9
